"session_id","blocking_session_id","wait_type","wait_time","total_elapsed_time","command","status"
"2","0","SLEEP_TASK","465","139895319","XIO_LEASE_RENEWAL_WORKER","background"
"1","0","SLEEP_TASK","327","139895319","XIO_RETRY_WORKER","background"
"3","0","WAIT_XTP_HOST_WAIT","139895244","139895310","XTP_CKPT_AGENT","background"
"13","0","XE_DISPATCHER_WAIT","2355","139895259","XE DISPATCHER","background"
"12","0","XE_TIMER_EVENT","629","139895244","XE TIMER","background"
"11","0","","0","139895244","RESOURCE MONITOR","background"
"6","0","PVS_PREALLOCATE","139895240","139895240","PVS_PREALLOCATOR","background"
"5","0","LAZYWRITER_SLEEP","171","139895240","LAZY WRITER","background"
"4","0","DIRTY_PAGE_POLL","72","139895240","RECOVERY WRITER","background"
"7","0","LOGMGR_QUEUE","58","139895239","LOG WRITER","background"
"8","0","LOGMGR_QUEUE","58","139895236","LOG WRITER","background"
"9","0","REQUEST_FOR_DEADLOCK_SEARCH","3558","139895233","LOCK MONITOR","background"
"27","0","","0","139894648","RECEIVE","background"
"25","0","SQLTRACE_INCREMENTAL_FLUSH_SLEEP","3543","139894631","TRACE QUEUE TASK","background"
"26","0","SP_SERVER_DIAGNOSTICS_SLEEP","15792","139894623","SYSTEM_HEALTH_MONITOR","background"
"31","0","FT_IFTSHC_MUTEX","139892745","139892745","UNKNOWN TOKEN","background"
"29","0","CHECKPOINT_QUEUE","185738","139892654","CHECKPOINT","background"
"28","0","ONDEMAND_TASK_QUEUE","470110","139892654","LOG POOL MEMORY NOTIFICATION","background"
"32","0","BROKER_EVENTHANDLER","6499564","139892056","BRKR EVENT HNDLR","background"
"33","0","BROKER_TO_FLUSH","557","139892056","BRKR TASK","background"
"34","0","HADR_FILESTREAM_IOMGR_IOCOMPLETION","53","139892056","BRKR TASK","background"
"30","0","BROKER_TRANSMITTER","139892023","139892045","BRKR TASK","background"
"14","0","BROKER_TRANSMITTER","139891983","139891990","BRKR TASK","background"
"10","0","KSOURCE_WAKEUP","139891944","139891958","SIGNAL HANDLER","background"
"24","0","","0","0","TASK MANAGER","sleeping"
"23","0","","0","0","TASK MANAGER","sleeping"
"22","0","","0","0","TASK MANAGER","sleeping"
"21","0","","0","0","TASK MANAGER","sleeping"
"20","0","","0","0","TASK MANAGER","sleeping"
"19","0","","0","0","TASK MANAGER","sleeping"
