"TableName","IndexName","Seeks","Scans","Lookups","Updates"
"dbo.DynamicReportCatalog","PK_DynamicReportCatalog","7","3","928","620"
"dbo.ACCOUNTS","PK_ACCOUNTS","0","82","269","12"
"dbo.Transactions","PK_Transactions","444","6","302","126"
"dbo.SerialTableMapping","PK__SerialTa__8B5781BD0289B981","0","252","0","0"
"dbo.TblBoxesData","PK_TblBoxesData","380","235","0","0"
"dbo.TblOptions","","0","211","0","0"
"dbo.Transactions","IX_Transactions_StoreID","0","180","0","63"
"dbo.DOUBLE_ENTREY_VOUCHERS","PK_DOUBLE_ENTREY_VOUCHERS","86","34","141","121"
"dbo.branches","","0","167","0","0"
"dbo.Transaction_Details","IX_Transaction_Details","0","3","152","63"
"dbo.TblBranchesData","PK__TblBranchesData__7267B045","181","137","0","0"
"dbo.SerialCounters_V2","PK__SerialCo__F12879E41225F20D","0","0","126","126"
"dbo.TblEmployee","PK_TblEmployee","96","89","12","6"
"dbo.tblItemsCash","PK__tblItems__3214EC275F773895","0","99","0","0"
"dbo.Notes","PK_Notes","320","66","26","113"
"dbo.TblItemsUnits","","0","87","0","0"
"dbo.BanksData","PK_BanksData","298","84","0","0"
"dbo.TblUnites","","0","76","0","0"
"dbo.TblItems","PK_TblItems","295","74","0","0"
"dbo.TblPaymentUser","PK__TblPayme__3214EC27C8EF352E","0","72","0","0"
"dbo.POS_ImportBatchRow","IX_POS_ImportBatchRow_Source","0","63","0","63"
"dbo.TblSettsReqLimK","PK__TblSetts__3214EC27E0CBFF68","0","63","0","0"
"dbo.currency","IX_currency_basic","0","54","0","0"
"dbo.TblBranchesData","IDX_TblBranchesData_Branch_ID_Code","0","51","0","0"
"dbo.TblUsers","PK_TblUsers","314","35","14","0"
"dbo.tblOptionsCash","PK__tblOptio__3214EC27BAD1F009","0","44","0","0"
"dbo.ScreenJuncUser","CIX_ScreenJuncUser","0","0","40","0"
"dbo.TblPaymentType","PK__TblPaymentType__14BCC849","36","36","0","0"
"dbo.TblNotesBillProjectPayment","PK__TblNotes__3214EC27243A76D9","0","35","0","0"
"dbo.TblNotesBillBuyPayment","PK__TblNotesBillBuyP__203AFE9B","0","35","0","0"
