"DatabaseName","TableName","user_seeks","ImprovementScore","equality_columns","inequality_columns","included_columns"
"Cash","dbo.Transactions","54","1452643.46","[Transaction_Type]","[Transaction_Date]","[BranchId], [PayedValue], [NetValue], [Transaction_NetValue], [VAT], [VisaNumber], [RechargeValue], [IsCashOut], [IsPOS], [TrafficViolations]"
"Cash","dbo.Transactions","31","834796.84","[Transaction_Type]","[Transaction_Date]","[BranchId], [PayedValue], [Transaction_NetValue], [VisaNumber], [IsCashOut], [IsPOS], [TrafficViolations]"
"Cash","dbo.Transactions","12","322819.17","[Transaction_Type]","[Transaction_Date]","[UserID], [BranchId], [PayedValue], [NetValue], [Transaction_NetValue], [VAT], [RechargeValue], [IsCashOut], [IsPOS], [TrafficViolations]"
"Cash","dbo.Transactions","31","247570.21","[Transaction_Type]","[Transaction_Date]","[BranchId], [VisaNumber], [IsCashOut], [IsPOS], [TrafficViolations]"
"Cash","dbo.Transactions","6","176536.85","[Transaction_Type]","[IPN]",""
"Cash","dbo.Transactions","5","146801.00","[Transaction_Type]","","[CashCustomerName], [IPN]"
"Cash","dbo.Transaction_Details","6","127736.27","[Item_ID]","","[Transaction_ID], [ColorID], [ItemSize], [UnitId], [ShowQty], [ClassId]"
"Cash","dbo.Transactions","4","107660.46","[Transaction_Type]","[Transaction_Date]","[UserID], [BranchId], [PayedValue], [NetValue], [Transaction_NetValue], [VAT], [IsCashOut], [IsPOS], [TrafficViolations]"
"Cash","dbo.Transactions","2","58553.93","[Transaction_Type]","","[Transaction_Date], [UserID], [BranchId], [PayedValue], [NetValue], [Transaction_NetValue], [VAT]"
"Cash","dbo.DOUBLE_ENTREY_VOUCHERS","23","34286.93","[Credit_Or_Debit]","[Account_Code]","[Transaction_ID]"
"Cash","dbo.Transactions","1","29363.34","[Transaction_Type]","","[Nots]"
"Cash","dbo.Transactions","1","29331.82","[Transaction_Type]","[IPN]","[NoteSerial1]"
"Cash","dbo.Transactions","1","14201.42","[Transaction_Type]","","[Transaction_Date], [UserID], [CashCustomerName], [CashCustomerPhone], [NoteSerial1], [BranchId], [IPN]"
"Cash","dbo.Transactions","10","3581.14","[Transaction_Type], [BranchId]","","[IsWallet]"
"Cash","dbo.Transactions","1","3388.35","[Transaction_Type]","","[Transaction_Date], [UserID], [CashCustomerName], [Nots], [BranchId], [IPN]"
"Cash","dbo.TBLClosePos","8","1297.67","","[OrderDate]","[BranchID], [UserID], [NoteSerial], [NoteID], [TotalRev], [TotalRev2], [TotalRevVat], [CashOutDisc], [TotalSupply]"
"Cash","dbo.TBLClosePos","6","937.51","","[OrderDate]","[BranchID], [UserID], [NoteSerial1], [NoteSerial], [NoteID], [OpenBalance], [LastBalance], [TotalRechargeValue], [TotalRev], [TotalVat], [CashOutTotal], [TotalSupply], [BoxBalance]"
"Cash","dbo.TblCusCsh","1","769.90","[card]","",""
"Cash","dbo.Transactions","1","406.19","[Transaction_Type]","[Transaction_Date], [UserID]",""
"Cash","dbo.Transactions","1","398.93","[Transaction_Type]","[Transaction_Date], [UserID]","[BranchId]"
