"TranDate","TransactionsCount","ActiveUsers","ActiveBranches","NetValue","Fees","Vat"
"5/8/2026 12:00:00 AM","3","1","1","137.6","125.0000","12.6"
"5/7/2026 12:00:00 AM","1","1","1","50","50.0000","0"
"5/6/2026 12:00:00 AM","1","1","1","3591","3150.0000","441"
"5/5/2026 12:00:00 AM","10","3","3","1751.75","1592.5000","159.25"
"5/4/2026 12:00:00 AM","18826","5","5","2145915.97","2145693.6300","263450.34"
"5/3/2026 12:00:00 AM","54","5","5","33401.42","29447.1500","3972.69"
"5/2/2026 12:00:00 AM","32","4","4","2213.41","2117.2000","151.47"
"5/1/2026 12:00:00 AM","21","1","1","18630.6","4151.5800","410.42"
"4/30/2026 12:00:00 AM","5","3","3","12575.88","6541.5800","0"
"4/6/2026 12:00:00 AM","2562","83","83","203388.45","183480.9500","19907.4999999999"
"4/5/2026 12:00:00 AM","2306","83","83","199493.749999999","180139.3300","19485.6699999999"
"4/4/2026 12:00:00 AM","2483","83","83","187766.909999999","170166.0400","17600.87"
"4/2/2026 12:00:00 AM","1915","82","82","143692.12","130079.4600","13612.66"
"4/1/2026 12:00:00 AM","2226","82","82","176076.099999999","158848.9900","17227.11"
"3/31/2026 12:00:00 AM","2172","84","84","163678.21","147640.7000","16037.51"
"3/30/2026 12:00:00 AM","1575","82","82","120443.64","109668.6200","10775.02"
"3/29/2026 12:00:00 AM","2046","83","83","160219.56","144267.8100","15951.75"
"3/28/2026 12:00:00 AM","2473","83","83","181883.969999999","164905.0200","16978.95"
"3/26/2026 12:00:00 AM","1709","81","81","128814.82","116081.0100","12733.81"
"3/25/2026 12:00:00 AM","1757","83","83","136409.75","122809.7400","13600.01"
"3/24/2026 12:00:00 AM","2330","83","83","180232.49","161706.9300","18525.5599999999"
"3/18/2026 12:00:00 AM","2453","83","83","194815.819999999","175692.0200","19123.7999999999"
"3/17/2026 12:00:00 AM","2242","83","83","179430.36","162626.2500","16804.11"
"3/16/2026 12:00:00 AM","2273","83","83","168515.309999999","152255.9800","16259.3299999999"
"3/15/2026 12:00:00 AM","2442","83","83","190670.749999999","171220.5200","19450.2299999999"
"3/14/2026 12:00:00 AM","2281","82","82","167904.53","152216.9800","15687.55"
"3/12/2026 12:00:00 AM","2012","83","83","159307.53","143721.9500","15585.58"
"3/11/2026 12:00:00 AM","1973","84","84","153609.06","138183.3800","15425.68"
"3/10/2026 12:00:00 AM","2078","83","83","158959.619999999","143168.2900","15791.3299999999"
"3/9/2026 12:00:00 AM","2095","83","83","160075.939999999","143724.2900","16351.65"
"3/8/2026 12:00:00 AM","2190","83","83","166033.839999999","149008.7500","17025.09"
"3/7/2026 12:00:00 AM","2178","84","84","161153.659999999","145171.2600","15982.4"
"3/5/2026 12:00:00 AM","2020","83","83","145560.069999999","131498.4200","14061.65"
"3/4/2026 12:00:00 AM","1976","83","83","149731.4","134250.1600","15481.24"
"3/3/2026 12:00:00 AM","1885","82","82","141639.36","127284.5200","14354.84"
"3/2/2026 12:00:00 AM","1965","84","84","142868.59","128334.4000","14534.19"
"3/1/2026 12:00:00 AM","1960","84","84","145834.17","130760.3100","15073.86"
"2/28/2026 12:00:00 AM","1914","84","84","134079.38","121015.1500","13064.23"
"2/26/2026 12:00:00 AM","1901","84","84","144024.81","129450.7300","14574.08"
"2/25/2026 12:00:00 AM","1885","83","83","133989.049999999","120267.2400","13721.81"
"2/24/2026 12:00:00 AM","1421","84","84","86249.3299999997","77885.4800","8363.84999999996"
"2/23/2026 12:00:00 AM","2842","84","84","182621.789999999","164475.5300","18146.26"
"2/21/2026 12:00:00 AM","1517","84","84","98273.6799999997","88789.2400","9484.43999999996"
"2/19/2026 12:00:00 AM","1095","84","84","78397.3199999999","70154.8300","8242.48999999998"
"2/18/2026 12:00:00 AM","2109","84","84","146726.239999999","132930.8500","13795.39"
