"DatabaseName","ObjectName","ExecutionCount","TotalElapsedMs","AvgElapsedMs","MaxElapsedMs","SqlText"
"Cash","usp_GetNextSerial_V2","53872","33033376.54","613.18","5228.77","UPDATE dbo.SerialCounters_V2 WITH (UPDLOCK, SERIALIZABLE)         SET              CurrentTail = CurrentTail + 1,             @NewTail = CurrentTail + 1,             LastUpdated = GETDATE(),             UpdatedByUser = CAST(@UserID AS VARCHAR(50)),             UpdateCount = UpdateCount + 1         WHERE SourceTable = @SourceTable             AND BranchID = @BranchID             AND TypeCode = @TypeCode             AND ISNULL(Prefix, '') = @PrefixKey             AND ISNULL(StoreID, 0) = @StoreKey"
"Cash","usp_POS_SaveTransaction","5914","366644.10","62.00","561.37","SELECT TOP (1)                  @CustomerAccount = dev.Account_Code              FROM dbo.DOUBLE_ENTREY_VOUCHERS AS dev              INNER JOIN dbo.Transactions AS hist ON hist.Transaction_ID = dev.Transaction_ID              WHERE hist.Transaction_Type = 21                AND hist.BranchId = @BranchId                AND dev.Account_Code LIKE N'a1a2a4%'                AND dev.Credit_Or_Debit IN (0, 1)              ORDER BY hist.Transaction_ID DESC, dev.DEV_ID_Line_No"
"Cash","usp_POS_SaveTransaction","5914","119732.68","20.25","177.19","SELECT TOP (1)              @WalletAccount = dev.Account_Code          FROM dbo.DOUBLE_ENTREY_VOUCHERS AS dev          INNER JOIN dbo.Transactions AS hist ON hist.Transaction_ID = dev.Transaction_ID          WHERE hist.Transaction_Type = 21            AND hist.BranchId = @BranchId            AND ISNULL(hist.IsWallet, 0) = 1            AND @WalletAccount IS NULL            AND dev.Account_Code LIKE N'a1a2a1a1%'            AND dev.Credit_Or_Debit = 0          ORDER BY hist.Transaction_ID DESC, dev"
"Cash","usp_POS_SaveTransaction","5914","71825.96","12.15","77.00","SET @DevSerial =              CONVERT(CHAR(8), @TransactionDate, 112) + N'0' +              CONVERT(NVARCHAR(20),                  1 + (                      SELECT COUNT(DISTINCT Double_Entry_Vouchers_ID)                      FROM dbo.DOUBLE_ENTREY_VOUCHERS WITH (HOLDLOCK)                      WHERE CONVERT(DATE, RecordDate) = CONVERT(DATE, @TransactionDate)                  )              )"
"Cash","usp_POS_Report_Run","23465","62708.11","2.67","90.72","SELECT         COALESCE(NULLIF(b.branch_name, N''), NULLIF(b.branch_namee, N''), N'فرع ' + CONVERT(NVARCHAR(20), t.BranchId)) AS BranchName,         CASE             WHEN ISNULL(t.IsCashOut, 0) = 1 THEN N'Cash Out'             WHEN ISNULL(t.IsPOS, 0) = 1 THEN N'Keshni Card'             WHEN ISNULL(t.TrafficViolations, 0) = 1 THEN N'Violations'             ELSE N'Cash In'         END AS ReportType,         COUNT(1) AS TransactionCount,         SUM(ISNULL(t.RechargeValue, 0)) AS RechargeTotal,    "
"","","23518","24123.48","1.03","41.40","SELECT COUNT(*) FROM [dbo].[Transactions] WITH(nolock)  WHERE [Transaction_Type]=@1 AND [Transaction_Date]>=CONVERT([date],getdate(),0)"
"","","13468","3408.00","0.25","43.58","SELECT @NextValue = NEXT VALUE FOR [dbo].[seq_DOUBLE_ENTREY_VOUCHERS_Double_Entry_Vouchers_ID]"
"Cash","usp_POS_SaveTransaction","13468","3392.91","0.25","3.27","SELECT TOP (1)              @WalletAccount = Account_Code              FROM dbo.ACCOUNTS              WHERE Parent_Account_Code = N'a1a2a1a3'                AND (@BranchName IS NULL OR account_name LIKE N'%' + LEFT(@BranchName, 12) + N'%')              ORDER BY Account_Code"
"","","1","2761.24","2761.24","2761.24","SELECT TOP (45)     CONVERT(date, Transaction_Date) AS TranDate,     COUNT(*) AS TransactionsCount,     COUNT(DISTINCT UserID) AS ActiveUsers,     COUNT(DISTINCT BranchId) AS ActiveBranches,     SUM(ISNULL(Transaction_NetValue, ISNULL(PayedValue,0))) AS NetValue,     SUM(ISNULL(NetValue,0)) AS Fees,     SUM(ISNULL(Vat,0)) AS Vat FROM dbo.Transactions WITH (NOLOCK) WHERE Transaction_Type = 21 GROUP BY CONVERT(date, Transaction_Date) ORDER BY TranDate DESC"
"Cash","usp_POS_SaveTransaction","5914","2614.86","0.44","8.53","INSERT INTO dbo.Transactions          (              Transaction_ID,              Transaction_Date,              Transaction_Type,              PaymentType,              Trans_Discount,              Currency_id,              Currency_rate,              CusID,              StoreID,              UserID,              Emp_ID,              NoteSerial1,              Ser,              BranchId,              PayedValue,              NetValue,              RemainValue,              ManualNO,             "
