"TableName","RowsCount","TotalMB","UsedMB"
"dbo.DOUBLE_ENTREY_VOUCHERS","13772298","5737.70","5736.50"
"dbo.Notes","3879939","3536.13","3535.58"
"dbo.Transactions","3623586","3209.34","3208.99"
"dbo.Transaction_Details","5849691","2735.43","2734.15"
"dbo.LogFile","1834716","721.20","720.53"
"dbo.TblCusCsh","285218","124.77","124.35"
"dbo.TransactionValueAdded","1186022","80.94","78.92"
"dbo.Subject_doc","273712","40.27","37.03"
"dbo.TblGroupItemProductLineUsersset","270698","34.75","31.95"
"dbo.TBLClosePos","51490","19.63","18.75"
"dbo.ACCOUNTS","18708","6.13","5.12"
"dbo.edictionary","73464","6.06","6.05"
"dbo.ScreenJuncUser","69932","5.71","5.66"
"dbo.ExpensesDetails","15531","4.37","4.25"
"dbo.TblSettsReqLimKDet","21842","3.90","4.09"
"dbo.emp_salary","3156","2.35","2.23"
"dbo.notes_all","4047","2.22","2.23"
"dbo.TblPaytAmortizationDet","6106","1.84","1.03"
"dbo.TblChangedComponentRegister","5696","1.78","0.60"
"dbo.sanad_numbering","9396","1.77","1.86"
