"DatabaseName","FKName","ParentSchema","ParentTable","ParentColumn","ReferencedSchema","ReferencedTable","ReferencedColumn","delete_referential_action_desc","update_referential_action_desc","constraint_column_id"
"Adnan","FK_AccountsLevelsDetails_AccountsLevels","dbo","AccountsLevelsDetails","AccountsLevelsid","dbo","AccountsLevels","AccountsLevelsid","CASCADE","CASCADE","1"
"Adnan","FK_BalanceSheetReport_ACCOUNTS","dbo","BalanceSheetReport","Account_Code","dbo","ACCOUNTS","Account_Code","CASCADE","CASCADE","1"
"Adnan","FK_BalanceSheetViewAccounts_ACCOUNTS","dbo","BalanceSheetViewAccounts","Account_Code","dbo","ACCOUNTS","Account_Code","CASCADE","CASCADE","1"
"Adnan","FK_BalanceSheetViewAccounts_BalanceSheetView","dbo","BalanceSheetViewAccounts","BalanceSheetId","dbo","BalanceSheetView","BalanceSheetId","CASCADE","CASCADE","1"
"Adnan","FK_CusJuncItem_TblCustemers","dbo","CusJuncItem","CusID","dbo","TblCustemers","CusID","CASCADE","CASCADE","1"
"Adnan","FK_CusJuncItem_TblItems","dbo","CusJuncItem","ItemID","dbo","TblItems","ItemID","CASCADE","CASCADE","1"
"Adnan","FK_CustomersFollowDetails_CustomersFollow","dbo","CustomersFollowDetails","CustomersFollowId","dbo","CustomersFollow","id","CASCADE","CASCADE","1"
"Adnan","FK_DOUBLE_ENTREY_VOUCHERS_ACCOUNTS","dbo","DOUBLE_ENTREY_VOUCHERS","Account_Code","dbo","ACCOUNTS","Account_Code","NO_ACTION","CASCADE","1"
"Adnan","FK_DOUBLE_ENTREY_VOUCHERS_Notes","dbo","DOUBLE_ENTREY_VOUCHERS","Notes_ID","dbo","Notes","NoteID","CASCADE","CASCADE","1"
"Adnan","FK_DOUBLE_ENTREY_VOUCHERS_ReceiptQest","dbo","DOUBLE_ENTREY_VOUCHERS","ReceiptID","dbo","ReceiptQest","ReceiptID","CASCADE","CASCADE","1"
"Adnan","FK_DOUBLE_ENTRY_VOUCHERS1_ACCOUNTS","dbo","DOUBLE_ENTREY_VOUCHERS1","Account_Code","dbo","ACCOUNTS","Account_Code","CASCADE","CASCADE","1"
"Adnan","FK_DOUBLE_ENTRY_VOUCHERS1_Notes1","dbo","DOUBLE_ENTREY_VOUCHERS1","Notes_ID","dbo","Notes1","NoteID","CASCADE","CASCADE","1"
"Adnan","FK_equation_details_equation","dbo","equation_details","id","dbo","equation","id","CASCADE","CASCADE","1"
"Adnan","FK_FinancialEquationsData_ACCOUNTS","dbo","FinancialEquationsData","Account_Code","dbo","ACCOUNTS","Account_Code","CASCADE","CASCADE","1"
"Adnan","FK_FinancialEquationsData_FinancialEquations","dbo","FinancialEquationsData","FinancialEquationsId","dbo","FinancialEquations","FinancialEquationsId","CASCADE","CASCADE","1"
"Adnan","FK_FinancialEquationsHistory_FinancialEquations","dbo","FinancialEquationsHistory","FinancialEquationsId","dbo","FinancialEquations","FinancialEquationsId","CASCADE","CASCADE","1"
"Adnan","FK_FixedAssetInstallmentsDetails_FixedAssetInstallments","dbo","FixedAssetInstallmentsDetails","FixedAssetInstallmentsid","dbo","FixedAssetInstallments","FixedAssetInstallmentsid","CASCADE","CASCADE","1"
"Adnan","FK_InstallMent_Notes","dbo","InstallMent","NoteID","dbo","Notes","NoteID","CASCADE","CASCADE","1"
"Adnan","FK_InstallmentDet_Junc_Receipt_InstallMentDetails","dbo","InstallmentDet_Junc_Receipt","QestID","dbo","InstallMentDetails","QestID","NO_ACTION","NO_ACTION","1"
"Adnan","FK_InstallmentDet_Junc_Receipt_ReceiptQest","dbo","InstallmentDet_Junc_Receipt","ReceiptID","dbo","ReceiptQest","ReceiptID","CASCADE","CASCADE","1"
"Adnan","FK_InstallMentDetails_InstallMent","dbo","InstallMentDetails","PartID","dbo","InstallMent","PartID","CASCADE","CASCADE","1"
"Adnan","FK_ItemsDetails_TblItems","dbo","ItemsDetails","ItemId","dbo","TblItems","ItemID","CASCADE","CASCADE","1"
"Adnan","FK_ItemsPrice_TblItems","dbo","ItemsPrice","Item_ID","dbo","TblItems","ItemID","CASCADE","CASCADE","1"
"Adnan","FK_JuncPrice_CusJuncItem","dbo","JuncPrice","juncID","dbo","CusJuncItem","ID","CASCADE","CASCADE","1"
"Adnan","FK_LogFile_TblUsers","dbo","LogFile","UserID","dbo","TblUsers","UserID","CASCADE","CASCADE","1"
"Adnan","FK_MaintenanceJuncTransaction_TblMaintenece","dbo","MaintenanceJuncTransaction","MaintananceID","dbo","TblMaintenece","MaintananceID","CASCADE","CASCADE","1"
"Adnan","FK_MaintenanceJuncTransaction_Transactions","dbo","MaintenanceJuncTransaction","Transaction_ID","dbo","Transactions","Transaction_ID","CASCADE","CASCADE","1"
"Adnan","FK_mowazna_details_mowazna","dbo","mowazna_details","id","dbo","mowazna","id","CASCADE","CASCADE","1"
"Adnan","FK_Notes_BanksData","dbo","Notes","BankID","dbo","BanksData","BankID","NO_ACTION","CASCADE","1"
"Adnan","FK_Notes_notes_all","dbo","Notes","notes_all","dbo","notes_all","NoteID","CASCADE","CASCADE","1"
"Adnan","FK_Notes_TblBoxesData","dbo","Notes","BoxID","dbo","TblBoxesData","BoxID","NO_ACTION","CASCADE","1"
"Adnan","FK_Notes_TblCustemers","dbo","Notes","CusID","dbo","TblCustemers","CusID","NO_ACTION","NO_ACTION","1"
"Adnan","FK_Notes_TblMaintenece","dbo","Notes","MaintananceID","dbo","TblMaintenece","MaintananceID","CASCADE","CASCADE","1"
"Adnan","FK_Notes_TblUsers","dbo","Notes","UserID","dbo","TblUsers","UserID","NO_ACTION","CASCADE","1"
"Adnan","FK_Notes_Transactions","dbo","Notes","Transaction_ID","dbo","Transactions","Transaction_ID","CASCADE","CASCADE","1"
"Adnan","FK_OperationsFollowDetails_OperationsFollow","dbo","OperationsFollowDetails","OperationsFollowId","dbo","OperationsFollow","id","CASCADE","CASCADE","1"
"Adnan","FK_opr_employee_details_opr_Employee","dbo","opr_employee_details","pk_id","dbo","opr_Employee","id","CASCADE","CASCADE","1"
"Adnan","FK_project_bill_details_project_billl","dbo","project_bill_details","bill_id","dbo","project_billl","id","CASCADE","CASCADE","1"
"Adnan","FK_projects_des_projects","dbo","projects_des","project_id","dbo","projects","id","CASCADE","CASCADE","1"
"Adnan","FK_sandat_ked_details_sandat_ked","dbo","sandat_ked_details","sandat_pc_no","dbo","sandat_ked","sandat_pc_no","NO_ACTION","NO_ACTION","1"
"Adnan","FK_Shipments_details_Shipments","dbo","Shipments_details","Shipments_id","dbo","Shipments","id","CASCADE","CASCADE","1"
"Adnan","FK_TblAccountIntervals_TblyearsData","dbo","TblAccountIntervals","TblyearsDataid","dbo","TblyearsData","TblyearsDataid","CASCADE","CASCADE","1"
"Adnan","FK_TblAccountsDestributionsDetails_TblAccountsDestributions","dbo","TblAccountsDestributionsDetails","TblAccountsDestributionsid","dbo","TblAccountsDestributions","TblAccountsDestributionsid","CASCADE","CASCADE","1"
"Adnan","FK_TblAccountsDestributionsIntervals_TblAccountsDestributions","dbo","TblAccountsDestributionsIntervals","TblAccountsDestributionsid","dbo","TblAccountsDestributions","TblAccountsDestributionsid","CASCADE","CASCADE","1"
"Adnan","FK_TblApprovalDefDetails_TblApprovalDef","dbo","TblApprovalDefDetails","lMessageDefID","dbo","TblApprovalDef","id","CASCADE","CASCADE","1"
"Adnan","FK_TblBalanceSheetDetails_TblBalanceSheetHeader","dbo","TblBalanceSheetDetails","BalanceSheetHeaderid","dbo","TblBalanceSheetHeader","BalanceSheetHeaderid","CASCADE","CASCADE","1"
"Adnan","FK_tblbanksChequesDetails_tblbanksCheques","dbo","tblbanksChequesDetails","gid","dbo","tblbanksCheques","gid","CASCADE","CASCADE","1"
"Adnan","FK_TblBanksCollectDetails_TblBanksCollect","dbo","TblBanksCollectDetails","TblBanksCollectId","dbo","TblBanksCollect","id","CASCADE","CASCADE","1"
"Adnan","FK_TblBanksDepositeDetails_TblBanksDeposite","dbo","TblBanksDepositeDetails","TblBanksDepositeId","dbo","TblBanksDeposite","id","CASCADE","CASCADE","1"
"Adnan","FK_TblBoxStock_TblBoxesData","dbo","TblBoxStock","BoxID","dbo","TblBoxesData","BoxID","NO_ACTION","CASCADE","1"
"Adnan","FK_TblBoxStockDetails_TblBoxStock","dbo","TblBoxStockDetails","BoxStockID","dbo","TblBoxStock","BoxStockID","CASCADE","CASCADE","1"
"Adnan","FK_TblBoxStockDetails_TblCurrencyBandNames","dbo","TblBoxStockDetails","CurrencyBandID","dbo","TblCurrencyBandNames","CurrencyBandID","NO_ACTION","NO_ACTION","1"
"Adnan","FK_TblCarMaintenancePlanDetails_TblCarMaintenancePlan","dbo","TblCarMaintenancePlanDetails","Planid","dbo","TblCarMaintenancePlan","Planid","CASCADE","CASCADE","1"
"Adnan","FK_TblChangedComponentRegisterDetails_TblChangedComponentRegister","dbo","TblChangedComponentRegisterDetails","ChangedComponentid","dbo","TblChangedComponentRegister","ChangedComponentid","CASCADE","CASCADE","1"
"Adnan","FK_TblChangedComponentRegisterDetails_TblEmployee","dbo","TblChangedComponentRegisterDetails","Emp_id","dbo","TblEmployee","Emp_ID","CASCADE","CASCADE","1"
"Adnan","FK_TblChangeEmployeedataDetails_TblChangeEmployeedata","dbo","TblChangeEmployeedataDetails","ChangedComponentid","dbo","TblChangeEmployeedata","ChangedComponentid","CASCADE","CASCADE","1"
