"TableName","ColumnName","DataType"
"ApprovalData","NoteID","float"
"ApprovalData","NoteSerial","nvarchar"
"AqarRquestAndQutaion","Notes","varchar"
"ArrowsTransactions","NoteSerial","nvarchar"
"ArrowsTransactions","NoteSerial1","nvarchar"
"ArrowsTransactions","NoteID","int"
"Bockets","Notes","nvarchar"
"ContainerContracts","ContractNo","int"
"ContainerContracts","Contract_period_no","int"
"ContainerContracts","Contract_period","int"
"ContainerContracts","NoteID","int"
"ContainerContracts","NoteSerial","nvarchar"
"ContainerContractsDet","ContractNo","int"
"ContainerContractsRec","ContractNo","int"
"ContainerContractsRecDet","ContractNo","int"
"ContainerUnloading","ContractNo","int"
"ContainerUnloading","NoteID","int"
"ContainerUnloading","NoteSerial","nvarchar"
"Contract","Contract_ID","int"
"Contract","Contract_date","datetime"
"Contract","Contract_type","int"
"Contract","Contract_period_no","int"
"Contract","Contract_period","int"
"Contract","Contract_Enddate","nvarchar"
"Contract","ADDtype_Contract","int"
"Contract","AutRenContract","bit"
"ContracttBillInstallmentsDone","InstallNo","int"
"ContracttBillInstallmentsDone","NoteID","int"
"Create_field","Notes","nvarchar"
"DOUBLE_ENTREY_VOUCHERS","Notes_ID","int"
"DOUBLE_ENTREY_VOUCHERS","notes_all","int"
"DOUBLE_ENTREY_VOUCHERS1","Notes_ID","int"
"DOUBLE_ENTREY_VOUCHERS1","notes_all","int"
"DOUBLE_ENTREY_VOUCHERS1","ContNo","int"
"DOUBLE_ENTREY_VOUCHERS2","Notes_ID","int"
"DOUBLE_ENTREY_VOUCHERS2","notes_all","int"
"EmpSalaryComponent","Contract_ID","int"
"End_of_service","NoteSerial","nvarchar"
"End_of_service","NoteID","int"
"ExpensesDetails","NoteSerial1","nvarchar"
"ExpensesDetails","NoteSerial","nvarchar"
"ExpensesDetails","Noteid","int"
"FixedAssetInstallments","FixedAssetInstallmentsid","int"
"FixedAssetInstallments","NoteSerial","nvarchar"
"FixedAssetInstallments","NoteID","nvarchar"
"FixedAssetInstallmentsDetails","FixedAssetInstallmentsid","int"
"FixedAssetInstallmentsDetails","InstallmentID","int"
"FixedAssetInstallmentsDetails","InstallmentValue","money"
"FixedAssetInstallmentsDetails","InstallmentDate","datetime"
"FixedAssetInstallmentsDetails","RemainInstallments","int"
"FixedAssetInstallmentsDetails","InstallmentProduct","int"
"FixedAssets","NoOfInstallments","int"
"FixedAssets","EXEInstallments","int"
"FixedAssets","RemainInstallments","int"
"FixedAssets","InstallmentValue","money"
"FixedAssets","Notes","nvarchar"
"FixedAssets","NoteSerial","nvarchar"
"FixedAssets","NoteID","nvarchar"
"FixedAssets","NoteSerial1","nvarchar"
"FixedAssets","NoteID1","nvarchar"
"FixedAssets","Contryid","float"
"FixedAssets","IsContainer","bit"
"FixedAssetsGroup","IsContainer","bit"
"InstallMent","NoteID","int"
"InstallMent","InstallCount","int"
"InstallMent","FirstInstallDate","smalldatetime"
"InstallMent","InstallmentType","int"
"InstallMent","InstallSeprator","int"
"INSTALLMENT_DETAILS","INSTALLMENT_NO","nvarchar"
"INSTALLMENT_DETAILS","INSTALLMENT_VALUE","float"
"Installments","Installments_TYPE","nvarchar"
"Installments","Installments_VALUE","float"
"Installments","INSTALLMENT_COUNT","int"
"Installments_TYPES","Installments_NAME","nvarchar"
"Installments_TYPES","Installments_VALUE","float"
"Installments_TYPES","Installments_COUNT","int"
"Installments_TYPES","Installments_ID","int"
"jopstatus","StopAllocation","bit"
"LogFile","NotesType","int"
"LogFile","NotesSerial","float"
"LogFile","NotesSerial1","nvarchar"
"marakes_taklefa_temp","NoteDate","datetime"
"marakes_taklefa_temp","NoteSerial","float"
"MEMBER_CHILD","installmentsCount","int"
"MEMBER_CHILD","installment_value","money"
"Notes","NoteID","int"
"Notes","NoteDate","smalldatetime"
"Notes","NoteType","int"
"Notes","NoteSerial","float"
"Notes","NoteSerial1","float"
"Notes","Note_Value","float"
"Notes","NoteHijriDate","nvarchar"
"Notes","RetrunNoteID","int"
"Notes","NoteCashingType","int"
"Notes","NotePosted","int"
"Notes","note_value_by_characters","nvarchar"
"Notes","notes_all","int"
"Notes","general_des_notes","varchar"
"Notes","OldNoteSerial1","nvarchar"
"Notes","AllocationType","int"
"Notes","NoteDateH","nvarchar"
"Notes","note_count","int"
"Notes","ContractNo","nvarchar"
"Notes","ContNo","int"
"Notes","NoteSerial2","float"
"Notes","NoteId2","nvarchar"
"Notes","FilterID","int"
"Notes","FIlterTotal","float"
"Notes","NoteOrBonID","int"
"Notes","NoteOrBonValue","float"
"Notes","NoteOrBonSereal","nvarchar"
"Notes","subcontractType","int"
"Notes","ContractorID","int"
"Notes","Note_ValueE","float"
"Notes","TotalNotesValue","float"
