"DatabaseName","SchemaName","TableName","PKName","ColumnName","key_ordinal"
"Adnan","dbo","AccountMoveLog","PK__AccountM__5E548648124A27D7","LogId","1"
"Adnan","dbo","ACCOUNTS","PK_ACCOUNTS","Account_ID","1"
"Adnan","dbo","AccountSetting","PK__AccountSetting__02FFA16F","ID","1"
"Adnan","dbo","AccountsLevels","PK__AccountsLevels__2DB35E9C","AccountsLevelsid","1"
"Adnan","dbo","AccountsLevelsDetails","PK__AccountsLevelsDe__2F9BA70E","id","1"
"Adnan","dbo","AgengItem_type","PK__AgengItem_type__507E4343","id","1"
"Adnan","dbo","aixTable","PK__aixTable__238C6C92","ID","1"
"Adnan","dbo","ApprovalData","PK__ApprovalData__02159ED7","id","1"
"Adnan","dbo","AqarRquestAndQutaion","PK__AqarRquestAndQut__18F9CF86","ID","1"
"Adnan","dbo","Arrows","PK__Arrows__55AB7606","ArrowsID","1"
"Adnan","dbo","ArrowsCompanies","PK__ArrowsCompanies__79E8D67C","CompanyId","1"
"Adnan","dbo","ArrowsGroup","PK__ArrowsGroup__66D60208","GroupID","1"
"Adnan","dbo","ArrowsTransactions","PK__ArrowsTransactio__21F6C7D6","OprId","1"
"Adnan","dbo","BalanceSheetReport","PK__BalanceSheetRepo__4F88885C","id","1"
"Adnan","dbo","BalanceSheetView","PK__BalanceSheetView__4AF8DD69","BalanceSheetId","1"
"Adnan","dbo","BalanceSheetViewAccounts","PK__BalanceSheetView__6D4DF56D","Id","1"
"Adnan","dbo","BanksData","PK_BanksData","BankID","1"
"Adnan","dbo","Bockets","PK__Bockets__6C8EDB5E","BocketId","1"
"Adnan","dbo","ChequePrint","PK_ChequePrint","Id","1"
"Adnan","dbo","ClassCustomers","PK__ClassCustomers__20E50A11","ID","1"
"Adnan","dbo","CLYTable","PK__CLYTable__21A42420","ID","1"
"Adnan","dbo","Coding","PK_Coding","id","1"
"Adnan","dbo","ConflictTest","PK__ConflictTest__4E3E9311","ID","1"
"Adnan","dbo","ContainerContracts","PK__ContainerContrac__0571F9C6","ID","1"
"Adnan","dbo","ContainerContractsDet","PK__ContainerContrac__075A4238","ID","1"
"Adnan","dbo","ContainerContractsRec","PK__ContainerContrac__09428AAA","ID","1"
"Adnan","dbo","ContainerContractsRecDet","PK__ContainerContrac__0B2AD31C","ID","1"
"Adnan","dbo","ContainerUnloading","PK__ContainerUnloadi__38F19DCC","ID","1"
"Adnan","dbo","Contract","PK__Contract__1FC39B4A","Contract_ID","1"
"Adnan","dbo","contract_type","PK_contract_type","id","1"
"Adnan","dbo","ContracttBillInstallmentsDone","PK__ContracttBillIns__317A9936","id","1"
"Adnan","dbo","CostCenter","PK__CostCenter__2917FB5A","GroupID","1"
