"DatabaseName","SchemaName","TableName","Rows"
"Adnan","dbo","AccountMoveLog","0"
"Adnan","dbo","ACCOUNTS","2123"
"Adnan","dbo","ACCOUNTS_BeforeHiddenCharsCleanup","2083"
"Adnan","dbo","accounts_temp","0"
"Adnan","dbo","AccountSetting","0"
"Adnan","dbo","AccountsLevels","1"
"Adnan","dbo","AccountsLevelsDetails","6"
"Adnan","dbo","ACTIVITIES_type","2"
"Adnan","dbo","Ageng_type","5"
"Adnan","dbo","AgengItem_type","0"
"Adnan","dbo","aixTable","181"
"Adnan","dbo","ApprovalData","0"
"Adnan","dbo","AqarRquestAndQutaion","0"
"Adnan","dbo","Arrows","0"
"Adnan","dbo","ArrowsCompanies","0"
"Adnan","dbo","ArrowsGroup","0"
"Adnan","dbo","ArrowsTransactions","0"
"Adnan","dbo","Attendance_and_late","0"
"Adnan","dbo","Attendance_and_late_details","0"
"Adnan","dbo","BalanceSheetReport","0"
"Adnan","dbo","BalanceSheetView","0"
"Adnan","dbo","BalanceSheetViewAccounts","0"
"Adnan","dbo","BanksData","12"
"Adnan","dbo","Bockets","0"
"Adnan","dbo","BOXs","0"
"Adnan","dbo","branches","1"
"Adnan","dbo","cachierData","0"
"Adnan","dbo","CARD","1"
"Adnan","dbo","Cash_flow","0"
"Adnan","dbo","CENTER_MANAGER","1"
"Adnan","dbo","ChequePrint","0"
"Adnan","dbo","ClassCustomers","0"
"Adnan","dbo","CLYTable","65"
"Adnan","dbo","Coding","8"
"Adnan","dbo","ConflictTest","6"
"Adnan","dbo","ContainerContracts","0"
"Adnan","dbo","ContainerContractsDet","0"
"Adnan","dbo","ContainerContractsRec","0"
"Adnan","dbo","ContainerContractsRecDet","0"
"Adnan","dbo","ContainerUnloading","0"
"Adnan","dbo","Contract","0"
"Adnan","dbo","contract_type","2"
"Adnan","dbo","ContracttBillInstallmentsDone","9591"
"Adnan","dbo","CostCenter","0"
"Adnan","dbo","Create_field","0"
"Adnan","dbo","Create_Table","0"
"Adnan","dbo","currency","5"
"Adnan","dbo","CusJuncItem","0"
"Adnan","dbo","CustomersFollow","0"
"Adnan","dbo","CustomersFollowDetails","0"
"Adnan","dbo","dean","3"
"Adnan","dbo","DEPARTMENT","2"
"Adnan","dbo","DOUBLE_ENTREY_VOUCHERS","74446"
"Adnan","dbo","DOUBLE_ENTREY_VOUCHERS1","716"
"Adnan","dbo","DOUBLE_ENTREY_VOUCHERS2","0"
"Adnan","dbo","dtproperties","7"
"Adnan","dbo","edictionary","1971"
"Adnan","dbo","emp_contract_type","3"
"Adnan","dbo","emp_mofrad","0"
"Adnan","dbo","emp_salary","0"
"Adnan","dbo","EmpGroupDep","1"
"Adnan","dbo","EmpGroupDep1","1"
"Adnan","dbo","employee_operations_type","5"
"Adnan","dbo","Employee_salary_col","1"
"Adnan","dbo","EmpSalaryComponent","5"
"Adnan","dbo","End_of_service","0"
"Adnan","dbo","End_of_serviceDetails","0"
"Adnan","dbo","equation","0"
"Adnan","dbo","equation_details","0"
"Adnan","dbo","ExpensesDetails","232"
"Adnan","dbo","ExpensesSearial","1350"
"Adnan","dbo","ExpensesType","63"
"Adnan","dbo","FinancialEquations","1"
"Adnan","dbo","FinancialEquationsData","2"
"Adnan","dbo","FinancialEquationsHistory","1"
"Adnan","dbo","FinancialMarkets","0"
"Adnan","dbo","Fine_TYPES","2"
"Adnan","dbo","FineS","3"
"Adnan","dbo","FINES_DETAILS","4"
"Adnan","dbo","fixed_accounts","21"
"Adnan","dbo","FixedAssetInstallments","85"
"Adnan","dbo","FixedAssetInstallmentsDetails","1655"
"Adnan","dbo","FixedAssets","44"
"Adnan","dbo","FixedAssetsGroup","8"
"Adnan","dbo","FixedAssetsGroupsAccount","0"
"Adnan","dbo","foxy","1"
"Adnan","dbo","FoxySerial","40"
"Adnan","dbo","FoxySerial2","0"
"Adnan","dbo","FXSerialInvesment","0"
"Adnan","dbo","Gbasic","0"
"Adnan","dbo","GranteeType","0"
"Adnan","dbo","Groups","1"
"Adnan","dbo","groups_account_in_inventory","0"
"Adnan","dbo","GroupsCustomers","0"
