"DatabaseName","SchemaName","TableName","column_id","ColumnName","DataType","max_length","precision","scale","is_nullable","is_identity","DefaultDefinition"
"Alromaizan","dbo","Activity","1","Id","int","4","10","0","False","True",""
"Alromaizan","dbo","Activity","2","Code","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","Activity","3","ArName","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","Activity","4","EnName","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","Activity","5","ResponsibleName","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","Activity","6","Notes","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","Activity","7","UserId","int","4","10","0","True","False",""
"Alromaizan","dbo","Activity","8","IsDeleted","bit","1","1","0","False","False","((0))"
"Alromaizan","dbo","Activity","9","IsActive","bit","1","1","0","False","False","((1))"
"Alromaizan","dbo","Activity","10","Image","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","AdditionalItem","1","Id","int","4","10","0","False","True",""
"Alromaizan","dbo","AdditionalItem","2","Code","nvarchar","200","0","0","True","False",""
"Alromaizan","dbo","AdditionalItem","3","ArName","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","AdditionalItem","4","EnName","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","AdditionalItem","5","IsActive","bit","1","1","0","False","False",""
"Alromaizan","dbo","AdditionalItem","6","IsDeleted","bit","1","1","0","False","False",""
"Alromaizan","dbo","AdditionalItem","7","UserId","int","4","10","0","True","False",""
"Alromaizan","dbo","AdditionalItem","8","Notes","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","AdditionalItem","9","Image","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","AdditionalItem","10","ItemId","int","4","10","0","True","False",""
"Alromaizan","dbo","AdditionalItem","11","ItemUnitId","int","4","10","0","True","False",""
"Alromaizan","dbo","AdditionalItem","12","Equivalent","float","8","53","0","True","False",""
"Alromaizan","dbo","AdditionalItem","13","DoublePrice","money","8","19","4","True","False",""
"Alromaizan","dbo","AdditionalItem","14","ExtraPrice","money","8","19","4","True","False",""
"Alromaizan","dbo","AdditionalItem","15","ShortagePrice","money","8","19","4","True","False",""
"Alromaizan","dbo","AdditionalItem","16","ExtraQuantity","decimal","5","5","0","True","False",""
"Alromaizan","dbo","AdditionalItem","17","DoubleQuantity","decimal","5","5","0","True","False",""
"Alromaizan","dbo","AdditionalItem","18","ShortageQuantity","decimal","5","5","0","True","False",""
"Alromaizan","dbo","AdditionalItem","19","ItemPriceId","int","4","10","0","True","False",""
"Alromaizan","dbo","AdditionalItemsGroup","1","Id","int","4","10","0","False","True",""
"Alromaizan","dbo","AdditionalItemsGroup","2","AdditionalItemId","int","4","10","0","True","False",""
"Alromaizan","dbo","AdditionalItemsGroup","3","ItemGroupId","int","4","10","0","True","False",""
"Alromaizan","dbo","AdministrativeDepartment","1","Id","int","4","10","0","False","True",""
"Alromaizan","dbo","AdministrativeDepartment","2","Code","nvarchar","900","0","0","True","False",""
"Alromaizan","dbo","AdministrativeDepartment","3","ArName","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","AdministrativeDepartment","4","EnName","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","AdministrativeDepartment","5","IsDeleted","bit","1","1","0","False","False",""
"Alromaizan","dbo","AdministrativeDepartment","6","IsActive","bit","1","1","0","False","False",""
"Alromaizan","dbo","AdministrativeDepartment","7","UserId","int","4","10","0","True","False",""
"Alromaizan","dbo","AdministrativeDepartment","8","Notes","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","AdministrativeDepartment","9","Image","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","AdministrativeDepartment","10","HrDepartmentId","int","4","10","0","True","False",""
"Alromaizan","dbo","AdministrativeDepartment","11","EmployeeId","int","4","10","0","True","False",""
"Alromaizan","dbo","AdvertisingCompaign","1","Id","int","4","10","0","False","True",""
"Alromaizan","dbo","AdvertisingCompaign","2","Code","nvarchar","100","0","0","False","False",""
"Alromaizan","dbo","AdvertisingCompaign","3","ArName","nvarchar","1000","0","0","True","False",""
"Alromaizan","dbo","AdvertisingCompaign","4","EnName","nvarchar","1000","0","0","True","False",""
"Alromaizan","dbo","AdvertisingCompaign","5","Target","money","8","19","4","True","False",""
"Alromaizan","dbo","AdvertisingCompaign","6","ExpectedSales","money","8","19","4","True","False",""
"Alromaizan","dbo","AdvertisingCompaign","7","ActualSales","money","8","19","4","True","False",""
"Alromaizan","dbo","AdvertisingCompaign","8","StartDate","datetime","8","23","3","True","False",""
"Alromaizan","dbo","AdvertisingCompaign","9","EndDate","datetime","8","23","3","True","False",""
"Alromaizan","dbo","AdvertisingCompaign","10","ResposibleId","int","4","10","0","True","False",""
"Alromaizan","dbo","AdvertisingCompaign","11","Type","int","4","10","0","True","False",""
"Alromaizan","dbo","AdvertisingCompaign","12","ProductGroupId","int","4","10","0","True","False",""
"Alromaizan","dbo","AdvertisingCompaign","13","Notes","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","AdvertisingCompaign","14","ItemId","int","4","10","0","True","False",""
"Alromaizan","dbo","AdvertisingCompaign","15","UserId","int","4","10","0","True","False",""
"Alromaizan","dbo","AdvertisingCompaign","16","IsActive","bit","1","1","0","False","False","((1))"
"Alromaizan","dbo","AdvertisingCompaign","17","UpdatedId","int","4","10","0","True","False",""
"Alromaizan","dbo","AdvertisingCompaign","18","IsDeleted","bit","1","1","0","False","False","((0))"
"Alromaizan","dbo","AdvertisingCompaign","19","Image","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","AllocationType","1","Id","int","4","10","0","False","True",""
"Alromaizan","dbo","AllocationType","2","Code","nvarchar","900","0","0","True","False",""
"Alromaizan","dbo","AllocationType","3","ArName","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","AllocationType","4","EnName","nvarchar","-1","0","0","True","False",""
"Alromaizan","dbo","AllocationType","5","Notes","nvarchar","-1","0","0","True","False",""
