"DatabaseName","FKName","ParentSchema","ParentTable","ParentColumn","ReferencedSchema","ReferencedTable","ReferencedColumn","delete_referential_action_desc","update_referential_action_desc","constraint_column_id"
"Alromaizan","FK_Activity_ERPUser","dbo","Activity","UserId","dbo","ERPUser","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AdditionalItem_ERPUser","dbo","AdditionalItem","UserId","dbo","ERPUser","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AdditionalItem_Item","dbo","AdditionalItem","ItemId","dbo","Item","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AdditionalItem_ItemPrice","dbo","AdditionalItem","ItemPriceId","dbo","ItemPrice","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AdditionalItem_ItemUnit","dbo","AdditionalItem","ItemUnitId","dbo","ItemUnit","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AdditionalItemsGroup_AdditionalItem","dbo","AdditionalItemsGroup","AdditionalItemId","dbo","AdditionalItem","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AdditionalItemsGroup_ItemGroup","dbo","AdditionalItemsGroup","ItemGroupId","dbo","ItemGroup","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AdministrativeDepartment_Employee","dbo","AdministrativeDepartment","EmployeeId","dbo","Employee","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AdministrativeDepartment_ERPUser","dbo","AdministrativeDepartment","UserId","dbo","ERPUser","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AdministrativeDepartment_HrDepartment","dbo","AdministrativeDepartment","HrDepartmentId","dbo","HrDepartment","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AllocationType_ERPUser","dbo","AllocationType","UserId","dbo","ERPUser","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AllowedModule_ERPUser","dbo","AllowedModule","UserId","dbo","ERPUser","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AllowedModule_SystemPage","dbo","AllowedModule","SystemPageId","dbo","SystemPage","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AlternativeItem_Item","dbo","AlternativeItem","ItemId","dbo","Item","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AlternativeItem_MainItem","dbo","AlternativeItem","MainItemId","dbo","Item","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_Area_City","dbo","Area","CityId","dbo","City","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_Area_Country","dbo","Area","CountryId","dbo","Country","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_Area_ERPUser","dbo","Area","UserId","dbo","ERPUser","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AssemblyVoucher_Branch","dbo","AssemblyVoucher","BranchId","dbo","Branch","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AssemblyVoucher_Currency","dbo","AssemblyVoucher","CurrencyId","dbo","Currency","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AssemblyVoucher_Department","dbo","AssemblyVoucher","DepartmentId","dbo","Department","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AssemblyVoucher_ERPUser","dbo","AssemblyVoucher","UserId","dbo","ERPUser","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AssemblyVoucher_Item","dbo","AssemblyVoucher","ItemId","dbo","Item","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AssemblyVoucher_ItemUnit","dbo","AssemblyVoucher","ItemUnitId","dbo","ItemUnit","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AssemblyVoucher_SystemPage","dbo","AssemblyVoucher","SystemPageId","dbo","SystemPage","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AssemblyVoucher_Warehouse","dbo","AssemblyVoucher","WarehouseId","dbo","Warehouse","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AssemblyVoucherDetails_AssemblyVoucher","dbo","AssemblyVoucherDetails","MainDocId","dbo","AssemblyVoucher","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AssemblyVoucherDetails_Currency","dbo","AssemblyVoucherDetails","CurrencyId","dbo","Currency","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AssemblyVoucherDetails_Item","dbo","AssemblyVoucherDetails","ItemId","dbo","Item","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AssemblyVoucherDetails_ItemPrice","dbo","AssemblyVoucherDetails","ItemPriceId","dbo","ItemPrice","Id","NO_ACTION","NO_ACTION","1"
"Alromaizan","FK_AssemblyVoucherDetails_ItemUnit","dbo","AssemblyVoucherDetails","ItemUnitId","dbo","ItemUnit","Id","NO_ACTION","NO_ACTION","1"
