"DatabaseName","SchemaName","TableName","PKName","ColumnName","key_ordinal"
"Alromaizan","dbo","Activity","PK_Activity","Id","1"
"Alromaizan","dbo","AdditionalItem","PK_AdditionalItem","Id","1"
"Alromaizan","dbo","AdditionalItemsGroup","PK_AdditionalItemsGroup","Id","1"
"Alromaizan","dbo","AdministrativeDepartment","PK_AdministrativeDepartment","Id","1"
"Alromaizan","dbo","AdvertisingCompaign","PK_AdvertisingCompaign","Id","1"
"Alromaizan","dbo","AllocationType","PK_AllocationType","Id","1"
"Alromaizan","dbo","AllowedModule","PK_AllowedModule","Id","1"
"Alromaizan","dbo","AlternativeItem","PK_AlternativeItem","Id","1"
"Alromaizan","dbo","ApplicantWorkStatus","PK_ApplicantWorkStatus","Id","1"
"Alromaizan","dbo","Area","PK_Area","Id","1"
"Alromaizan","dbo","AssemblyVoucher","PK_AssemblyVoucher","Id","1"
"Alromaizan","dbo","AssemblyVoucherDetails","PK_AssemblyVoucherDetails","Id","1"
"Alromaizan","dbo","AttendAndLeaveApproval","PK_AttendAndLeaveApproval","Id","1"
"Alromaizan","dbo","AttendAndLeaveApprovalDetail","PK_AttendAndLeaveApprovalDetail","Id","1"
"Alromaizan","dbo","Bank","PK_Bank","Id","1"
"Alromaizan","dbo","BankAccount","PK_BankAccount","Id","1"
"Alromaizan","dbo","BookingInstruction","PK_BookingInstruction","Id","1"
"Alromaizan","dbo","BorrowRequest","PK_BorrowRequest","Id","1"
"Alromaizan","dbo","BorrowRequestDetail","PK_BorrowRequestDetail","Id","1"
"Alromaizan","dbo","Branch","PK_Branch","Id","1"
"Alromaizan","dbo","Building","PK_Building","Id","1"
"Alromaizan","dbo","CarColor","PK_CarColor","Id","1"
"Alromaizan","dbo","CarEntrance","PK_CarEntrance","Id","1"
"Alromaizan","dbo","CarEntranceDetail","PK_CarEntranceDetail","Id","1"
"Alromaizan","dbo","CarEntranceImage","PK_CarEntranceImage","Id","1"
"Alromaizan","dbo","CarModel","PK_CarModel","Id","1"
"Alromaizan","dbo","CarSalesInvoice","PK_CarSalesInvoice","Id","1"
"Alromaizan","dbo","CarSalesInvoiceDetail","PK_CarSalesInvoiceDetail","Id","1"
"Alromaizan","dbo","CarService","PK_CarService","Id","1"
"Alromaizan","dbo","CarServiceCategory","PK_CarServiceCategory","Id","1"
"Alromaizan","dbo","CarServiceDetail","PK_CarServiceDetail","Id","1"
"Alromaizan","dbo","Cart","PK_Cart","Id","1"
"Alromaizan","dbo","CartDetails","PK_CartDetails","Id","1"
"Alromaizan","dbo","CarType","PK_CarType","Id","1"
"Alromaizan","dbo","CarWorkOrder","PK_CarWorkOrder","Id","1"
"Alromaizan","dbo","CarWorkOrderDetail","PK_CarWorkOrderDetail","Id","1"
"Alromaizan","dbo","CashBox","PK_CashBox","Id","1"
"Alromaizan","dbo","CashBoxType","PK_CashBoxType","Id","1"
