"DatabaseName","SchemaName","TableName","Rows"
"Alromaizan","dbo","Activity","5"
"Alromaizan","dbo","AdditionalItem","1"
"Alromaizan","dbo","AdditionalItemsGroup","1"
"Alromaizan","dbo","AdministrativeDepartment","1"
"Alromaizan","dbo","AdvertisingCompaign","0"
"Alromaizan","dbo","AllocationType","0"
"Alromaizan","dbo","AllowedModule","4"
"Alromaizan","dbo","AlternativeItem","0"
"Alromaizan","dbo","ApplicantWorkStatus","3"
"Alromaizan","dbo","Area","2"
"Alromaizan","dbo","AssemblyVoucher","0"
"Alromaizan","dbo","AssemblyVoucherDetails","0"
"Alromaizan","dbo","AttendAndLeaveApproval","0"
"Alromaizan","dbo","AttendAndLeaveApprovalDetail","0"
"Alromaizan","dbo","BalanceStatement","178"
"Alromaizan","dbo","Bank","1"
"Alromaizan","dbo","BankAccount","1"
"Alromaizan","dbo","BookingInstruction","0"
"Alromaizan","dbo","BorrowRequest","1"
"Alromaizan","dbo","BorrowRequestDetail","0"
"Alromaizan","dbo","Branch","0"
"Alromaizan","dbo","Building","1"
"Alromaizan","dbo","CarColor","3"
"Alromaizan","dbo","CarEntrance","2"
"Alromaizan","dbo","CarEntranceDetail","0"
"Alromaizan","dbo","CarEntranceImage","0"
"Alromaizan","dbo","CarModel","8"
"Alromaizan","dbo","CarSalesInvoice","0"
"Alromaizan","dbo","CarSalesInvoiceDetail","0"
"Alromaizan","dbo","CarService","1"
"Alromaizan","dbo","CarServiceCategory","3"
"Alromaizan","dbo","CarServiceDetail","0"
"Alromaizan","dbo","Cart","0"
"Alromaizan","dbo","CartDetails","0"
"Alromaizan","dbo","CarType","4"
"Alromaizan","dbo","CarWorkOrder","1"
"Alromaizan","dbo","CarWorkOrderDetail","0"
"Alromaizan","dbo","CashBox","1"
"Alromaizan","dbo","CashBoxType","2"
"Alromaizan","dbo","CashIssuePaymentMethod","0"
"Alromaizan","dbo","CashIssueSourceType","13"
"Alromaizan","dbo","CashIssueVoucher","0"
"Alromaizan","dbo","CashIssueVoucherEmployeePayrollIssue","0"
"Alromaizan","dbo","CashReceiptPaymentMethod","0"
"Alromaizan","dbo","CashReceiptSourceType","12"
"Alromaizan","dbo","CashReceiptVoucher","0"
"Alromaizan","dbo","CashReceiptVoucherPropertyContractBatch","0"
"Alromaizan","dbo","CashTransfer","4"
"Alromaizan","dbo","CashTransferTypes","9"
"Alromaizan","dbo","Chair","240"
"Alromaizan","dbo","ChartOfAccount","189"
"Alromaizan","dbo","ChartOfAccounts2","0"
"Alromaizan","dbo","ChartOfAccountsCategory","4"
"Alromaizan","dbo","ChartOfAccountsClassification","3"
"Alromaizan","dbo","ChartOfAccountsType","2"
"Alromaizan","dbo","ChartOfAccountTemp","0"
"Alromaizan","dbo","ChequeIssue","0"
"Alromaizan","dbo","ChequeReceipt","0"
"Alromaizan","dbo","ChequeReceiptStatus","3"
"Alromaizan","dbo","ChequeSourceType","6"
"Alromaizan","dbo","ChequeStatus","3"
"Alromaizan","dbo","Children","0"
"Alromaizan","dbo","Church","0"
"Alromaizan","dbo","ChurchFather","0"
"Alromaizan","dbo","ChurchMeeting","0"
"Alromaizan","dbo","ChurchMeetingSetting","0"
"Alromaizan","dbo","ChurchMembership","0"
"Alromaizan","dbo","ChurchMembershipVisit","0"
"Alromaizan","dbo","ChurchService","0"
"Alromaizan","dbo","City","3"
"Alromaizan","dbo","CommissionSetting","2"
"Alromaizan","dbo","Company","1"
"Alromaizan","dbo","CompanyAllowedPages","171"
"Alromaizan","dbo","CompanyJobRequest","0"
"Alromaizan","dbo","CompetitionResult","0"
"Alromaizan","dbo","Competitor","0"
"Alromaizan","dbo","CompetitorAnswer","0"
"Alromaizan","dbo","CompetitorQuestion","0"
"Alromaizan","dbo","CompetitorQuestionDetail","0"
"Alromaizan","dbo","Contact","0"
"Alromaizan","dbo","Contractor","0"
"Alromaizan","dbo","ContractorsGroup","0"
"Alromaizan","dbo","ContractsStatus","2"
"Alromaizan","dbo","ContractsType","4"
"Alromaizan","dbo","ContractType","2"
"Alromaizan","dbo","CostCenter","0"
"Alromaizan","dbo","Country","1"
"Alromaizan","dbo","Coupon","0"
"Alromaizan","dbo","CRM_CustomerEvaluation","1"
"Alromaizan","dbo","CRM_RecordVisitingDates","0"
"Alromaizan","dbo","CRM_TimeSetting","0"
"Alromaizan","dbo","CRM_VisitRecord","0"
"Alromaizan","dbo","CRM_VisitsRequirements","5"
"Alromaizan","dbo","CRM_VisitsType","6"
"Alromaizan","dbo","Currency","24"
"Alromaizan","dbo","CurrencyCategory","9"
"Alromaizan","dbo","Customer","2"
"Alromaizan","dbo","CustomerAddress","0"
"Alromaizan","dbo","CustomerCoupon","0"
"Alromaizan","dbo","CustomerMessage","0"
"Alromaizan","dbo","CustomerNotification","0"
"Alromaizan","dbo","CustomerOpenningBalance","0"
"Alromaizan","dbo","CustomerRep","1"
"Alromaizan","dbo","CustomersGroup","1"
"Alromaizan","dbo","CustomerSourceType","2"
"Alromaizan","dbo","CustomerType","4"
"Alromaizan","dbo","DayUseReservation","0"
"Alromaizan","dbo","DBChange","305"
"Alromaizan","dbo","DebitAgesType","5"
"Alromaizan","dbo","DebitAndCreditNotification","0"
"Alromaizan","dbo","DebitAndCreditNotificationSourceType","10"
"Alromaizan","dbo","DebitAndCreditNotificationType","7"
"Alromaizan","dbo","Department","1"
"Alromaizan","dbo","DepartmentItem","1"
"Alromaizan","dbo","DirectExpenses","2"
"Alromaizan","dbo","DirectRevenue","0"
"Alromaizan","dbo","Doctor","3"
"Alromaizan","dbo","DocumentsCoding","1"
"Alromaizan","dbo","EarlyLeavePermission","1"
"Alromaizan","dbo","EducationalSubject","0"
"Alromaizan","dbo","Elder","0"
"Alromaizan","dbo","Employee","10"
"Alromaizan","dbo","EmployeeAbsence","0"
"Alromaizan","dbo","EmployeeContract","0"
"Alromaizan","dbo","EmployeeContractAnnualIncrease","0"
"Alromaizan","dbo","EmployeeContractEndOfService","0"
"Alromaizan","dbo","EmployeeContractSalaryItem","0"
"Alromaizan","dbo","EmployeeContractVacation","0"
"Alromaizan","dbo","EmployeeExperience","0"
"Alromaizan","dbo","EmployeeFollowUp","5"
"Alromaizan","dbo","EmployeeJob","0"
"Alromaizan","dbo","EmployeeLateness","0"
"Alromaizan","dbo","EmployeeMonthlyAllocation","0"
"Alromaizan","dbo","EmployeeMonthlyAllocationDetail","0"
"Alromaizan","dbo","EmployeeOpenningBalance","0"
"Alromaizan","dbo","EmployeePayrollIssue","3"
"Alromaizan","dbo","EmployeePayrollIssueDetail","0"
"Alromaizan","dbo","EmployeeQualification","0"
"Alromaizan","dbo","EmployeeSalaryItem","0"
"Alromaizan","dbo","EmployeesAttendAndLeave","0"
"Alromaizan","dbo","EmployeesAttendAndLeaveDetail","0"
"Alromaizan","dbo","EmployeesGroup","0"
"Alromaizan","dbo","EmployeeType","0"
"Alromaizan","dbo","EmployeeVacationDue","0"
"Alromaizan","dbo","EmployeeVacationDueDetail","0"
"Alromaizan","dbo","EmployeeVacationOpeningBalance","0"
"Alromaizan","dbo","EmployeeVacationOpeningBalanceDetail","0"
"Alromaizan","dbo","EmployeeVacationsRegistration","0"
"Alromaizan","dbo","EmpPreviousVacation","0"
"Alromaizan","dbo","EmpPreviousVacationDetail","0"
"Alromaizan","dbo","EndOfServiceRewardAccount","0"
"Alromaizan","dbo","EndOfServiceSalaryItem","0"
"Alromaizan","dbo","EndOfServiceType","0"
"Alromaizan","dbo","ERPModules","0"
"Alromaizan","dbo","ERPRole","5"
"Alromaizan","dbo","ERPRoleReport","0"
"Alromaizan","dbo","ERPUser","9"
"Alromaizan","dbo","Examination","1"
"Alromaizan","dbo","ExaminationAnalysis","0"
"Alromaizan","dbo","ExaminationAnalysisImage","0"
"Alromaizan","dbo","ExaminationMedicine","2"
"Alromaizan","dbo","ExaminationRay","0"
"Alromaizan","dbo","ExaminationRayImage","2"
"Alromaizan","dbo","ExcelTemplate","0"
"Alromaizan","dbo","ExpenseAmortization","0"
"Alromaizan","dbo","ExpenseAmortizationDistribution","0"
"Alromaizan","dbo","ExpenseProof","0"
"Alromaizan","dbo","FieldsCoding","0"
"Alromaizan","dbo","FinancialPeriodMaster","2"
"Alromaizan","dbo","FinancialPeriods","24"
"Alromaizan","dbo","FixedAsset","2"
"Alromaizan","dbo","FixedAssetDepreciation","2"
"Alromaizan","dbo","FixedAssetDepreciationDetails","0"
"Alromaizan","dbo","FixedAssetScraping","0"
"Alromaizan","dbo","FixedAssetScrapingDetails","0"
"Alromaizan","dbo","FixedAssetSelling","2"
"Alromaizan","dbo","FixedAssetSellingDetails","0"
"Alromaizan","dbo","FixedAssetsGroup","7"
