"DatabaseName","SchemaName","TableName","Rows"
"RSMDB","dbo","AccountMoveLog","0"
"RSMDB","dbo","ACCOUNTS","2550"
"RSMDB","dbo","ACCOUNTS_BeforeHiddenCharsCleanup","2442"
"RSMDB","dbo","accounts_temp","0"
"RSMDB","dbo","AccountSetting","0"
"RSMDB","dbo","AccountsLevels","1"
"RSMDB","dbo","AccountsLevelsDetails","6"
"RSMDB","dbo","ACTIVITIES_type","2"
"RSMDB","dbo","Ageng_type","5"
"RSMDB","dbo","AgengItem_type","0"
"RSMDB","dbo","aixTable","181"
"RSMDB","dbo","ApprovalData","4"
"RSMDB","dbo","AqarRquestAndQutaion","0"
"RSMDB","dbo","Arrows","0"
"RSMDB","dbo","ArrowsCompanies","0"
"RSMDB","dbo","ArrowsGroup","0"
"RSMDB","dbo","ArrowsTransactions","0"
"RSMDB","dbo","Attendance_and_late","0"
"RSMDB","dbo","Attendance_and_late_details","0"
"RSMDB","dbo","BalanceSheetReport","0"
"RSMDB","dbo","BalanceSheetView","0"
"RSMDB","dbo","BalanceSheetViewAccounts","0"
"RSMDB","dbo","BanksData","15"
"RSMDB","dbo","Bockets","0"
"RSMDB","dbo","BOXs","0"
"RSMDB","dbo","branches","1"
"RSMDB","dbo","cachierData","0"
"RSMDB","dbo","CARD","1"
"RSMDB","dbo","Cash_flow","2"
"RSMDB","dbo","CENTER_MANAGER","1"
"RSMDB","dbo","ChequePrint","1"
"RSMDB","dbo","ClassCustomers","0"
"RSMDB","dbo","CLYTable","65"
"RSMDB","dbo","Coding","9"
"RSMDB","dbo","ConflictTest","6"
"RSMDB","dbo","ContainerContracts","0"
"RSMDB","dbo","ContainerContractsDet","0"
"RSMDB","dbo","ContainerContractsRec","0"
"RSMDB","dbo","ContainerContractsRecDet","0"
"RSMDB","dbo","ContainerUnloading","0"
"RSMDB","dbo","Contract","168"
"RSMDB","dbo","contract_type","2"
"RSMDB","dbo","ContracttBillInstallmentsDone","9550"
"RSMDB","dbo","CostCenter","0"
"RSMDB","dbo","Create_field","0"
"RSMDB","dbo","Create_Table","0"
"RSMDB","dbo","currency","5"
"RSMDB","dbo","CusJuncItem","0"
"RSMDB","dbo","CustomersFollow","0"
"RSMDB","dbo","CustomersFollowDetails","0"
"RSMDB","dbo","dean","3"
"RSMDB","dbo","DEPARTMENT","2"
"RSMDB","dbo","DOUBLE_ENTREY_VOUCHERS","139769"
"RSMDB","dbo","DOUBLE_ENTREY_VOUCHERS1","886"
"RSMDB","dbo","DOUBLE_ENTREY_VOUCHERS2","0"
"RSMDB","dbo","dtproperties","7"
"RSMDB","dbo","edictionary","1974"
"RSMDB","dbo","emp_contract_type","3"
"RSMDB","dbo","emp_mofrad","0"
"RSMDB","dbo","emp_salary","5855"
"RSMDB","dbo","EmpGroupDep","3"
"RSMDB","dbo","EmpGroupDep1","1"
"RSMDB","dbo","employee_operations_type","5"
"RSMDB","dbo","Employee_salary_col","1"
"RSMDB","dbo","EmpSalaryComponent","509"
"RSMDB","dbo","End_of_service","76"
"RSMDB","dbo","End_of_serviceDetails","202"
"RSMDB","dbo","equation","0"
"RSMDB","dbo","equation_details","0"
"RSMDB","dbo","ExpensesDetails","3874"
"RSMDB","dbo","ExpensesSearial","10063"
"RSMDB","dbo","ExpensesType","59"
"RSMDB","dbo","FinancialEquations","0"
