"DatabaseName","Metric","Value"
"RSMDB","Properties","16"
"RSMDB","Units","629"
"RSMDB","Renters/Customers","969"
"RSMDB","Contracts","2813"
"RSMDB","ContractInstallments","7478"
"RSMDB","SettlementHeaders","574"
"RSMDB","Notes/Vouchers","39257"
"RSMDB","Accounts","2550"
"RSMDB","Contracts missing property","0"
"RSMDB","Contracts missing unit","0"
"RSMDB","Contracts missing renter","0"
"RSMDB","Installments missing contract","0"
"RSMDB","Installments with negative remain","44"
"RSMDB","Installments paid over value","45"
"RSMDB","Contracts invalid dates","0"
"RSMDB","Duplicate contract numbers","0"
"RSMDB","Duplicate unit per property/unitno","5"
"RSMDB","Settlements missing contract","1"
"RSMDB","Settlements missing renter","0"
"RSMDB","Notes linked to missing contract","0"
"RSMDB","Notes linked to missing renter","0"
"RSMDB","Customers without account code","3"
"RSMDB","Customers account code missing in ACCOUNTS","0"
"Adnan","Properties","28"
"Adnan","Units","367"
"Adnan","Renters/Customers","817"
"Adnan","Contracts","2127"
"Adnan","ContractInstallments","7878"
"Adnan","SettlementHeaders","470"
"Adnan","Notes/Vouchers","18927"
"Adnan","Accounts","2123"
"Adnan","Contracts missing property","0"
"Adnan","Contracts missing unit","0"
"Adnan","Contracts missing renter","0"
"Adnan","Installments missing contract","0"
"Adnan","Installments with negative remain","0"
"Adnan","Installments paid over value","0"
"Adnan","Contracts invalid dates","0"
"Adnan","Duplicate contract numbers","0"
"Adnan","Duplicate unit per property/unitno","57"
"Adnan","Settlements missing contract","0"
"Adnan","Settlements missing renter","0"
"Adnan","Notes linked to missing contract","0"
"Adnan","Notes linked to missing renter","0"
"Adnan","Customers without account code","2"
"Adnan","Customers account code missing in ACCOUNTS","0"
