"Account_ID","Account_Code","Account_Name","Parent_Account_Code","last_account","cannot_del","Account_Serial","BasicAccount","DateCreated","Account_NameEng","zmam","mowazna","currenct_code","rate","cost_center","Sum_account","opening_balance","opening_balance_type","cost_center_id","cost_center_type","ShowInBlanceSheet","ActivityTypeId","AccountTypes","AccountTab","DepitOrCredit","Differenttype","Authority","Block","UserGroupId","UserId","Branch","Balance","DepitBalance","CreditBalance","interval1","interval2","interval3","interval4","interval5","interval6","interval7","interval8","interval9","interval10","interval11","interval12","ProfitBalance","Level","BranchID","account_serial1","account_name1","Account_NameEng1","account_serial2","account_name2","Account_NameEng2","account_serial3","account_name3","Account_NameEng3","TblLCID"
"1","a1","الأصول","r","False","True","1","True","10/26/2007 3:18:00 AM","Assests","","","","","","","83182777.6315","0","","","","","1","0","0","1","0","","","","","2077771.9100","10178587.85","-8100815.94","","","","","","","","","","","","","0","1","","","","","","","","","","",""
"2","a2","الخصوم والملكية","r","False","True","2","True","10/26/2007 3:18:00 AM","Liabilities & Owners Equity","","","","","","","-5485710283.1428","1","","","","","1","1","1","1","0","","","","","-2118925.6699","893439.37","-3012365.0399","","","","","","","","","","","","","0","1","","","","","","","","","","",""
"3","a4","الايرادات","r","False","True","3","True","10/26/2007 3:18:00 AM","Revenue","","False","1","","False","False","-2246756.0600","1","","","","","2","2","1","1","0","","","","","-100509.1900","","-100509.19","","","","","","","","","","","","","0","1","","","","","","","","","","",""
"4","a3","المصروفات","r","False","True","4","True","10/26/2007 3:18:00 AM","Expenses","","False","1","","False","False","5216125.7990","1","","","","","2","3","0","1","0","","","","","141662.9499","450271.7899","-308608.84","","","","","","","","","","","","","0","1","","","","","","","","","","",""
"5","a1a1","الاصول الثابتة","a1","False","False","12","False","2/7/2012 12:00:00 AM","Fixed Assets","","False","1","","False","False","51120766.6600","0","","0","","0","1","0","0","1","0","False","0","0","0","","","","","","","","","","","","","","","","0","2","","","","","","","","","","",""
"6","a1a2","الاصول المتداولة","a1","False","False","11","False","2/7/2012 12:00:00 AM","Current Assets","","False","1","","False","False","32062010.9715","1","","0","","0","1","0","0","1","0","False","0","0","0","2077771.9100","10178587.85","-8100815.94","","","","","","","","","","","","","0","2","","","","","","","","","","",""
"7","a2a1","حقوق الملكية","a2","False","False","21","False","2/8/2012 12:00:00 AM","Owners Equity","","False","1","","False","False","-5481281706.8198","1","","0","","0","1","1","1","1","0","False","0","0","0","-1900045.6400","7083","-1907128.64","","","","","","","","","","","","","0","2","","","","","","","","","","",""
"8","a2a2","الخصوم المتداولة","a2","False","False","22","False","2/8/2012 12:00:00 AM","Current Liabilities","","False","1","","False","False","-4428576.3230","1","","0","","0","1","1","1","1","0","False","0","0","0","-218880.0299","886356.37","-1105236.3999","","","","","","","","","","","","","0","2","","","","","","","","","","",""
"9","a5","الحسابات النظامية","r","False","True","5","True","10/26/2007 3:18:00 AM","Legal Accounts","","False","1","","False","True","0.0400","1","","","","","0","4","","","0","","","","","","","","","","","","","","","","","","","","0","1","","","","","","","","","","",""
"10","a5a2","وسيط افتاحي","a5","False","False","52","False","4/30/2012 12:00:00 AM","Legal Account","","False","1","","False","True","0.0400","","","0","","0","0","4","0","1","0","False","0","0","0","","","","","","","","","","","","","","","","0","2","","","","","","","","","","",""
