"Aqarid","aqarNo","aqartypeid","CountryID","cityid","heyid","floorcount","schemeid","interfaceid","StatusId","EntryCount","noofapartement","noofoffices","noofparking","maintenancetypeid","ownerid","aqarname","streetname","Location","aqarage","currentPrice","lastrentvalue","northlength","Southlength","eastlength","Westlength","totallength","meterRentvalue","metersalevalue","GoogleMap","statusdate","suckdate","suckdateH","suckno","authorizationname","Rate","UnitNo","Block","Part","StreetNo","PriceSomW","PriceHadW","Price","PriceSom","PriceHad","eastWriiten","westWriiten","BranchId","AgemcyNo","Telephone","Mobile","Email","Fax","AccountBank","ContValue","PaymentNo","Priod","PriodDMY","PriodAlow","PriodAlowDMY","DateHCont","DateCont","FromCotDateH","FromCotDate","ToCotDateH","ToCotDate","FirstInstallDateH","FristPaymentDate","SalesEmp","BanckName","Provide","Remarks","ValYearIncrease","FromNo","ToNo","ChkOrder","TypAmola","AmolaValus","FixedID","AccounCode","FromPlanneddate","FromPlanneddateH","ToPlanneddate","ToPlanneddateH","PlotNo","Planned","DisountAmount","NOOFYears","TypeDate","NoteID","NoteSerial","NoteSerial1","TxtContValueWithout","TxtFATValue","TxtFATYou","ComResid"
"1","","","1","2","4","0","","0","","0","0","0","0","0","116","عمارة النخيل","","","0","0","0","0","0","0","0","0","0","0","","9/6/2001 12:00:00 AM","9/18/2018 12:00:00 AM","1440/01/08","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1440/01/08","9/18/2018 12:00:00 AM","1440/01/08","9/18/2018 12:00:00 AM","1440/01/08","9/18/2018 12:00:00 AM","1440/01/08","9/18/2018 12:00:00 AM","0","","","","","","","","0","0","1","a2a1a2a1a3a6","5/17/2026 12:00:00 AM","1447/12/01","5/17/2026 12:00:00 AM","1447/12/01","","","","0","0","","","","0","0","0","0"
"2","","","1","2","5","2","","0","1","0","10","7","0","0","116","عمارة 1 قطعة 4 - مجمع اليرموك 1","الصحابة","","0","0","0","0","0","0","0","0","0","0","","9/6/2001 12:00:00 AM","10/4/2018 12:00:00 AM","1440/01/24","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","0","","","","","","","","0","0","6","","","","","","","","","","","","","","","","",""
"3","","","1","2","5","2","","0","1","","9","6","","0","116","عمارة 2 - مجمع اليرموك 1","","","","","","","","","","","","","","10/4/2018 12:00:00 AM","10/4/2018 12:00:00 AM","1440/01/24","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","0","","","","","","","","0","0","4","","","","","","","","","","","","","","","","",""
"4","","","1","2","5","2","","0","1","","9","6","","0","116","عمارة 3 - مجمع اليرموك 1","","","","","","","","","","","","","","10/4/2018 12:00:00 AM","10/4/2018 12:00:00 AM","1440/01/24","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","0","","","","","","","","0","0","4","","","","","","","","","","","","","","","","",""
"5","","","1","2","5","2","","0","1","","9","6","","0","116","عمارة 4 - مجمع اليرموك 1","","","","","","","","","","","","","","10/4/2018 12:00:00 AM","10/4/2018 12:00:00 AM","1440/01/24","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","0","","","","","","","","0","0","4","","","","","","","","","","","","","","","","",""
"6","","","1","2","5","","","0","1","","9","6","","0","116","عمارة 5 - مجمع اليرموك 1","الصحابة","","","","","","","","","","","","","10/4/2018 12:00:00 AM","10/4/2018 12:00:00 AM","1440/01/24","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","0","","","","","","","","0","0","4","","","","","","","","","","","","","","","","",""
"7","","","1","2","5","2","","0","1","","8","6","","0","116","عمارة 6 - مجمع اليرموك 1","","","","","","","","","","","","","","10/4/2018 12:00:00 AM","10/4/2018 12:00:00 AM","1440/01/24","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","0","","","","","","","","0","0","4","","","","","","","","","","","","","","","","",""
"8","","","1","2","5","2","","0","1","","10","7","","0","116","عمارة 7 - قطعة 12 - مجمع اليرموك 1","","","","","","","","","","","","","","10/4/2018 12:00:00 AM","10/4/2018 12:00:00 AM","1440/01/24","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","1440/01/08","10/4/2018 12:00:00 AM","0","","","","","","","","0","0","5","","","","","","","","","","","","","","","","",""
"9","","","1","2","5","3","","0","1","","28","0","","0","116","عمارة 1- مجمع اليرموك 2 - الاستراحة 1","","","","","","","","","","","","","","10/7/2018 12:00:00 AM","10/7/2018 12:00:00 AM","1440/01/27","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1440/01/08","10/7/2018 12:00:00 AM","1440/01/08","10/7/2018 12:00:00 AM","1440/01/08","10/7/2018 12:00:00 AM","1440/01/08","10/7/2018 12:00:00 AM","0","","","","","","","","0","0","8","","","","","","","","","","","","","","","","",""
"10","","2","1","2","5","3","","0","1","","28","0","","0","116","عمارة 2 - مجمع اليرموك 2 - الاستراحة 2","","","","","","","","","","","","","","10/7/2018 12:00:00 AM","10/7/2018 12:00:00 AM","1440/01/27","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1440/01/08","10/7/2018 12:00:00 AM","1440/01/08","10/7/2018 12:00:00 AM","1440/01/08","10/7/2018 12:00:00 AM","1440/01/08","10/7/2018 12:00:00 AM","0","","","","","","","","0","0","9","","","","","","","","","","","","","","","","",""
