"ID","PymentNo","TypeOper","ContNo","FilterNo","NoteID","TypeAmount","EmpID","Remarks","ReVal","Canceel","Amount","Crosses","Flage","IqarID","ValueAmount"
"19","1","8","95","","181","2","7","","","","297.5","True","True","213",""
"24","1","8","154","","192","2","1","","","","0","True","True","15",""
"25","1","8","154","","193","1","1","","","","0","True","True","1",""
"27","1","8","107","","211","2","7","","","","262.5","True","True","245",""
"28","1","8","92","","212","2","1","","","","0","True","True","276",""
"29","1","8","119","","248","2","7","","","","297.5","True","True","214",""
"32","1","8","7","","251","2","1","","","","0","True","True","48",""
"34","1","8","160","","263","1","1","","","","0","True","True","6",""
"36","2","8","7","","284","2","3","","","","0","True","True","48",""
"41","1","8","64","","292","2","1","","","","0","True","True","157",""
