"Id","Aqarid","length","unitdesc","unitno","unittype","rentType","meterPrice","roomscount","WCcount","kithchencount","RentValue","customerid","haveFurniture","namerentType","Floor","LoungeCount","ACCount","Status","Services","Water","electric","ACCountspleat","UnitElectric","MiniRentValue","Comm","InsuranceValue","CommValue","FilterDateH","FilterDate","ContID","Typed","isTax","readyDAte","ready","Mremarks"
"1","1","0","","1","1","0","0","0","0","0","22000","510","False","القيمة الايجارية","1","0","0","1","0","0","0","0","10026659294","0","0","0","","1442/01/01","8/19/2020 12:00:00 AM","1995","1","False","","",""
"2","1","","","2","1","1","0","0","0","0","22000","451","False","القيمة الايجارية","1","0","0","1","0","0","0","0","","0","0","0","","1440/11/01","7/3/2019 12:00:00 AM","1996","","","","False",""
"3","1","0","","3","1","0","0","0","0","0","40000","","False","القيمة الايجارية","1","0","0","1","0","0","0","0","","0","0","3000","","1447/04/11","10/3/2025 12:00:00 AM","0","","","","",""
"4","1","0","","4","1","0","0","0","0","0","25000","530","False","القيمة الايجارية","1","0","0","1","0","0","0","0","","0","0","1166","","1442/06/19","2/1/2021 12:00:00 AM","1997","1","False","","",""
"5","1","0","","5","1","0","0","0","0","0","17000","89","False","القيمة الايجارية","1","0","0","1","0","0","0","0","","0","0","0","","23-06-1440","2/28/2019 12:00:00 AM","2062","1","False","","",""
"6","1","0","","6","1","0","0","0","0","0","51000","834","False","القيمة الايجارية","2","0","0","1","0","0","0","0","10026661274","0","0","4250","","1447/07/18","1/6/2026 12:00:00 AM","2155","1","False","","",""
"7","1","0","","7","1","0","0","0","0","0","26575","397","False","القيمة الايجارية","2","0","0","1","0","0","0","0","10026661381","0","0","1166","","","","1975","1","False","","",""
"8","1","0","","8","1","0","0","0","0","0","25000","734","False","القيمة الايجارية","2","0","0","1","0","0","0","0","","0","0","1333","","1445/05/23","12/5/2023 12:00:00 AM","1998","1","False","","",""
"9","1","0","","9","1","0","0","0","0","0","25000","","False","القيمة الايجارية","2","0","0","0","0","0","0","0","","0","0","1167","","1447/10/13","3/31/2026 12:00:00 AM","0","1","False","","",""
"10","1","0","","10","1","0","0","0","0","0","25000","795","False","القيمة الايجارية","2","0","0","1","0","0","0","0","","0","0","2087","","1446/10/24","4/22/2025 12:00:00 AM","2000","1","False","","",""
