"ContNo","ContType","ContDate","Iqar","ownerid","UnitType","UnitNo","RentType","StrDate","EndDate","MeterValue","MeterCount","TotalContract","PayAmini","CommiValue","InsuranceValue","Water","Electricity","Phone","Enternet","IncresYearValue","IncresYearRate","CusID","PaymentCount","FristPaymentDate","PeriodsID","Periods","Furnishing","Remarks","RecorddateH","FromdateH","TodateH","FirstInstallDateH","Branch_NO","NoteID","NoteSerial","NoteSerial1","NewOrOpeneing","OthersRules","Emp_ID","OutContract","OldRent","OldWater","OldElectric","oldCommi","DivWater","DivElectric","OldInsurance","balanceDate","balanceDateH","balanceDes","Renew","ContNoOld","FromdateHO","FromdateO","EndContract","Employeecontract","Emp_IDContract","OutOffice","LegalIssue","NotID","NoteSrial1","NotValue","UnitElectric","RetValue2","WaterValue2","CommValue2","InstrunceValue2","StrMerg","ElectricityValue2","MiniRentValue","Servce","MethodDeci","FlagContrNew2","NetValue","FATYou","FATValue","TotalValue","ComResid","AccountCodeVat","CommiValueInVAT","ContID","TypeDate","FATValue2","Contract_period_no","Contract_period","AccountCodeVat2","FATYou2","Remark2","InsurValueInVAT","WaterElecValueInVAT","DiscountPercent","DiscountvaLUE","Accredit","NewNO","ContractReVouchID","IsNotCreateEntry","UserID","FATYou22","QrCodeData","QrCodeDataPath","QrCodeImage","IsShamel","InsuranceValue1","InsuranceValueAdd"
"1","","6/18/2019 12:00:00 AM","2","116","1","31","","6/18/2019 12:00:00 AM","6/18/2020 12:00:00 AM","0","0","16300","","","","","","","","","","5","2","6/18/2019 12:00:00 AM","1","6","","","1440/10/15","1440/10/15","1441/10/27","1440/10/15","1","8","201906002","119060001","0","","1","","","","","","1","","","4/21/2019 12:00:00 AM","1440/08/16","","True","","1433/10/15","9/2/2012 12:00:00 AM","","","","","","","","","","","","","","","","0","0","2","False","16300","0","0","16300","0","a2a2a5a2a2","0","","1","","1","1","a2a2a5a2a2","5","","","","","","","","","","","","","","","","",""
"2","","4/21/2019 12:00:00 AM","2","116","1","33","","4/21/2019 12:00:00 AM","10/15/2019 12:00:00 AM","0","0","9150","","","","","","","","","","103","1","4/21/2019 12:00:00 AM","1","6","","","1440/08/16","1440/08/16","1441/02/16","1440/08/16","1","7","201904003","119040001","0","","1","","","","","","1","","1500","4/21/2019 12:00:00 AM","1440/08/16","","True","","1433/10/15","4/21/2019 12:00:00 AM","True","","","","","","","","","","","","","","","0","0","2","False","9150","0","0","9150","0","a2a2a5a2a2","0","0","0","","6","0","a2a2a5a2a2","5","","","","","","","","","","","","","","","","",""
"3","","1/9/2019 12:00:00 AM","2","116","1","35","","1/9/2019 12:00:00 AM","1/9/2020 12:00:00 AM","0","0","16300","","","","","","","","","","138","2","1/9/2019 12:00:00 AM","1","6","","","1440/05/03","1440/05/03","1441/05/14","1440/05/03","1","1013","201901139","119010001","0","","1","","","","","","1","","1500","4/21/2019 12:00:00 AM","1440/08/16","","True","","1434/05/13","3/15/2013 12:00:00 AM","","","","","","","","","","","","","","","","0","0","2","False","16300","0","0","16300","0","a2a2a5a2a2","0","","1","","1","1","a2a2a5a2a2","5","","0","","","","","","","","","","","","","","",""
"4","","4/1/2019 12:00:00 AM","2","116","1","36","","4/1/2019 12:00:00 AM","4/1/2020 12:00:00 AM","0","0","18300","","","","","","","","","","185","2","4/1/2019 12:00:00 AM","1","6","","","1440/07/26","1440/07/26","1441/08/08","1440/07/26","1","10","201904004","119040002","0","","1","","","","","","1","","1666","4/21/2019 12:00:00 AM","1440/08/16","","True","","1439/07/25","4/11/2018 12:00:00 AM","","","","","","","","","","","","","","","","0","","2","False","18300","0","0","18300","0","a2a2a5a2a2","0","","1","","1","1","a2a2a5a2a2","5","","","","","","","","","","","","","","","","",""
"6","","6/18/2019 12:00:00 AM","2","116","4","28","","6/18/2019 12:00:00 AM","6/18/2020 12:00:00 AM","0","0","14285.72","","","","","","","","","","34","2","6/18/2019 12:00:00 AM","1","6","","","1440/10/15","1440/10/15","1441/10/27","1440/10/15","1","12","201906003","119060002","0","","1","","","","","","1","","1666","4/21/2019 12:00:00 AM","1440/08/16","","True","","1437/04/15","1/25/2016 12:00:00 AM","True","","","","","","","","","","","","","","","0","","2","False","14285.72","5","714.286","15000.006","1","a2a2a5a2a2","0","0","1","","1","1","a2a2a5a2a2","5","","","","","","","","","","","","","","","","",""
"7","","1/4/2019 12:00:00 AM","3","116","1","48","0","1/4/2019 12:00:00 AM","4/2/2019 12:00:00 AM","0","0","4500","","","","","","","","","","75","3","1/4/2019 12:00:00 AM","1","1","","","1440/04/27","1440/04/27","1440/07/27","1440/04/27","1","13","201901002","119010002","0","","1","","","","","","1","","1000","4/21/2019 12:00:00 AM","1440/08/16","","True","","1432/07/27","6/29/2011 12:00:00 AM","True","","","","","","","","","","","","","","","0","","2","False","4500","0","0","4500","0","a2a2a5a2a2","0","0","0","","3","0","a2a2a5a2a2","5","","","","","","","","","","","","","","","","",""
"8","","6/8/2019 12:00:00 AM","3","116","1","50","0","6/8/2019 12:00:00 AM","12/8/2019 12:00:00 AM","0","0","8150","","","","","","","","","","79","1","6/8/2019 12:00:00 AM","1","6","","","1440/10/05","1440/10/05","1441/04/11","1440/10/05","1","14","201906004","119060003","0","","1","","","","","","1","","1600","4/22/2019 12:00:00 AM","1440/08/16","","False","","1437/04/01","1/11/2016 12:00:00 AM","True","","","","True","","","","","","","","","","","0","","2","False","8150","0","0","8150","0","a2a2a5a2a2","0","0","1","","6","0","a2a2a5a2a2","5","","","","","","","","","","","","","","","","",""
"10","","4/6/2019 12:00:00 AM","3","116","2","54","0","4/6/2019 12:00:00 AM","4/6/2020 12:00:00 AM","0","0","14300","","","","","","","","","","99","2","4/6/2019 12:00:00 AM","1","6","","","1440/08/01","1440/08/01","1441/08/13","1440/08/01","1","16","201904005","119040003","0","","1","","","","","","1","","","4/22/2019 12:00:00 AM","1440/08/17","","True","","1435/08/01","5/30/2014 12:00:00 AM","True","","","","","","","","","","","","","","","0","","2","False","14300","0","0","14300","0","a2a2a5a2a2","0","0","1","","1","1","a2a2a5a2a2","5","","","","","","","","","","","","","","","","",""
"11","","5/16/2019 12:00:00 AM","3","116","2","55","0","5/16/2019 12:00:00 AM","11/8/2019 12:00:00 AM","0","0","7150","","","","","","","","","","106","1","5/16/2019 12:00:00 AM","1","6","","","1440/09/12","1440/09/12","1441/03/11","1440/09/12","1","17","201905002","119050002","0","","1","","","","","","1","","1250","4/22/2019 12:00:00 AM","1440/08/17","","True","","1434/03/12","1/24/2013 12:00:00 AM","True","","","","","","","","","","","","","","","0","","2","False","7150","0","0","7150","0","a2a2a5a2a2","0","0","0","","6","0","a2a2a5a2a2","5","","","","","","","","","","","","","","","","",""
"12","","4/3/2019 12:00:00 AM","3","116","3","47","0","4/3/2019 12:00:00 AM","9/27/2019 12:00:00 AM","0","0","3250","","","","","","","","","","149","1","4/3/2019 12:00:00 AM","1","6","","","1440/07/28","1440/07/28","1441/01/28","1440/07/28","1","18","201904006","119040004","0","","1","","","","","","1","","541","4/22/2019 12:00:00 AM","1440/08/17","","True","","1437/01/28","11/10/2015 12:00:00 AM","True","","","","","","","","","","","","","","","0","0","2","False","3250","0","0","3250","0","a2a2a5a2a2","0","0","0","","6","0","a2a2a5a2a2","5","","","","","","","","","","","","","","","","",""
