"id","ContNo","InstallNo","Installdate","InstalldateH","installValue","Status","NoteSerial","NoteSerial1","NoteID","RentValue","Commissions","Insurance","Water","Electric","TelandNet","payed","Remains","RentValuePayed","CommissionsPayed","InsurancePayed","WaterPayed","ElectricPayed","TelandNetPayed","lastPayedDate","lastPayedDateH","allocations","Countsofall","Doneofall","hijri","OldValueDate","OldValueDateH","OldValue","des","NpayedValue","Rent1","RentArbon","NetRent","Commissions1","CommissionsArbon","NetCommissions","Insurance1","InsuranceArbon","NetInsurance","Water1","WaterArbon","NetWater","Electric1","ElectricArbon","NetElectric","ServiceArbon","WivrID","OldValuePayed","TempInstal","VATPayed","VATValue","DevID","Prefix","VATArboon","ContractReVouchID","ContractReVouchID2","VATValueOld","VATYou1","VATYou2","VATValue1","VATValue2","CountDay1","CountDay2","CostDay","CountDaysTotal","IsChangVat","NoteIdDiff","NoteSerialDiff","DiffAmount","VATValue1Com","VATValue2Com","Commissions2","QrCodeData","QrCodeDataPath","QrCodeImage","NoteSerial1H"
"113","2","1","4/21/2019 12:00:00 AM","1440/08/16","9150","False","","","0","9150","0","0","0","0","0","0","9150","0","0","0","0","0","0","4/21/2019 12:00:00 AM","","0","6","0","0","4/21/2019 12:00:00 AM","1440/08/16","","","0","9150","0","9150","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","",""
"114","1","1","6/18/2019 12:00:00 AM","1440/10/15","8150","False","","119060004","0","8150","0","0","0","0","0","0","8150","0","0","0","0","0","0","7/21/2019 12:00:00 AM","","1","6","0","1","4/21/2019 12:00:00 AM","1440/08/16","","","0","8150","0","8150","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","",""
"115","1","2","12/18/2019 12:00:00 AM","1441/04/21","8150","False","","119120001","0","8150","0","0","0","0","0","0","8150","0","0","0","0","0","0","7/21/2019 12:00:00 AM","","1","6","0","0","4/21/2019 12:00:00 AM","1440/08/16","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","\\erpserver\Dynamic Byte\QRCodeFiles\Inv119060001.gif","System.Byte[]",""
"118","4","1","4/1/2019 12:00:00 AM","1440/07/26","9150","True","","","0","9150","0","0","0","0","0","0","9150","0","0","0","0","0","0","","","0","6","0","1","4/21/2019 12:00:00 AM","1440/08/16","","","0","9150","0","9150","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","",""
"119","4","2","10/1/2019 12:00:00 AM","1441/02/02","9150","False","","","0","9150","0","0","0","0","0","0","9150","0","0","0","0","0","0","","","1","6","0","0","4/21/2019 12:00:00 AM","1440/08/16","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","",""
"122","6","1","6/18/2019 12:00:00 AM","1440/10/15","7500.006","False","","","0","7142.86","0","0","0","0","0","0","7500.006","0","0","0","0","0","0","9/11/2019 12:00:00 AM","","1","6","0","1","4/21/2019 12:00:00 AM","1440/08/16","","","0","7142.86","0","7142.86","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","357.146","","","0","","","","","","","","","","","","","","","","","","","","","",""
"123","6","2","12/18/2019 12:00:00 AM","1441/04/21","7500.006","False","","","0","7142.86","0","0","0","0","0","0","7500.006","0","0","0","0","0","0","9/11/2019 12:00:00 AM","","1","6","0","0","4/21/2019 12:00:00 AM","1440/08/16","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","357.146","","","0","","","","","","","","","","","","","","","","","","","","","",""
"124","7","1","1/4/2019 12:00:00 AM","1440/04/27","1500","True","","","0","1500","0","0","0","0","0","0","1500","0","0","0","0","0","0","","","0","1","0","0","4/21/2019 12:00:00 AM","1440/08/16","","","0","1500","0","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","",""
"125","7","2","2/2/2019 12:00:00 AM","1440/05/27","1500","True","","","0","1500","0","0","0","0","0","0","1500","0","0","0","0","0","0","","","0","1","0","0","4/21/2019 12:00:00 AM","1440/08/16","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","",""
"126","7","3","3/4/2019 12:00:00 AM","1440/06/27","1500","True","","","0","1500","0","0","0","0","0","0","1500","0","0","0","0","0","0","","","1","1","0","0","4/21/2019 12:00:00 AM","1440/08/16","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","",""
