"ID","RecordDateH","RecordDate","BranchID","BulidID","RenterID","ApartmentID","Insurance","EndDateH","EndDate","FilterDateH","FilterDate","BillPrice","AccountNo","DayNo","AmountDely","unittype","OFRenter","ForRenter","UserID","ContNo","ContractNo","NoteID","NoteSerial","ContractDays","ActualDays","WaterPrice","DayPricen","ServicePrice","WaterPriceotal","DayPricentotal","Service","WaterPayed","RentValuePayed","TelandNetPayed","RemainWater","RemainRent","RemainService","outflow","outCondition","NoDaye","Efflux","ValDay","Discount","totalcollected","totalpayed","net","LegalIssue","DaysValueIncrease","DaysValueIncomplete","DayValueInc","DayCountInc","DayValueIncomplete","DayCountIncomplete","LastInvoiceRead","LastInvoiceRead2","Diff","Price","R","PrevBalance","ServiceCounter","TotalCounter","TotalinsuranceS","TypeMonthCalc","VAtPercent","VAt2","TotalCounterNet","LastInstalldate","InstalldateH","ComResid","TypeDate","CalcLastPayment","RenterID2","ApartmentID2","BulidID2","unittype2","UnitElectric","NewNO","Accredit","ManualNO","IsLegalAffairs","LegalAffairs","FiterWaiver","ForRenterB"
"2","1440/09/05","5/9/2019 12:00:00 AM","1","20","284","218","1000","1441/03/12","11/9/2019 12:00:00 AM","1440/09/05","5/9/2019 12:00:00 AM","0","","0","0","1","1000","0","2","96","219020001","720","201905104","273","0","0","41.21","0","0","0","0","0","0","0","0","0","0","","","","","","","","","-1000","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","","5","0","0","2/9/2019 12:00:00 AM","1440/06/04","0","1","False","284","218","20","1","","","","","","","",""
"5","1440/06/23","2/28/2019 12:00:00 AM","1","20","300","254","1000","1441/04/01","11/28/2019 12:00:00 AM","1440/06/23","2/28/2019 12:00:00 AM","0","","0","0","1","1000","5250","4","110","219020005","872","201902155","273","0","0","57.69","0","0","0","0","0","5250","0","0","5250","0","","","","","","","","","4250","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","True","5","0","0","2/28/2019 12:00:00 AM","1440/06/23","0","1","True","300","254","20","1","","","","5","","","",""
"6","1440/11/12","7/14/2019 12:00:00 AM","1","7","182","111","1500","1440/12/20","8/21/2019 12:00:00 AM","1440/11/12","7/14/2019 12:00:00 AM","0","","0","0","1","3410.26","15082.304","1","31","119020004","939","201907062","181","143","0","50.55","0","0","14417.26","0","0","14130","0","0","21318.61","0","","","","","","","","","11672.044","","0","1910.26","0","0","50.27","38","169919","171825","1906","0.18","343.08","71.32","15","429.4","1500","True","5","17.904","447.304","2/21/2019 12:00:00 AM","1440/06/16","0","1","False","182","111","7","1","","","","","","","",""
"7","1440/11/12","7/14/2019 12:00:00 AM","1","10","272","172","1600","1441/01/01","8/31/2019 12:00:00 AM","1440/10/25","6/28/2019 12:00:00 AM","0","","0","0","1","4476.16","778.436","2","77","119030019","941","201907063","177","113","0","45.2","0","0","10185.82","0","0","0","0","0","5078.22","0","","","","","","","","","-3697.724","","0","2876.16","0","0","44.94","64","99658","100282","624","0.18","112.32","0","10","122.32","1600","","5","6.116","128.436","3/7/2019 12:00:00 AM","1440/07/01","0","0","False","272","172","10","1","","","","","","","",""
"11","1440/11/15","7/17/2019 12:00:00 AM","1","20","318","237","0","1441/09/09","5/1/2020 12:00:00 AM","1440/11/30","8/1/2019 12:00:00 AM","0","","0","0","1","1333","125","2","128","219050003","971","201907080","366","92","0","43.72","0","0","8033.44","0","0","0","0","0","4011.2","0","","","","","","","","","-1208","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1333","","5","0","0","8/1/2019 12:00:00 AM","1440/11/30","0","1","True","318","237","20","1","","","","","","","",""
"14","1440/11/21","7/23/2019 12:00:00 AM","1","10","273","174","1500","1441/02/05","10/4/2019 12:00:00 AM","1440/09/05","5/9/2019 12:00:00 AM","0","","0","0","1","8982.88","9000","1","79","119040014","1015","201907108","177","29","0","50.85","0","0","2940.89","0","0","9000","0","0","10466.24","0","","","","","","","","","17.12","","0","7482.88","0","0","50.56","148","0","0","0","0","0","0","0","0","1500","","5","0","0","7/23/2019 12:00:00 AM","1440/06/16","0","0","False","273","174","10","1","","","","","","","",""
"15","1440/11/22","7/24/2019 12:00:00 AM","1","1","274","1","916","1441/09/20","5/12/2020 12:00:00 AM","1440/11/15","7/17/2019 12:00:00 AM","0","","0","0","1","4452.46","11618.708","2","218","119050019","1036","201907119","366","66","0","30.05","0","0","3961.32","0","0","11000","0","0","12978.02","0","","","","","","","","","7166.248","","0","3536.46","0","0","29.97","118","81686","81698","12","0.18","2.16","66.44","0","68.6","916","","5","0.108","68.708","11/12/2019 12:00:00 AM","1441/03/15","0","1","True","274","1","1","1","","","","","","","",""
"16","1440/11/28","7/30/2019 12:00:00 AM","1","8","177","118","0","1440/10/25","6/28/2019 12:00:00 AM","1440/11/11","7/13/2019 12:00:00 AM","0","","0","0","4","0","11084","1","151","119010021","1073","201907142","177","196","0","56.5","0","0","21903","0","0","10000","0","0","20829","0","","","","","","","","","11084","","884","0","55.25","16","0","0","0","0","0","0","0","0","0","0","0","True","5","0","0","7/30/2019 12:00:00 AM","1440/06/04","1","0","False","177","118","8","4","","","","","","","",""
"17","1440/11/29","7/31/2019 12:00:00 AM","1","20","305","263","0","1441/05/23","1/18/2020 12:00:00 AM","1440/11/16","7/18/2019 12:00:00 AM","0","","0","0","1","0","9674","2","115","219010007","1100","201907158","365","181","0","57.53","0","0","20825.86","0","0","9674","0","0","20086.93","0","","","","","","","","","9674","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","5","0","0","7/18/2019 12:00:00 AM","1440/11/16","0","1","True","305","263","20","1","","","","","","","",""
"19","1440/12/18","8/19/2019 12:00:00 AM","1","20","335","235","1000","1441/02/22","10/21/2019 12:00:00 AM","1440/11/19","7/21/2019 12:00:00 AM","0","","0","0","1","1000","0","1","103","219010011","1200","201908036","273","181","0","62.27","0","0","22500.11","0","0","0","0","0","11229.24","0","","","","","","","","","-1000","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","","5","0","0","4/21/2019 12:00:00 AM","1440/08/16","0","1","True","335","235","20","1","","","","","","","",""
