"ID","IDFItWaiv","GroupID","Count","Remark","IDItem","Price","Accountsus"
"53","7","0","1","","2","150","a3a1a3a3a1"
"54","7","0","1","","1","250","a3a1a3a3a3"
"55","7","0","1","","9","250","a3a1a3a3a19"
"83","22","0","1","","13","125","a3a1a5a1a23"
"122","11","0","1","","13","125","a3a1a5a1a23"
"200","26","0","1","","2","100","a3a1a3a3a1"
"201","26","0","1","","1","800","a3a1a3a3a3"
"202","26","0","1","","9","800","a3a1a3a3a19"
"203","26","0","1","","10","1241","a3a1a3a3a2"
"210","15","0","1","(تقديريه ) ","1","150","a3a1a3a3a3"
