"ID","MasterID","RecordDateH","RecordDate","BranchID","BulidID","RenterID","ApartmentID","Insurance","EndDateH","EndDate","FilterDateH","FilterDate","BillPrice","AccountNo","DayNo","AmountDely","DayLate","DaysValue","TotalDept","TotalRight","unittype","OFRenter","ForRenter","UserID","ContNo","ContractNo","NoteID","NoteSerial","ContractDays","ActualDays","WaterPrice","DayPricen","ServicePrice","WaterPriceotal","DayPricentotal","Service","WaterPayed","RentValuePayed","TelandNetPayed","RemainWater","RemainRent","RemainService","outflow","outCondition","NoDaye","Efflux","ValDay","Discount","totalcollected","totalpayed","net","StartDate","StartDateh","OldRent","RemainDays","RemainCommissions","TotalStill","TypeDate"
"48","14","","","","","","","0","1441/02/05","10/4/2019 12:00:00 AM","","","0","","","7533.44","149","7483.15","16483.15","0","","","","","79","","","","","178","","","","","","","0","9000","0","0","9000","0","","","","","","","","","","4/10/2019 12:00:00 AM","1440/08/05","0","148","0","9000","0"
"58","7","","","","","","","0","1441/01/01","8/31/2019 12:00:00 AM","","","0","","","2921.1","65","2876.4","2876.4","0","","","","","77","","","","","178","","","","","","","0","0","0","0","0","0","","","","","","","","","","3/7/2019 12:00:00 AM","1440/07/01","0","64","0","0","0"
"85","19","","","","","","","0","1441/02/22","10/21/2019 12:00:00 AM","","","0","","","5769.72","93","0","0","0","","","","","103","","","","","274","","","","","","","0","0","0","0","0","0","","","","","","","","","","1/21/2019 12:00:00 AM","1440/05/15","0","0","0","0","1"
"86","20","","","","","","","0","1440/11/22","7/24/2019 12:00:00 AM","","","0","","","245.9","1","0","0","0","","","","","229","","","","","61","","","","","","","0","0","0","0","0","0","","","","","","","","","","5/26/2019 12:00:00 AM","1440/09/22","0","0","0","0","0"
"112","22","","","","","","","1333","1441/09/16","5/8/2020 12:00:00 AM","","","0","","","12033.6","276","0","0","1333","","","","","129","","","","","367","","","","","","","0","0","0","0","0","0","","","","","","","","","","5/8/2019 12:00:00 AM","1440/09/04","0","0","0","0","1"
"142","24","","","","","","","0","1441/04/11","12/8/2019 12:00:00 AM","","","0","","","3897.52","88","3853.53","12003.53","0","","","","","8","","","","","184","","","","","","","0","8150","0","0","8150","0","","","","","","","","","","6/8/2019 12:00:00 AM","1440/10/05","0","87","0","8150","1"
"143","11","","","","","","","1333","1441/09/09","5/1/2020 12:00:00 AM","","","0","","","11990","275","0","0","1333","","","","","128","","","","","367","","","","","","","0","0","0","0","0","0","","","","","","","","","","5/1/2019 12:00:00 AM","1440/08/26","0","0","0","0","1"
"180","28","","","","","","","0","1441/05/29","1/24/2020 12:00:00 AM","","","0","","","15836.88","276","0","10500","2000","","","","","97","","","","","366","","","","","","","0","10500","0","0","10500","0","","","","","","","","","","1/24/2019 12:00:00 AM","1440/05/18","0","0","0","10500","1"
"184","26","","","","","","","0","1441/08/15","4/8/2020 12:00:00 AM","","","0","","","8499.08","211","1329.3","12054.3","0","","","","","235","","","","","355","","","","","","","0","10725","0","0","10725","0","","","","","","","","","","4/20/2019 12:00:00 AM","1440/08/15","0","33","0","10725","0"
"194","29","","","","","","","1334","1441/11/14","7/4/2020 12:00:00 AM","","","0","","","15957.6","366","-43.6","1337","1377.6","","","","","208","","","","","367","","","","","","","0","1337","0","0","1337","0","","","","","","","","","","7/4/2019 12:00:00 AM","1440/11/02","0","-1","0","1337","1"
