"ID","BranchId","UserID","YearID","MonthID","RecordM","TypeBranch"
"1","1","1","-1","-1","4/3/2019 12:00:00 AM","1"
"2","1","2","-1","-1","5/22/2019 12:00:00 AM","1"
"3","1","2","-1","-1","5/23/2019 12:00:00 AM","1"
"4","1","1","-1","-1","5/29/2019 12:00:00 AM","1"
"5","1","1","-1","-1","6/18/2019 12:00:00 AM","1"
"6","1","2","-1","-1","8/18/2019 12:00:00 AM","1"
"7","1","2","-1","-1","8/18/2019 12:00:00 AM","1"
"8","1","2","-1","-1","9/19/2019 12:00:00 AM","1"
"9","1","2","-1","-1","1/15/2020 12:00:00 AM","1"
"11","1","2","-1","-1","1/16/2020 12:00:00 AM","1"
