"ID","ProfExpID","TypeExpens","name","Account_Code","ExpAccount_Code","Valuee","EmpID","IDD","BranchID","FromDate","ToDate"
"1","1","1","لقسط الاول ايجار المكتب العقارى","a1a2a5a1a1","a3a1a3a3a16","32082","0","1","1","",""
"6","2","1","رسوم مكتب العمل + المقابل المالى الخاص بتجديد اقامه محمد عبد الوهاب","a1a2a5a6a1","a3a1a5a1a26","8130","0","8","1","",""
"7","3","1","اثبات ايجار عام 2019 مبنى المروج من 1-1-2019 الى 31-12-2019","a1a2a5a1a1","a3a1a3a3a16","35000","0","9","1","",""
"9","4","1","تامين على السيارات الباك اب ضد الغير عن الفتره من 1-3-2019 الى 28-02-2020","a1a2a5a5a1","a3a1a3a3a22","900","0","11","1","",""
"11","5","2","قيمه عقد الصيانه برنامج دينامك فيجن المحاسبى الخاص بالشركه العقاريه لمده عام ","a1a2a5a7a1","a3a1a5a1a29","3600","0","13","1","",""
"12","6","1"," سداد من الرياض المروج الى / وزارة العمل سداد رسوم مكتب العمل + المقابل المالى - سبحان الله سلطان ","a1a2a5a6a1","a3a1a5a1a26","8507","0","14","1","",""
"13","7","1","سداد من حساب الجوازات رسوم تجديد اقامة سبحان الله ","a1a2a5a6a1","a3a1a5a1a26","650","0","15","1","",""
"15","8","1","سداد من حساب الجوازات رسوم تجديد اقامة منير حسين ","a1a2a5a6a1","a3a1a5a1a26","8990","0","17","1","",""
"16","9","2","سداد من حساب الجوازات رسوم تجديد اقامة عبد القيوم ","a1a2a5a6a1","a3a1a5a1a26","600","0","18","1","",""
"17","9","2","سداد من حساب الجوازات رسوم تجديد اقامة منير حسين ","a1a2a5a6a1","a3a1a5a1a26","650","0","19","1","",""
