"transID","recordDate","recordDateH","Fromdate","FromdateH","todate","todateH","BranchId","Remarks","NoteID","NoteSerial"
"1","6/11/2019 12:00:00 AM","1440/10/08","6/11/2019 12:00:00 AM","08-10-1440","6/11/2019 12:00:00 AM","08-10-1440","1","","572","201906025"
"6","3/4/2019 12:00:00 AM","1440/06/27","1/1/2019 12:00:00 AM","24-04-1440","5/12/2019 12:00:00 AM","08-09-1440","1","","586","201903138"
"7","1/31/2019 12:00:00 AM","1440/05/25","1/1/2019 12:00:00 AM","24-04-1440","1/31/2019 12:00:00 AM","25-05-1440","1","","649","201901129"
"8","2/1/2019 12:00:00 AM","1440/05/26","2/1/2019 12:00:00 AM","26-05-1440","2/28/2019 12:00:00 AM","23-06-1440","1","","650","201902149"
"9","3/1/2019 12:00:00 AM","1440/06/24","3/1/2019 12:00:00 AM","24-06-1440","3/31/2019 12:00:00 AM","25-07-1440","1","","651","201903140"
"10","4/1/2019 12:00:00 AM","1440/07/26","4/1/2019 12:00:00 AM","26-07-1440","4/30/2019 12:00:00 AM","25-08-1440","1","","652","201904133"
"11","5/1/2019 12:00:00 AM","1440/08/26","5/1/2019 12:00:00 AM","26-08-1440","5/31/2019 12:00:00 AM","27-09-1440","1","","653","201905062"
"12","6/1/2019 12:00:00 AM","1440/09/28","6/1/2019 12:00:00 AM","28-09-1440","6/5/2019 12:00:00 AM","02-10-1440","1","","827","201906077"
"13","6/10/2019 12:00:00 AM","1440/10/07","6/5/2019 12:00:00 AM","02-10-1440","6/10/2019 12:00:00 AM","07-10-1440","1","","828","201906078"
"14","6/15/2019 12:00:00 AM","1440/10/12","6/10/2019 12:00:00 AM","07-10-1440","6/15/2019 12:00:00 AM","12-10-1440","1","","829","201906079"
