"id","transID","CusID","InstallNo","Installdate","InstalldateH","installValue","RentValue","Commissions","Insurance","Water","Electric","TelandNet","allocations","Countsofall","Doneofall","Installid","NoteSerial","hijri","Iqar","commisiontype","AmolaValus","ownerid","VATValue","nextinstalldateH","nextinstalldate","ContNo","NoteSerial1H","zatcaStatus","ErrorMessageS","warrningmessage","RecTime","Doctype","Currency_id","Currency_rate","DateRec","CIBAN","InvoiceTypeCodeID","InvoiceTypeCodename","DocumentCurrencyCode","TaxCurrencyCode","AdditionalDocumentReferencePIH","InvoiceDocumentReferenceID","AdditionalDocumentReferenceICVUUID","ActualDeliveryDate","LatestDeliveryDate","PaymentMeansCode","InstructionNote","Iban","paymentnote","HNoteSerial1","last_changed","Invoicetype","TableName","OldNoteSerial1H"
"1001","36","295","2","4/14/2019 12:00:00 AM","1440/08/09","3750","3750","0","0","0","0","0","1","3","","501","219010004","0","20","0","0","116","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1002","36","283","2","4/17/2019 12:00:00 AM","1440/08/12","4250","4250","0","0","0","0","0","1","3","","467","219010001","0","20","0","0","116","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1003","36","303","2","4/22/2019 12:00:00 AM","1440/08/17","5500","5500","0","0","0","0","0","1","3","","518","219010006","0","20","0","0","116","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1004","36","306","2","4/25/2019 12:00:00 AM","1440/08/20","4250","4250","0","0","0","0","0","1","3","","664","219010010","0","20","0","0","116","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1005","36","286","2","4/29/2019 12:00:00 AM","1440/08/24","5500","5500","0","0","0","0","0","1","3","","735","219010003","0","20","0","0","116","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1006","35","309","2","5/8/2019 12:00:00 AM","1440/09/04","4250","4250","0","0","0","0","0","1","3","","540","219020007","0","20","0","0","116","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1007","35","289","2","5/10/2019 12:00:00 AM","1440/09/06","5250","5250","0","0","0","0","0","1","3","","485","219020002","0","20","0","0","116","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1008","35","312","2","5/10/2019 12:00:00 AM","1440/09/06","1833","1833","0","0","0","0","0","1","1","","552","219040003","0","20","0","0","116","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1009","35","314","2","5/15/2019 12:00:00 AM","1440/09/11","1416","1416","0","0","0","0","0","1","1","","564","219040004","0","20","0","0","116","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1010","35","293","2","5/18/2019 12:00:00 AM","1440/09/14","4250","4250","0","0","0","0","0","1","3","","738","219020004","0","20","0","0","116","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
