"Id","Code","ArName","EnName","ParentId","TypeId","ClassificationId","CategoryId","HasCostCenter","ObDebit","ObCredit","IsSystem","UserId","IsActive","UpdatedId","IsDeleted","Notes","Image","IncomeOrFinancial","FieldsCodingId","IncludeValueAddedTax"
"617","1","الاصول","","","1","1","1","","0.0000","0.0000","","1","True","","False","","","","",""
"618","2","الخصوم والملكية        ","","","2","1","2","","0.0000","0.0000","","1","True","","False","","","","",""
"619","3","الايرادات","","617","2","1","4","","0.0000","0.0000","","1","True","","False","","","","",""
"620","4","المصروفات","","","1","1","3","","0.0000","0.0000","","1","True","","False","","","","",""
"621","11","الاصول المتداولة","","617","1","2","1","","0.0000","0.0000","","1","True","","False","","","","",""
"622","12","الاصول الثابتة","","617","1","2","1","","0.0000","0.0000","","1","True","","False","","","","",""
"623","21","حقوق الملكية","","618","1","2","2","","0.0000","0.0000","","1","True","","False","","","","",""
"624","22","الخصوم المتداولة","","618","1","2","2","","0.0000","0.0000","","1","True","","False","","","","",""
"625","31","اجمالى الايرادات","","619","1","2","4","","0.0000","0.0000","","1","True","","False","","","","",""
"626","41","مصروفات النشاط","","620","1","2","3","","0.0000","0.0000","","1","True","","False","","","","",""
