"NoteID","NoteDate","NoteType","NoteSerial","NoteSerial1","Note_Value","BankID","ChqueNum","DueDate","NoteHijriDate","Transaction_ID","MaintananceID","Member_ID","UserID","Remark","ExpensesID","CashingType","CusID","BoxID","RevenuesID","RetrunNoteID","NoteCashingType","NotePosted","PostedBy","PostDate","NumOrderInpot","Buy","ked_type","numbering_type","sanad_year","sanad_month","type","branch_no","user_name","DEPARTEMENT","sanad_type","sanad_source","Double_Entry_Vouchers_ID","DAWRY","KALEB","projectAccountCode","foxy_no","person","project_Expensen_account","salary","displayed","Adv_payment_value","note_value_by_characters","too","notes_all","general_cost_center","numbering_type1","project_id","Cus_or_sub","project_depit_or_credit","EmpAccountCode","salary_or_advance","general_des_notes","BTCashAccountcode","ORDER_NO","ItemID","Transaction_ID1","auto_des","BoxIDTo","BankIDTo","DrawingType","ChequeBoxID","Destribute","EmployeeID","BankName","AccountsCode","AdvanceID","OldNoteSerial1","Emp_ID","Doctype","AllocationType","EmpId","TransferExpenses","ExpensesRemark","RemarkE","branch_no1","branch_no2","Account_Code1","Account_Code2","PaymentType","PaymentType1","BoxID1","BoxID2","bankID1","bankID2","TxtChequeNumber1","DtpChequeDueDate1","NoteDateH","ManulaNO","CarId","DriverId","NCashingType","note_count","ManualNo","BookNo","ContractNo","ContNo","akarid","unittype","UnitNo","interval","intervaltype","renterName","AllowDateH","AllowDate","NoteSerial2","NoteId2","Telephone","StatusEarnest","FilterID","FIlterTotal","commission","rent","Water","Instrunce","comX","ComY","CommissionOut","NoteOrBonID","comXold","ComYold","NoteOrBonValue","NoteOrBonSereal","FrmPriodDate","ToPriodDate","FrmPriodDateH","ToPriodDateH","Remark2","OrderIDD","AdvanceIDD","ProjectID","Pand","Oper","subcontractType","fixedid","Count","price","discount","Electricity","commdiscounttype","Commdiscountvalue","Commdiscountvalue1","CommdiscountAccount","OrderSerial","OrderID","DeptID","Status","Prefix","PayrollMonth","PayrollYear","empDes","empDes1","PayDes","PayDes1","Due","TypAmola","AmolaValus","TxtNoSupplerDes","TxtOrderSuppler","NumIqama","TransferExpensesBranch","ToCommision","BeneficiaryBanck","BeneficiaryAddress","BeneficiaryACNo","BenefiBanckAddress","BenefiBanckCode","RemitterName","ReportName","BenefNumIqama","BenefCountry","BenefCity","BenefStreet","BenefGovernorate","Country","Governorate","City","Street","Adress2","KafelName","KafeltEL","BenefTelephone","BenefIBAN","BenefPlaceIqama","KafelAddress","BenefDateExpEqama","BenefBrithDate","BenefPlaceBrith","EmpIDD","LockedInterval","TxtEndService","Month_Req","Year_Req","Brnch_Req","AssestPayd","InsuranceValue","Servce","PayedOrBon","RemaiValue","Total2","Sal2","net2","VlueVaction2","TicketValue2","Custom2","AdvanceTotal2","Cash2","Salary2","SalEntitOther2","Other2","Advance12","InsuranceValue2","LastTotal2","SalaryVocation2","ValueTickt2","Totalsalary2","CusTiket2","CusTiket","AddOther","AddOther2","ValEndService2","ValEndService","TotalDis2","TotalDis","total","Sal","TicketValue","Custom","LastTotal","Cash","VlueVaction","AdvanceTotal","EmpIDEnd","BrnchIDEnd","EmpIDVac","BrnchIDVac","Salary33","SalEntitOther","Other","Advance1","SalaryVocation","ValueTickt","Salary3","SalEntitOther3","SalaryVocation3","Other3","ValueTickt3","Advance13","InsuranceValue3","Copied","Discounts","Discounts2","OnlineData","TicktConract","TotlPaidEndSer","total3","Sal3","Custom3","TicketValue3","AddOther3","net3","ValEndService3","AdvanceTotal3","VlueVaction3","Cash3","Discounts3","TotalDis3","AccountPaym","EmpBranchID","ContractorID","ProjectMainID","CurrentBalance","PaymentValue","Percentage","PercentageValue","TypeTrans","Insurance","Maintenance2","Maintenance3","Maintenance","RemainRent2","RemainRent3","MaintCondition3","MaintCondition2","MaintCondition","MaintClean3","MaintClean2","MaintClean","Paints2","Paints3","Paints","Maintkitchen2","Maintkitchen3","Maintkitchen","Electricity12","Electricity13","Electricity1","MaintDoors2","MaintDoors3","MaintDoors","Windows2","Windows3","Windows","MaintOther2","MaintOther","MaintOther3","Total22","Total23","TotalAftreIns","TotalAftreIns2","TotalAftreIns3","Net","RemainRent","Total21","posted","PostedDate","DisSalary","DisSalary2","DisSalaryPayed","auto_Sus","CurrncyID","Note_ValueE","Rate","Price2","Price3","RemPrice","LockSalary","VATVowalNo","VAT","VATYou","TotalValue","AccountCodeVat","IncludVAT","PreVAT","totalPayed","Fina_Pruch","Account_DebitSide","Account_CreditSide","TotalNotesValue","MonthCount","PurchOrderNo","CityFromId","CityToId","DailyMonthly","note_v_by_char_WithoutVat","DailyMonthlyValue","des2","TradingContractID","BillTransID","BillTransNo","BillMaintID","BillMaintNo","Note_Value2","note_value_by_characters2","ComResid","Note_ValueSales","DeparmentID","OfficeValue","RenterValue","ExpValue","IqarID2","TotalInsurances","DebitSide","CreditSide","TotalPayedOpBalance","TotalPayments","NetValue","PreBalaValue","PreBalaPayed","PreBalaRemain","PreBalaTransPyed","PreBalaNet","RemainWater","BillPrice","RemainCommissions","OldRent","RemainService","txtOldInsurance","FilterID2","ContainerNo","installIDCont","CCOPTion","OfficeValueNet","OfficeValueDiscAdd","AddValue","SessionCode","Ser","ContractReVouchID","CBoBasedON","OrDer_no2","QrCodeData","QrCodeDataPath","QrCodeImage","TableName","last_changed","ErrorMessageS","warrningmessage","RecTime","Currency_id","Currency_rate","zatcaStatus","DateRec","CIBAN","InvoiceTypeCodeID","InvoiceTypeCodename","DocumentCurrencyCode","TaxCurrencyCode","AdditionalDocumentReferencePIH","InvoiceDocumentReferenceID","AdditionalDocumentReferenceICVUUID","ActualDeliveryDate","LatestDeliveryDate","PaymentMeansCode","InstructionNote","Iban","paymentnote","Invoicetype","RowId","TblLCID","AcceptianPeriod","DateTimeEntry","FiterWaiver","FiterWaiverNoteSerial","ContItem","PurchaseOrderNo","LocationName","RentType","IsHiddenInv","IsExcelImportedUnapproved","ExcelImportApprovedDate","ExcelImportApprovedUserID","ExcelAccountIBan"
"28","3/15/2017 12:00:00 AM","5","14","1","73600","5","29","3/15/2017 12:00:00 AM","","","","","2","تنفيذ البنود المستحدثة خاصة قصر سعادة الشيخ ناصر حفظه الله","","5","","","","","3","","","","","","","2","2017","3","","1","","","","","","False","False","","42","شركة سمامة للتشغيل والإدارة","","","","","  فقط  ثلاثة  و سبعون  ألف و ستمائة   ريال سعودي  لاغير ","","","","1","","","","","","تنفيذ البنود المستحدثة خاصة قصر سعادة الشيخ ناصر حفظه الله","a2a1a2a1a2","","","","","","","","","","","","","","1","","","","","0","","","","","","","","","","","","","","","1438/06/17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","","","","","","","","","","","","","","1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1438/06/17","3/15/2017 12:00:00 AM","","0","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","",""
"78","2/21/2017 12:00:00 AM","5","38","2","698","","","","","","","","2","تصفية مستحقات أجازة الموظف محمود صقر","","5","","3","","","0","","","","","","","2","2017","2","","1","","","","","","False","False","","71","محمود السيد السقا صقر  مخصصات اجازة ","","","","","  فقط  ستمائة  و ثمانية  و تسعون   ريال سعودي  لاغير ","","","","1","","","","","","تصفية مستحقات أجازة الموظف محمود صقر","a2a2a3a1a7","","","","","","","","","","","","","","2","","","","","0","","","","","","","","","","","","","","","1438/05/25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","","","","","","","","","","","","","","1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1438/06/17","3/20/2017 12:00:00 AM","","0","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","698","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","",""
"83","3/1/2017 12:00:00 AM","5","41","3","2887","","","","","","","","2","توريد مياه لقصر الشيخ ناصر المطوع","","5","","3","","","0","","","","","","","2","2017","3","","1","","","","","","False","False","","73","أ. ناصر المطوع","","","","","  فقط   ألفان و ثمانمائة  و سبعة  و ثمانون   ريال سعودي  لاغير ","","","","1","","","","","","توريد مياه لقصر الشيخ ناصر المطوع","a2a1a2a1a1","","","","","","","","","","","","","","3","","","","","0","","","","","","","","","","","","","","","1438/06/03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","","","","","","","","","","","","","","1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1438/06/17","3/20/2017 12:00:00 AM","","0","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2887","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","",""
"92","2/26/2017 12:00:00 AM","4","47","1","16","","","","","","","","1","رصيد متبقي من فاتورة الكهرباء","","7","","3","","","0","","","","","","","1","2017","2","","1","","","","","","False","False","","80","شركة الكهرباء","","","","16.0000","فقط  ستة عشرة   ريال سعودي  لاغير","","","","2","","0","","","","","","","","","","","","","","","","","a3a1a3a3a4","","","","","","","","","","","","","","","","","","","","","","1438/05/30","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","5/14/2018 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","",""
"93","3/8/2017 12:00:00 AM","4","48","2","300","","","","","","","","1","تحصيل مخالصة من الموظف صدام حسين","","7","","3","","","0","","","","","","","1","2017","3","","1","","","","","","False","False","","81","صدام حسين علي أكبر","","","","300.0000","فقط  ثلاثمائة   ريال سعودي  لاغير","","","","2","","0","","","","","","","","","","","","","","","","","a3a1a5a1a4","","","","","","","","","","","","","","","","","","","","","","1438/06/10","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","",""
"102","3/16/2017 12:00:00 AM","5","52","4","1373","","","","","","","","1","تصفية مستحقات الأجازة للموظف يوسف احمد محمد","","5","","3","","","0","","","","","","","1","2017","3","","1","","","","","","False","False","","87","يوسف احمد محمد  ","","","","","  فقط   ألف و ثلاثمائة  و ثلاثة  و سبعون   ريال سعودي  لاغير ","","","","1","","","","","","تصفية مستحقات الأجازة للموظف يوسف احمد محمد","a2a2a3a1a17","","","","","","","","","","","","","","4","","","","","0","","","","","","","","","","","","","","","1438/06/18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","","","","","","","","","","","","","","1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1438/06/17","3/20/2017 12:00:00 AM","","0","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1373","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","",""
"103","3/21/2017 12:00:00 AM","5","53","5","5000","","","","","","","","1","مطالبة عقد الصيانة السنوي من 20170209 الى 20180208","","5","","3","","","0","","","","","","","1","2017","3","","1","","","","","","False","False","","90","مصاريف برامج","","","","","  فقط  خمسة  آلاف   ريال سعودي  لاغير ","","","","1","","","","","","عقد الصيانة السنوي من 20170209 الى 20180208","a3a1a5a7a6","","","","","","","","","","","","","","5","","","","","0","","","","","","","","","","","","","","","1438/06/23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","","","","","","","","","","","","","","1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1438/06/17","3/21/2017 12:00:00 AM","","0","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","",""
"104","6/6/2017 12:00:00 AM","60","54","11706001","526687.5","","","","","","","","","عقد ايجار رقم  ل شركة الأزواق الراقية","","","","","","","","","","","","","","1","2017","6","","1","","","","","","False","False","","","","","","","","  فقط  خمسمائة  و ستة  و عشرون  ألف و ستمائة  و سبعة  و ثمانون   ريال سعودي و  خمسة   هلله  لاغير ","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1438/09/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","526687.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","",""
"105","5/15/2016 12:00:00 AM","60","55","11605001","45000","","","","","","","","","عقد ايجار رقم  ل شركة الأزواق الراقية","","","","","","","","","","","","","","1","2016","5","","1","","","","","","False","False","","","","","","","","  فقط  خمسة  و أربعون  ألف   ريال سعودي  لاغير ","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1437/08/08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","",""
"106","12/18/2016 12:00:00 AM","60","56","11612001","61650","","","","","","","","","عقد ايجار رقم  ل شركة تقنية التميز","","","","","","","","","","","","","","1","2016","12","","1","","","","","","False","False","","","","","","","","  فقط  واحد  و ستون  ألف و ستمائة  و خمسون   ريال سعودي  لاغير ","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1438/03/19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","",""
