"ID","PymentNo","TypeOper","ContNo","FilterNo","NoteID","TypeAmount","EmpID","Remarks","ReVal","Canceel","Amount","Crosses","Flage","IqarID","ValueAmount"
"1","1","8","1","","1","2","0","","","","659450","True","True","6",""
"2","","9","","","318","2","1","","","","8000","True","","112",""
"6","","9","","","642","2","1","","","","5000","True","","121",""
"7","","9","","","660","2","1","","","","0","True","","121",""
"10","2","8","79","","682","2","0","","","","12500","True","True","75",""
"11","2","8","85","","683","2","0","","","","11500","True","True","81",""
"12","2","8","77","","684","2","0","","","","13500","True","True","74",""
"13","2","8","55","","685","2","0","","","","13500","True","True","64",""
"14","2","8","32","","686","2","0","","","","8000","True","True","39",""
"15","2","8","103","","709","2","0","","","","75000","True","True","153",""
