"ContNo","ContType","ContDate","Iqar","ownerid","UnitType","UnitNo","RentType","StrDate","EndDate","MeterValue","MeterCount","TotalContract","PayAmini","CommiValue","InsuranceValue","Water","Electricity","Phone","Enternet","IncresYearValue","IncresYearRate","CusID","PaymentCount","FristPaymentDate","PeriodsID","Periods","Furnishing","Remarks","RecorddateH","FromdateH","TodateH","FirstInstallDateH","Branch_NO","NoteID","NoteSerial","NoteSerial1","NewOrOpeneing","OthersRules","Emp_ID","OutContract","OldRent","OldWater","OldElectric","oldCommi","DivWater","DivElectric","OldInsurance","balanceDate","balanceDateH","balanceDes","Renew","ContNoOld","FromdateHO","FromdateO","EndContract","Employeecontract","Emp_IDContract","OutOffice","LegalIssue","NotID","NoteSrial1","NotValue","UnitElectric","RetValue2","WaterValue2","CommValue2","InstrunceValue2","StrMerg","ElectricityValue2","MiniRentValue","Servce","MethodDeci","FlagContrNew2","NetValue","FATYou","FATValue","TotalValue","ComResid","AccountCodeVat","CommiValueInVAT","ContID","TypeDate","FATValue2","Contract_period_no","Contract_period","AccountCodeVat2","FATYou2","Remark2","InsurValueInVAT","WaterElecValueInVAT","DiscountPercent","DiscountvaLUE","Accredit","NewNO","ContractReVouchID","IsNotCreateEntry","UserID","FATYou22","QrCodeData","QrCodeDataPath","QrCodeImage","IsShamel","InsuranceValue1","InsuranceValueAdd"
"1","","1/28/2017 12:00:00 AM","7","4","10","147","0","1/28/2017 12:00:00 AM","1/17/2018 12:00:00 AM","0","0","4550000","","","","","","","","","","10","1","1/28/2017 12:00:00 AM","2","1","","","1438/05/01","1438/05/01","1439/04/30","1438/05/01","1","3098","201701088","11701006","0","","1","","","","","","1","","","10/29/2016 12:00:00 AM","1438/05/01","","True","","1435/05/01","3/22/2017 12:00:00 AM","True","","1","","","","","","","","","","","","","0","0","0","False","4550000","0","0","4550000","1","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"2","","11/12/2016 12:00:00 AM","1","4","6","6","1","11/12/2016 12:00:00 AM","9/28/2020 12:00:00 AM","2420","272.5","5275600","","","","","","","","","","6","8","11/12/2016 12:00:00 AM","1","6","","المساحة 272.5  متر
","1438/02/12","1438/02/12","1442/02/11","1438/02/12","1","","","11611001","1","","1","","","","","","1","","","3/22/2017 12:00:00 AM","1438/01/28","","False","","1434/02/12","12/25/2012 12:00:00 AM","True","","1","","","","","","","","","","","معرض رقمSG03 ","","0","0","2","False","","","","","1","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"3","","6/6/2017 12:00:00 AM","1","4","2","8","1","6/6/2017 12:00:00 AM","9/28/2020 12:00:00 AM","440.03","271","526687.5","","","","","","","","","","6","9","6/6/2017 12:00:00 AM","1","6","","المساحة 271  متر
","1438/09/12","1438/09/12","1442/02/11","1438/09/12","1","104","54","11706001","1","","1","","","","","","1","","","3/22/2017 12:00:00 AM","1438/01/28","","False","","1434/09/12","7/22/2013 12:00:00 AM","True","","1","","","","","","","","","","","","","0","0","2","False","","","","","1","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"4","","5/15/2016 12:00:00 AM","1","4","5","12","0","5/15/2016 12:00:00 AM","6/14/2017 12:00:00 AM","0","150","45000","","","","","","","","","","11","2","5/15/2016 12:00:00 AM","1","6","","المساحة 150  متر
4  غرفة 
1صاله
2حمام
","1437/08/08","1438/06/24","1438/09/20","1437/08/08","1","105","55","11605001","1","","1","","","","","","1","","","3/22/2017 12:00:00 AM","1438/01/28","","False","","1434/09/12","3/22/2017 12:00:00 AM","True","","1","","","","","","","","","","","","","45000","0","2","False","0","0","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"5","","12/18/2016 12:00:00 AM","1","4","2","22","1","12/18/2016 12:00:00 AM","12/17/2017 12:00:00 AM","257.73","291","61650","","","","","","","","","","12","2","12/18/2016 12:00:00 AM","1","6","","المساحة 291  متر
","1438/03/19","1438/06/24","1439/03/29","1438/03/19","1","106","56","11612001","1","","1","","","","","","1","","","3/22/2017 12:00:00 AM","1438/06/24","","False","","1438/06/24","12/18/2013 12:00:00 AM","True","","1","","","","","","","","","","","","","0","0","2","False","0","0","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"6","","6/20/2017 12:00:00 AM","1","4","3","19","1","6/20/2017 12:00:00 AM","6/19/2018 12:00:00 AM","660","306","201960","","","","","","","","","","13","2","6/20/2017 12:00:00 AM","1","6","","المساحة 306  متر
","1438/09/26","1438/09/26","1439/10/06","1438/09/26","1","107","57","11706006","1","","1","","","","","","1","","","6/20/2017 12:00:00 AM","1438/06/24","","False","","1438/06/24","6/20/2017 12:00:00 AM","True","","","","","","","","","","","","","","","0","0","2","False","","","","","1","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"7","","4/15/2017 12:00:00 AM","1","4","5","13","0","4/15/2017 12:00:00 AM","4/14/2018 12:00:00 AM","0","153","45000","","","","","","","","","","13","2","4/15/2017 12:00:00 AM","1","6","","المساحة 153  متر
4  غرفة 
1صاله
2حمام
","1438/07/19","1438/06/24","1439/07/29","1438/07/19","1","108","58","11704006","1","","1","","","","","","1","","","3/22/2017 12:00:00 AM","1438/06/24","","False","","1438/06/24","3/22/2017 12:00:00 AM","True","","","","","","","","","","","","","","","40000","0","2","False","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"8","","12/1/2016 12:00:00 AM","1","4","5","17","0","12/1/2016 12:00:00 AM","11/30/2017 12:00:00 AM","0","143","40000","","","","","","","","","","13","2","12/1/2016 12:00:00 AM","1","6","","المساحة 143  متر
4  غرفة 
1صاله
2حمام
","1438/03/02","1438/06/24","1439/03/12","1438/03/02","1","109","59","11612003","1","","1","","","","","","1","","","3/22/2017 12:00:00 AM","1438/06/24","","False","","1438/06/24","3/22/2017 12:00:00 AM","True","","","","","","","","","","","","","","","40000","0","2","False","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"9","","12/1/2016 12:00:00 AM","1","4","5","12","0","12/1/2016 12:00:00 AM","11/30/2017 12:00:00 AM","0","150","40000","","","","","","","","","","13","2","12/1/2016 12:00:00 AM","1","6","","المساحة 150  متر
4  غرفة 
1صاله
2حمام
","1438/03/02","1438/06/24","1439/03/12","1438/03/02","1","110","60","11612007","1","","1","","","","","","1","","","3/22/2017 12:00:00 AM","1438/06/24","","False","","1438/06/24","3/22/2017 12:00:00 AM","True","","","","","","","","","","","","","","","45000","0","2","False","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"10","","3/1/2017 12:00:00 AM","1","4","3","21","1","3/1/2017 12:00:00 AM","2/28/2018 12:00:00 AM","700","306","201960","","","","","","","","","","14","2","3/1/2017 12:00:00 AM","1","6","","المساحة 306  متر
","1438/06/03","1438/06/03","1439/06/13","1438/06/03","1","111","61","11703010","1","","1","","","","","","1","","","3/22/2017 12:00:00 AM","1438/06/24","","False","","1438/06/24","3/22/2017 12:00:00 AM","True","","","","","","","","","","","","","","","0","0","2","False","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
