"id","ContNo","InstallNo","Installdate","InstalldateH","installValue","Status","NoteSerial","NoteSerial1","NoteID","RentValue","Commissions","Insurance","Water","Electric","TelandNet","payed","Remains","RentValuePayed","CommissionsPayed","InsurancePayed","WaterPayed","ElectricPayed","TelandNetPayed","lastPayedDate","lastPayedDateH","allocations","Countsofall","Doneofall","hijri","OldValueDate","OldValueDateH","OldValue","des","NpayedValue","Rent1","RentArbon","NetRent","Commissions1","CommissionsArbon","NetCommissions","Insurance1","InsuranceArbon","NetInsurance","Water1","WaterArbon","NetWater","Electric1","ElectricArbon","NetElectric","ServiceArbon","WivrID","OldValuePayed","TempInstal","VATPayed","VATValue","DevID","Prefix","VATArboon","ContractReVouchID","ContractReVouchID2","VATValueOld","VATYou1","VATYou2","VATValue1","VATValue2","CountDay1","CountDay2","CostDay","CountDaysTotal","IsChangVat","NoteIdDiff","NoteSerialDiff","DiffAmount","VATValue1Com","VATValue2Com","Commissions2","QrCodeData","QrCodeDataPath","QrCodeImage","NoteSerial1H"
"80","3","1","6/6/2017 12:00:00 AM","1438/09/12","59625","False","","11706001","0","59625","0","0","0","0","0","0","59625","0","0","0","0","0","0","3/27/2017 12:00:00 AM","","1","6","0","0","3/22/2017 12:00:00 AM","1438/01/28","","","0","58520.83","0","58520.83","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","3","2","11/30/2017 12:00:00 AM","1439/03/12","59625","False","","11711003","0","59625","0","0","0","0","0","0","59625","0","0","0","0","0","0","3/27/2017 12:00:00 AM","","1","6","0","0","3/22/2017 12:00:00 AM","1438/01/28","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","3","3","5/26/2018 12:00:00 AM","1439/09/12","62606.25","False","201805169","11805002","5183","59625","0","0","0","0","0","0","62606.25","0","0","0","0","0","0","3/27/2017 12:00:00 AM","","1","6","0","0","3/22/2017 12:00:00 AM","1438/01/28","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","2981.25","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","3","4","11/20/2018 12:00:00 AM","1440/03/12","62606.25","False","201811194","11811002","7803","59625","0","0","0","0","0","0","62606.25","0","0","0","0","0","0","3/27/2017 12:00:00 AM","","1","6","0","0","3/22/2017 12:00:00 AM","1438/01/28","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","2981.25","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","3","5","5/16/2019 12:00:00 AM","1440/09/12","62606.25","False","201905151","11905002","9768","59625","0","0","0","0","0","0","62606.25","0","0","0","0","0","0","3/27/2017 12:00:00 AM","","1","6","0","0","3/22/2017 12:00:00 AM","1438/01/28","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","2981.25","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","3","6","11/9/2019 12:00:00 AM","1441/03/12","62606.25","False","201911208","11911001","12883","59625","0","0","0","0","0","0","62606.25","0","0","0","0","0","0","3/27/2017 12:00:00 AM","","1","6","0","0","3/22/2017 12:00:00 AM","1438/01/28","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","2981.25","","","","","","","","","","","","","","","","","","","","","","","","",""
"86","3","7","5/4/2020 12:00:00 AM","1441/09/12","62606.25","False","202005105","12005001","14962","59625","0","0","0","0","0","0","62606.25","0","0","0","0","0","0","3/27/2017 12:00:00 AM","","1","6","0","0","3/22/2017 12:00:00 AM","1438/01/28","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","2981.25","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","3","8","10/28/2020 12:00:00 AM","1442/03/12","59625","False","","12010001","0","59625","0","0","0","0","0","0","59625","0","0","0","0","0","0","3/27/2017 12:00:00 AM","","1","6","0","0","3/22/2017 12:00:00 AM","1438/01/28","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","3","9","4/23/2021 12:00:00 AM","1442/09/12","49687.5","False","","12104001","0","49687.5","0","0","0","0","0","0","49687.5","0","0","0","0","0","0","3/27/2017 12:00:00 AM","","1","6","0","0","3/22/2017 12:00:00 AM","1438/01/28","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105","13","1","2/11/2017 12:00:00 AM","1438/05/15","325600","False","","11702001","0","325600","0","0","0","0","0","0","325600","0","0","0","0","0","0","3/27/2017 12:00:00 AM","","1","6","0","0","3/22/2017 12:00:00 AM","1438/06/24","","","0","325600","0","325600","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
