"id","ContNo","InstallNo","Installdate","InstalldateH","installValue","Status","NoteSerial","NoteSerial1","NoteID","RentValue","Commissions","Insurance","Water","Electric","TelandNet","payed","Remains","RentValuePayed","CommissionsPayed","InsurancePayed","WaterPayed","ElectricPayed","TelandNetPayed","lastPayedDate","lastPayedDateH","allocations","Countsofall","Doneofall","VATPayed","VATValue","CommissionsArbon","NetCommissions","Insurance1","NetInsurance","Water1","WaterArbon","NetWater","Electric1","ElectricArbon","NetElectric","InsuranceArbon"
"487","110","1","6/18/2016 12:00:00 AM","","37725","False","","","","37725","0","0","0","0","0","0","37725","0","0","0","0","0","0","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"488","110","2","12/12/2016 12:00:00 AM","","37725","True","","","","37725","0","0","0","0","0","0","37725","0","0","0","0","0","0","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"649","17","1","5/1/2017 12:00:00 AM","","140350","True","","","","140350","0","0","0","0","0","0","140350","0","0","0","0","0","0","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"650","17","2","10/25/2017 12:00:00 AM","","140350","False","","","","140350","0","0","0","0","0","0","140350","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"697","25","1","10/2/2016 12:00:00 AM","","18500","False","","","","16000","0","0","0","0","2500","0","18500","0","0","0","0","0","0","4/6/2017 12:00:00 AM","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"698","25","2","3/28/2017 12:00:00 AM","","18500","True","","","","16000","0","0","0","0","2500","0","18500","0","0","0","0","0","0","4/6/2017 12:00:00 AM","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"699","24","1","10/2/2016 12:00:00 AM","","18500","False","","","","16000","0","0","0","0","2500","0","18500","0","0","0","0","0","0","4/6/2017 12:00:00 AM","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"700","24","2","3/28/2017 12:00:00 AM","","18500","True","","","","16000","0","0","0","0","2500","0","18500","0","0","0","0","0","0","4/6/2017 12:00:00 AM","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"701","26","1","10/2/2016 12:00:00 AM","","37000","False","","","","32000","0","0","0","0","5000","0","37000","0","0","0","0","0","0","4/6/2017 12:00:00 AM","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"702","26","2","3/28/2017 12:00:00 AM","","37000","True","","","","32000","0","0","0","0","5000","0","37000","0","0","0","0","0","0","4/6/2017 12:00:00 AM","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
