"ID","RecordDateH","RecordDate","BranchID","BulidID","RenterID","ApartmentID","Insurance","EndDateH","EndDate","FilterDateH","FilterDate","BillPrice","AccountNo","DayNo","AmountDely","unittype","OFRenter","ForRenter","UserID","ContNo","ContractNo","NoteID","NoteSerial","ContractDays","ActualDays","WaterPrice","DayPricen","ServicePrice","WaterPriceotal","DayPricentotal","Service","WaterPayed","RentValuePayed","TelandNetPayed","RemainWater","RemainRent","RemainService","outflow","outCondition","NoDaye","Efflux","ValDay","Discount","totalcollected","totalpayed","net","LegalIssue","DaysValueIncrease","DaysValueIncomplete","DayValueInc","DayCountInc","DayValueIncomplete","DayCountIncomplete","LastInvoiceRead","LastInvoiceRead2","Diff","Price","R","PrevBalance","ServiceCounter","TotalCounter","TotalinsuranceS","TypeMonthCalc","VAtPercent","VAt2","TotalCounterNet","LastInstalldate","InstalldateH","ComResid","TypeDate","CalcLastPayment","RenterID2","ApartmentID2","BulidID2","unittype2","UnitElectric","NewNO","Accredit","ManualNO","IsLegalAffairs","LegalAffairs","FiterWaiver","ForRenterB"
"2","1439/03/11","11/29/2017 12:00:00 AM","1","6","60","116","0","1438/10/25","7/19/2017 12:00:00 AM","1439/03/11","11/29/2017 12:00:00 AM","0","054","-137","0","5","0","0","1","46","11607004","2355","201711090","360","497","0","180.56","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","1439/03/17","12/5/2017 12:00:00 AM","1","6","56","110","0","1439/06/27","3/14/2018 12:00:00 AM","1439/03/17","12/5/2017 12:00:00 AM","0","050","95","0","5","0","0","2","22","11703013","2375","201712006","360","265","0","166.67","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","1439/03/17","12/5/2017 12:00:00 AM","1","9","109","156","0","1438/10/06","6/30/2017 12:00:00 AM","1439/03/17","12/5/2017 12:00:00 AM","0","103","-432","0","6","0","0","2","106","11607005","2382","201712007","90","522","0","1955.56","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","1439/04/01","12/19/2017 12:00:00 AM","1","3","124","170","0","1439/10/17","6/30/2018 12:00:00 AM","1439/04/01","12/19/2017 12:00:00 AM","0","118","279","0","5","0","0","2","121","11707001","2610","201712029","450","171","0","66.67","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1439/04/01","12/19/2017 12:00:00 AM","1","3","113","158","0","1438/09/12","6/6/2017 12:00:00 AM","1439/04/01","12/19/2017 12:00:00 AM","0","107","-189","0","5","0","0","2","110","11606001","2612","201712030","360","549","0","209.58","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","1439/04/01","12/19/2017 12:00:00 AM","1","6","59","115","0","1439/04/10","12/28/2017 12:00:00 AM","1439/04/01","12/19/2017 12:00:00 AM","0","053","35","0","5","0","0","2","45","11612002","2620","201712032","390","355","0","166.67","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1439/04/02","12/20/2017 12:00:00 AM","1","6","66","118","0","1438/10/10","7/4/2017 12:00:00 AM","1439/04/02","12/20/2017 12:00:00 AM","0","060","-143","0","5","0","0","2","62","11607007","2623","201712033","390","533","0","153.85","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1439/04/02","12/20/2017 12:00:00 AM","1","6","70","127","0","1438/06/16","3/14/2017 12:00:00 AM","1439/04/02","12/20/2017 12:00:00 AM","0","064","-285","0","5","0","0","2","66","11702003","2637","201712037","360","645","0","166.67","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","1439/04/02","12/20/2017 12:00:00 AM","1","6","85","175","0","1438/08/19","5/15/2017 12:00:00 AM","1439/04/02","12/20/2017 12:00:00 AM","0","079","-220","0","5","0","0","2","208","11603004","2642","201712039","60","280","0","166.67","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","1439/04/13","12/31/2017 12:00:00 AM","1","5","22","27","0","1438/12/30","9/21/2017 12:00:00 AM","1439/04/13","12/31/2017 12:00:00 AM","0","016","-125","0","7","0","0","2","23","11610005","2853","201712100","330","455","0","193.94","28.79","0","0","9500","0","0","0","0","0","9500","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
