"ID","MasterID","RecordDateH","RecordDate","BranchID","BulidID","RenterID","ApartmentID","Insurance","EndDateH","EndDate","FilterDateH","FilterDate","BillPrice","AccountNo","DayNo","AmountDely","DayLate","DaysValue","TotalDept","TotalRight","unittype","OFRenter","ForRenter","UserID","ContNo","ContractNo","NoteID","NoteSerial","ContractDays","ActualDays","WaterPrice","DayPricen","ServicePrice","WaterPriceotal","DayPricentotal","Service","WaterPayed","RentValuePayed","TelandNetPayed","RemainWater","RemainRent","RemainService","outflow","outCondition","NoDaye","Efflux","ValDay","Discount","totalcollected","totalpayed","net","StartDate","StartDateh","OldRent","RemainDays","RemainCommissions","TotalStill","TypeDate"
"1","65","","","","","","","0","1439/03/01","11/19/2017 12:00:00 AM","","","0","","","-64821.12","-364","0","42500","0","","","","","78","","","","","0","","","","","","","0","42500","0","0","0","0","","","","","","","","","","11/20/2016 12:00:00 AM","1438/07/01","0","-365","0","0","0"
"2","65","","","","","","","0","1440/03/11","11/19/2018 12:00:00 AM","","","0","","","123.29","1","0","22500","0","","","","","212","","","","","0","","","","","","","0","22500","0","0","0","0","","","","","","","","","","11/20/2017 12:00:00 AM","1439/03/02","0","0","0","0","0"
"3","69","","","","","","","2000","1441/06/06","1/31/2020 12:00:00 AM","","","0","","","55479.6","270","55273.97","92773.97","2000","","","","","603","","","","","365","","","","","","","0","37500","0","0","37500","0","","","","","","","","","","2/1/2019 12:00:00 AM","1440/05/26","0","269","0","37500","1"
"4","70","","","","","","","0","1438/12/30","9/21/2017 12:00:00 AM","","","0","","","-138718.44","-531","0","46500","0","","","","","149","","","","","178","","","","","","","0","46500","0","0","46500","0","","","","","","","","","","3/28/2017 12:00:00 AM","1438/07/01","0","-532","0","46500","0"
"5","70","","","","","","","0","1439/12/30","9/10/2018 12:00:00 AM","","","0","","","-39414.36","-177","0","0","0","","","","","223","","","","","355","","","","","","","0","0","0","0","0","0","","","","","","","","","","9/21/2017 12:00:00 AM","1439/01/01","0","-178","0","0","0"
"6","70","","","","","","","0","1440/12/30","8/31/2019 12:00:00 AM","","","0","","","33807.54","178","33617.54","67330.04","0","","","","","512","","","","","355","","","","","","","0","33712.5","0","0","33712.5","0","","","","","","","","","","9/11/2018 12:00:00 AM","1440/01/01","0","177","0","33712.5","0"
"7","71","","","","","","","0","1438/06/16","3/14/2017 12:00:00 AM","","","0","","","-120819.3","-735","0","60000","0","","","","","136","","","","","365","","","","","","","0","60000","0","0","60000","0","","","","","","","","","","3/15/2016 12:00:00 AM","1438/11/06","0","-736","0","60000","0"
"8","71","","","","","","","0","1438/06/16","3/14/2017 12:00:00 AM","","","0","","","-100687.65","-735","0","50000","0","","","","","161","","","","","365","","","","","","","0","50000","0","0","50000","0","","","","","","","","","","3/15/2016 12:00:00 AM","1438/12/05","0","-736","0","50000","0"
"9","71","","","","","","","0","1438/08/19","5/15/2017 12:00:00 AM","","","0","","","-108548.17","-673","0","10000","0","","","","","208","","","","","62","","","","","","","0","10000","0","0","10000","0","","","","","","","","","","3/15/2017 12:00:00 AM","1438/06/17","0","-674","0","10000","0"
"10","71","","","","","","","0","1439/06/27","3/14/2018 12:00:00 AM","","","0","","","-50686.3","-370","0","25000","0","","","","","209","","","","","365","","","","","","","0","25000","0","0","25000","0","","","","","","","","","","3/15/2017 12:00:00 AM","1438/06/17","0","-371","0","25000","0"
