"ID","RecordM","Remark","Name","NameE","BranchID","TypeExpens","UserID","EmpID","Account_Code","HistoryDate","FromDate","ToDate","Valu","Remark2","Account_Code1","Messier","AllowID","NewOrOpeneing"
"1","4/16/2017 12:00:00 AM","اثبات المصرف المقدم الخاص بانظمة مكافحة الحريق  في مبنى التحلية","مؤسسة خالد عبد الله السنيدي","Khaled alsenedy est.","1","0","2","0","a1a2a5a10","3/1/2017 12:00:00 AM","3/1/2017 12:00:00 AM","8/31/2017 12:00:00 AM","12500","اثبات المصرف المقدم الخاص بانظمة مكافحة الحريق  في مبنى التحلية","a3a1a3a3a5","False","",""
"2","4/16/2017 12:00:00 AM","اثبات مصروف عقد صيانة انظمة الحريق لمبنى وزارة الاسكان","مؤسسة خالد السنيدي","","1","0","2","0","a1a2a5a10","3/1/2017 12:00:00 AM","3/1/2017 12:00:00 AM","8/31/2017 12:00:00 AM","10000","اثبات مصروف عقد صيانة انظمة الحريق لمبنى وزارة الاسكان","a3a1a3a3a5","False","",""
"3","4/27/2017 12:00:00 AM","اثبات مصروف عقد صيانة انظمة الحريق لمجمع طيبة الصناعي","مؤسسة وائل حسن فارسي للسلامة","","1","0","2","0","a1a2a5a10","4/27/2017 12:00:00 AM","1/1/2017 12:00:00 AM","12/31/2017 12:00:00 AM","14000","اثبات مصروف عقد صيانة انظمة الحريق لمجمع طيبة الصناعي","a3a1a3a3a5","False","",""
"4","8/27/2017 12:00:00 AM","اثبات المصرف المقدم الخاص بانظمة مكافحة الحريق  في مبنى التحلية","مؤسسة خالد عبد الله السنيدي","Khaled alsenedy est.","1","0","2","0","a1a2a5a10","8/27/2017 12:00:00 AM","9/1/2017 12:00:00 AM","2/28/2018 12:00:00 AM","12500","اثبات المصرف المقدم الخاص بانظمة مكافحة الحريق  في مبنى التحلية","a3a1a3a3a5","False","",""
"5","8/27/2017 12:00:00 AM","اثبات مصروف عقد صيانة انظمة الحريق لمبنى وزارة الاسكان","مؤسسة خالد السنيدي","","1","0","2","0","a1a2a5a10","8/27/2017 12:00:00 AM","9/1/2017 12:00:00 AM","2/28/2018 12:00:00 AM","10000","اثبات مصروف عقد صيانة انظمة الحريق لمبنى وزارة الاسكان","a3a1a3a3a5","False","",""
"6","8/27/2017 12:00:00 AM","اثبات المصرف المقدم الخاص بانظمة مكافحة الحريق  في مبنى التخصصي","مؤسسة خالد عبد الله السنيدي","Khaled alsenedy est.","1","0","2","0","a1a2a5a10","8/27/2017 12:00:00 AM","9/1/2017 12:00:00 AM","2/28/2018 12:00:00 AM","12500","اثبات المصرف المقدم الخاص بانظمة مكافحة الحريق  في مبنى التخصصي","a3a1a3a3a5","False","",""
"7","5/2/2018 12:00:00 AM","اثبات المصرف المقدم الخاص بانظمة مكافحة الحريق  في مبنى التخصصي","مؤسسة خالد عبد الله السنيدي","AL-SENIDI EST.","1","0","2","0","a1a2a5a10","4/23/2018 12:00:00 AM","3/1/2018 12:00:00 AM","8/31/2018 12:00:00 AM","13125","اثبات المصرف المقدم الخاص بانظمة مكافحة الحريق  في مبنى التخصصي","a3a1a3a3a5","False","",""
"8","5/2/2018 12:00:00 AM","اثبات المصرف المقدم الخاص بانظمة مكافحة الحريق  في مبنى فرع وزارة الاسكان","مؤسسة خالد عبد الله السنيدي","AL- SENIDI EST.","1","0","2","0","a1a2a5a10","4/23/2018 12:00:00 AM","3/1/2018 12:00:00 AM","8/31/2018 12:00:00 AM","10000","اثبات المصرف المقدم الخاص بانظمة مكافحة الحريق  في مبنى فرع وزارة الاسكان","a3a1a3a3a5","False","",""
"9","5/2/2018 12:00:00 AM","اثبات المصرف المقدم الخاص بانظمة مكافحة الحريق  في مبنى فرع التحلية","مؤسسة خالد عبد الله السنيدي","AL-SENIDI EST.","1","0","2","0","a1a2a5a10","4/23/2018 12:00:00 AM","3/1/2018 12:00:00 AM","8/31/2018 12:00:00 AM","13125","اثبات المصرف المقدم الخاص بانظمة مكافحة الحريق  في مبنى فرع التحلية","a3a1a3a3a5","False","",""
"10","9/1/2018 12:00:00 AM","اثبات المصرف المقدم الخاص بانظمة مكافحة الحريق  في مبنى التخصصي","مؤسسة خالد عبد الله السنيدي","AL-SENIDI EST.","1","0","2","0","a1a2a5a10","9/1/2018 12:00:00 AM","9/1/2018 12:00:00 AM","2/28/2019 12:00:00 AM","13125","اثبات المصرف المقدم الخاص بانظمة مكافحة الحريق  في مبنى التخصصي","a3a1a3a3a5","False","",""
