"id","transID","CusID","InstallNo","Installdate","InstalldateH","installValue","RentValue","Commissions","Insurance","Water","Electric","TelandNet","allocations","Countsofall","Doneofall","Installid","NoteSerial","hijri","Iqar","commisiontype","AmolaValus","ownerid","VATValue","nextinstalldateH","nextinstalldate","ContNo","NoteSerial1H","zatcaStatus","ErrorMessageS","warrningmessage","RecTime","Doctype","Currency_id","Currency_rate","DateRec","CIBAN","InvoiceTypeCodeID","InvoiceTypeCodename","DocumentCurrencyCode","TaxCurrencyCode","AdditionalDocumentReferencePIH","InvoiceDocumentReferenceID","AdditionalDocumentReferenceICVUUID","ActualDeliveryDate","LatestDeliveryDate","PaymentMeansCode","InstructionNote","Iban","paymentnote","HNoteSerial1","last_changed","Invoicetype","TableName","OldNoteSerial1H"
"1159","1","110","2","1/1/2017 12:00:00 AM","1438/03/26","75000","75000","0","0","0","0","0","1","6","","470","11607001","0","9","0","0","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1160","1","106","2","1/1/2017 12:00:00 AM","1438/03/26","78837.5","78837.5","0","0","0","0","0","1","6","","912","11607006","0","9","0","0","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1161","1","112","2","1/8/2017 12:00:00 AM","1438/04/10","27500","27500","0","0","0","0","0","1","6","","1298","11607009","0","3","0","0","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1162","1","119","2","1/15/2017 12:00:00 AM","1438/04/17","25000","25000","0","0","0","0","0","1","6","","1304","11607010","0","3","0","0","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1163","1","205","2","1/16/2017 12:00:00 AM","1438/04/18","32500","32500","0","0","0","0","0","1","6","","1258","11607008","0","6","0","0","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1164","1","50","1","1/16/2017 12:00:00 AM","1438/04/18","1000000","1000000","0","0","0","0","0","1","1","","484","11701001","0","8","0","0","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1165","2","123","2","2/1/2017 12:00:00 AM","1438/05/05","17500","17500","0","0","0","0","0","1","6","","1216","11608002","0","3","0","0","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1166","2","123","4","2/1/2017 12:00:00 AM","1438/05/05","17500","17500","0","0","0","0","0","1","6","","1310","11608003","0","3","0","0","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1167","2","182","2","2/1/2017 12:00:00 AM","1438/05/05","60000","60000","0","0","0","0","0","1","6","","1375","11608006","0","13","0","0","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1168","2","127","1","2/8/2017 12:00:00 AM","1438/05/12","2500000","2500000","0","0","0","0","0","1","6","","846","11702012","0","10","0","0","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
