
DbName     TableName     column_id ColumnName                 TypeName max_length is_nullable
------     ---------     --------- ----------                 -------- ---------- -----------
Alromaizan Property              1 Id                         int               4       False
Alromaizan Property              2 Code                       nvarchar         -1       False
Alromaizan Property              3 ArName                     nvarchar         -1       False
Alromaizan Property              4 EnName                     nvarchar         -1        True
Alromaizan Property              5 IsActive                   bit               1       False
Alromaizan Property              6 IsDeleted                  bit               1       False
Alromaizan Property              7 UserId                     int               4        True
Alromaizan Property              8 Notes                      nvarchar         -1        True
Alromaizan Property              9 Image                      nvarchar         -1        True
Alromaizan Property             10 PropertySequence           nvarchar         -1        True
Alromaizan Property             11 PropertyTypeId             int               4        True
Alromaizan Property             12 DepartmentId               int               4        True
Alromaizan Property             13 CollectorId                int               4        True
Alromaizan Property             14 FixedAssetId               int               4        True
Alromaizan Property             15 TotalDepreciation          money             8        True
Alromaizan Property             16 CountryId                  int               4        True
Alromaizan Property             17 CityId                     int               4        True
Alromaizan Property             18 NeighborhoodName           nvarchar         -1        True
Alromaizan Property             19 StreetName                 nvarchar         -1        True
Alromaizan Property             20 ChronologicalAge           int               4        True
Alromaizan Property             21 CurrentPropertyPrice       money             8        True
Alromaizan Property             22 LastRentalValue            money             8        True
Alromaizan Property             23 MaintenanceTypeId          int               4        True
Alromaizan Property             24 PropertyStatusId           int               4        True
Alromaizan Property             25 EntriesNo                  int               4        True
Alromaizan Property             26 FloorsNo                   int               4        True
Alromaizan Property             27 CommercialUnitsNo          int               4        True
Alromaizan Property             28 ParkingsNo                 int               4        True
Alromaizan Property             29 FrontispieceId             int               4        True
Alromaizan Property             30 TotalArea                  float             8        True
Alromaizan Property             31 HousingUnitsNo             int               4        True
Alromaizan Property             32 CommissionPercentage       float             8        True
Alromaizan Property             33 DeductedAmount             money             8        True
Alromaizan Property             34 SiteDescription            nvarchar         -1        True
Alromaizan Property             35 PropertyOwnerId            int               4        True
Alromaizan Property             36 Agent                      nvarchar         -1        True
Alromaizan Property             37 AgencyNo                   nvarchar         -1        True
Alromaizan Property             38 Phone                      nvarchar         -1        True
Alromaizan Property             39 Mobile                     nvarchar         -1        True
Alromaizan Property             40 Fax                        nvarchar         -1        True
Alromaizan Property             41 Email                      nvarchar         -1        True
Alromaizan Property             42 BankAccountNo              nvarchar         -1        True
Alromaizan Property             43 BankName                   nvarchar         -1        True
Alromaizan Property             44 Conditions                 nvarchar         -1        True
Alromaizan Property             45 YearsNo                    int               4        True
Alromaizan Property             46 ContractValue              money             8        True
Alromaizan Property             47 ContractValueWithoutTax    money             8        True
Alromaizan Property             48 TaxValue                   money             8        True
Alromaizan Property             49 TaxPercentage              float             8        True
Alromaizan Property             50 ContractDate               date              3        True
Alromaizan Property             51 ContractStartDate          date              3        True
Alromaizan Property             52 ContractEndDate            date              3        True
Alromaizan Property             53 AnnualIncrease             money             8        True
Alromaizan Property             54 IsCommission               bit               1        True
Alromaizan Property             55 NumberOfBatches            int               4        True
Alromaizan Property             56 FirstBatchDate             date              3        True
Alromaizan Property             57 PeriodBetweenBatchesNum    int               4        True
Alromaizan Property             58 PeriodBetweenBatchesTypeId int               4        True
Alromaizan Property             71 IsTaxable                  bit               1        True
Alromaizan PropertyOwner         1 Id                         int               4       False
Alromaizan PropertyOwner         2 Code                       nvarchar        200        True
Alromaizan PropertyOwner         3 ArName                     nvarchar         -1       False
Alromaizan PropertyOwner         4 EnName                     nvarchar         -1        True
Alromaizan PropertyOwner         5 IsActive                   bit               1       False
Alromaizan PropertyOwner         6 IsDeleted                  bit               1       False
Alromaizan PropertyOwner         7 UserId                     int               4        True
Alromaizan PropertyOwner         8 Notes                      nvarchar         -1        True
Alromaizan PropertyOwner         9 Image                      nvarchar         -1        True
Alromaizan PropertyOwner        10 DepartmentId               int               4        True
Alromaizan PropertyOwner        11 Agent                      nvarchar         -1        True
Alromaizan PropertyOwner        12 AgencyNo                   nvarchar         -1        True
Alromaizan PropertyOwner        13 ContactPerson              nvarchar         -1        True
Alromaizan PropertyOwner        14 AccountId                  int               4        True
Alromaizan PropertyOwner        15 VATNo                      nvarchar         -1        True
Alromaizan PropertyOwner        16 Phone                      nvarchar         -1        True
Alromaizan PropertyOwner        17 Mobile                     nvarchar         -1        True
Alromaizan PropertyOwner        18 Fax                        nvarchar         -1        True
Alromaizan PropertyOwner        19 Email                      nvarchar         -1        True
Alromaizan PropertyOwner        20 Address                    nvarchar         -1        True




DbName TableName     column_id ColumnName                 TypeName max_length is_nullable
------ ---------     --------- ----------                 -------- ---------- -----------
MyErp  Property              1 Id                         int               4       False
MyErp  Property              2 Code                       nvarchar         -1       False
MyErp  Property              3 ArName                     nvarchar         -1       False
MyErp  Property              4 EnName                     nvarchar         -1        True
MyErp  Property              5 IsActive                   bit               1       False
MyErp  Property              6 IsDeleted                  bit               1       False
MyErp  Property              7 UserId                     int               4        True
MyErp  Property              8 Notes                      nvarchar         -1        True
MyErp  Property              9 Image                      nvarchar         -1        True
MyErp  Property             10 PropertySequence           nvarchar         -1        True
MyErp  Property             11 PropertyTypeId             int               4        True
MyErp  Property             12 DepartmentId               int               4        True
MyErp  Property             13 CollectorId                int               4        True
MyErp  Property             14 FixedAssetId               int               4        True
MyErp  Property             15 TotalDepreciation          money             8        True
MyErp  Property             16 CountryId                  int               4        True
MyErp  Property             17 CityId                     int               4        True
MyErp  Property             18 NeighborhoodName           nvarchar         -1        True
MyErp  Property             19 StreetName                 nvarchar         -1        True
MyErp  Property             20 ChronologicalAge           int               4        True
MyErp  Property             21 CurrentPropertyPrice       money             8        True
MyErp  Property             22 LastRentalValue            money             8        True
MyErp  Property             23 MaintenanceTypeId          int               4        True
MyErp  Property             24 PropertyStatusId           int               4        True
MyErp  Property             25 EntriesNo                  int               4        True
MyErp  Property             26 FloorsNo                   int               4        True
MyErp  Property             27 CommercialUnitsNo          int               4        True
MyErp  Property             28 ParkingsNo                 int               4        True
MyErp  Property             29 FrontispieceId             int               4        True
MyErp  Property             30 TotalArea                  float             8        True
MyErp  Property             31 HousingUnitsNo             int               4        True
MyErp  Property             32 CommissionPercentage       float             8        True
MyErp  Property             33 DeductedAmount             money             8        True
MyErp  Property             34 SiteDescription            nvarchar         -1        True
MyErp  Property             35 PropertyOwnerId            int               4        True
MyErp  Property             36 Agent                      nvarchar         -1        True
MyErp  Property             37 AgencyNo                   nvarchar         -1        True
MyErp  Property             38 Phone                      nvarchar         -1        True
MyErp  Property             39 Mobile                     nvarchar         -1        True
MyErp  Property             40 Fax                        nvarchar         -1        True
MyErp  Property             41 Email                      nvarchar         -1        True
MyErp  Property             42 BankAccountNo              nvarchar         -1        True
MyErp  Property             43 BankName                   nvarchar         -1        True
MyErp  Property             44 Conditions                 nvarchar         -1        True
MyErp  Property             45 YearsNo                    int               4        True
MyErp  Property             46 ContractValue              money             8        True
MyErp  Property             47 ContractValueWithoutTax    money             8        True
MyErp  Property             48 TaxValue                   money             8        True
MyErp  Property             49 TaxPercentage              float             8        True
MyErp  Property             50 ContractDate               date              3        True
MyErp  Property             51 ContractStartDate          date              3        True
MyErp  Property             52 ContractEndDate            date              3        True
MyErp  Property             53 AnnualIncrease             money             8        True
MyErp  Property             54 IsCommission               bit               1        True
MyErp  Property             55 NumberOfBatches            int               4        True
MyErp  Property             56 FirstBatchDate             date              3        True
MyErp  Property             57 PeriodBetweenBatchesNum    int               4        True
MyErp  Property             58 PeriodBetweenBatchesTypeId int               4        True
MyErp  Property             71 IsTaxable                  bit               1        True
MyErp  PropertyOwner         1 Id                         int               4       False
MyErp  PropertyOwner         2 Code                       nvarchar        200        True
MyErp  PropertyOwner         3 ArName                     nvarchar         -1       False
MyErp  PropertyOwner         4 EnName                     nvarchar         -1        True
MyErp  PropertyOwner         5 IsActive                   bit               1       False
MyErp  PropertyOwner         6 IsDeleted                  bit               1       False
MyErp  PropertyOwner         7 UserId                     int               4        True
MyErp  PropertyOwner         8 Notes                      nvarchar         -1        True
MyErp  PropertyOwner         9 Image                      nvarchar         -1        True
MyErp  PropertyOwner        10 DepartmentId               int               4        True
MyErp  PropertyOwner        11 Agent                      nvarchar         -1        True
MyErp  PropertyOwner        12 AgencyNo                   nvarchar         -1        True
MyErp  PropertyOwner        13 ContactPerson              nvarchar         -1        True
MyErp  PropertyOwner        14 AccountId                  int               4        True
MyErp  PropertyOwner        15 VATNo                      nvarchar         -1        True
MyErp  PropertyOwner        16 Phone                      nvarchar         -1        True
MyErp  PropertyOwner        17 Mobile                     nvarchar         -1        True
MyErp  PropertyOwner        18 Fax                        nvarchar         -1        True
MyErp  PropertyOwner        19 Email                      nvarchar         -1        True
MyErp  PropertyOwner        20 Address                    nvarchar         -1        True



