
TableName                         column_id ColumnName                         TypeName        
---------                         --------- ----------                         --------        
ContracttBillInstallmentsDone             1 id                                 int             
ContracttBillInstallmentsDone             2 istallid                           int             
ContracttBillInstallmentsDone             3 InstallNo                          int             
ContracttBillInstallmentsDone             4 Value                              money           
ContracttBillInstallmentsDone             5 NoteID                             int             
ContracttBillInstallmentsDone             6 total                              money           
ContracttBillInstallmentsDone             7 RecordDate                         datetime        
ContracttBillInstallmentsDone             8 RecordDateH                        nvarchar        
ContracttBillInstallmentsDone             9 RentValuePayed                     float           
ContracttBillInstallmentsDone            10 CommissionsPayed                   float           
ContracttBillInstallmentsDone            11 InsurancePayed                     float           
ContracttBillInstallmentsDone            12 WaterPayed                         float           
ContracttBillInstallmentsDone            13 ElectricPayed                      float           
ContracttBillInstallmentsDone            14 TelandNetPayed                     float           
ContracttBillInstallmentsDone            15 empid                              int             
ContracttBillInstallmentsDone            16 paymentType                        int             
ContracttBillInstallmentsDone            17 CommisionValue                     float           
ContracttBillInstallmentsDone            18 OldValuePayed                      float           
ContracttBillInstallmentsDone            19 VATPayed                           float           
ContracttBillInstallmentsDone            20 VATValue                           float           
ContracttBillInstallmentsDone            21 ActVAT                             float           
DOUBLE_ENTREY_VOUCHERS                    1 Double_Entry_Vouchers_ID           int             
DOUBLE_ENTREY_VOUCHERS                    2 DEV_ID_Line_No                     int             
DOUBLE_ENTREY_VOUCHERS                    3 Account_Code                       nvarchar        
DOUBLE_ENTREY_VOUCHERS                    4 Value                              money           
DOUBLE_ENTREY_VOUCHERS                    5 Credit_Or_Debit                    smallint        
DOUBLE_ENTREY_VOUCHERS                    6 Double_Entry_Vouchers_Description  nvarchar        
DOUBLE_ENTREY_VOUCHERS                    7 RecordDate                         datetime        
DOUBLE_ENTREY_VOUCHERS                    8 Notes_ID                           int             
DOUBLE_ENTREY_VOUCHERS                    9 ReceiptID                          int             
DOUBLE_ENTREY_VOUCHERS                   10 OperaID                            int             
DOUBLE_ENTREY_VOUCHERS                   11 Transaction_ID                     int             
DOUBLE_ENTREY_VOUCHERS                   12 AdvanceID                          int             
DOUBLE_ENTREY_VOUCHERS                   13 UserID                             int             
DOUBLE_ENTREY_VOUCHERS                   14 Posted                             int             
DOUBLE_ENTREY_VOUCHERS                   15 PostedDate                         datetime        
DOUBLE_ENTREY_VOUCHERS                   16 PostedUserID                       int             
DOUBLE_ENTREY_VOUCHERS                   17 Account_Interval_ID                int             
DOUBLE_ENTREY_VOUCHERS                   18 DEV_Serial                         nvarchar        
DOUBLE_ENTREY_VOUCHERS                   19 credit_value                       money           
DOUBLE_ENTREY_VOUCHERS                   20 depet_value                        money           
DOUBLE_ENTREY_VOUCHERS                   21 des                                nvarchar        
DOUBLE_ENTREY_VOUCHERS                   22 currency                           nvarchar        
