
TableName              ColumnName                         TypeName      max_length is_nullable
---------              ----------                         --------      ---------- -----------
DOUBLE_ENTREY_VOUCHERS Double_Entry_Vouchers_ID           int                    4       False
DOUBLE_ENTREY_VOUCHERS DEV_ID_Line_No                     int                    4       False
DOUBLE_ENTREY_VOUCHERS Account_Code                       nvarchar             100        True
DOUBLE_ENTREY_VOUCHERS Value                              money                  8        True
DOUBLE_ENTREY_VOUCHERS Credit_Or_Debit                    smallint               2        True
DOUBLE_ENTREY_VOUCHERS Double_Entry_Vouchers_Description  nvarchar            8000        True
DOUBLE_ENTREY_VOUCHERS RecordDate                         datetime               8        True
DOUBLE_ENTREY_VOUCHERS Notes_ID                           int                    4        True
DOUBLE_ENTREY_VOUCHERS ReceiptID                          int                    4        True
DOUBLE_ENTREY_VOUCHERS OperaID                            int                    4        True
DOUBLE_ENTREY_VOUCHERS Transaction_ID                     int                    4        True
DOUBLE_ENTREY_VOUCHERS AdvanceID                          int                    4        True
DOUBLE_ENTREY_VOUCHERS UserID                             int                    4        True
DOUBLE_ENTREY_VOUCHERS Posted                             int                    4        True
DOUBLE_ENTREY_VOUCHERS PostedDate                         datetime               8        True
DOUBLE_ENTREY_VOUCHERS PostedUserID                       int                    4        True
DOUBLE_ENTREY_VOUCHERS Account_Interval_ID                int                    4        True
DOUBLE_ENTREY_VOUCHERS DEV_Serial                         nvarchar             100        True
DOUBLE_ENTREY_VOUCHERS credit_value                       money                  8        True
DOUBLE_ENTREY_VOUCHERS depet_value                        money                  8        True
DOUBLE_ENTREY_VOUCHERS des                                nvarchar             510        True
DOUBLE_ENTREY_VOUCHERS currency                           nvarchar             100        True
DOUBLE_ENTREY_VOUCHERS valuee                             money                  8        True
DOUBLE_ENTREY_VOUCHERS project_bill_no                    int                    4        True
DOUBLE_ENTREY_VOUCHERS rate                               float                  8        True
DOUBLE_ENTREY_VOUCHERS Double_Entry_Vouchers_Descriptione nvarchar            8000        True
DOUBLE_ENTREY_VOUCHERS DEV_ID_Line_No1                    float                  8        True
DOUBLE_ENTREY_VOUCHERS notes_all                          int                    4        True
DOUBLE_ENTREY_VOUCHERS project_id                         int                    4        True
DOUBLE_ENTREY_VOUCHERS opr_fullcode                       varchar              500        True
DOUBLE_ENTREY_VOUCHERS bill_id                            int                    4        True
