## ResultSet 0

TableName                            RowsCount
---------                            ---------
AqarRquestAndQutaion                         0
ContainerContracts                           0
ContainerContractsDet                        0
ContainerContractsRec                        0
ContainerContractsRecDet                     0
Contract                                   168
contract_type                                2
ContracttBillInstallmentsDone             9550
DOUBLE_ENTREY_VOUCHERS                  139769
DOUBLE_ENTREY_VOUCHERS1                    886
DOUBLE_ENTREY_VOUCHERS2                      0
emp_contract_type                            3
MedicalContractingType                       3
Notes                                    39257
notes_all                                 5008
Notes1                                       3
salary_voucher                               0
SubcontractorContract                        0
SubcontractorContract2                       0
Tbl_TradingContract                          0
Tbl_TradingContractDet                       0
Tbl_TradingContractInv                       0
Tbl_TradingContractInvDet                    0
TblAkarUnit                                 18
TblAqar                                     16
TblAqarCommissions                       10530
TblAqarDetai                               629
TblAqarDetai2                                0
TblAqarDetai3                                0
TblAttributionContract                       0
TblCarOrderVouchers                          0
TblCarOrderVouchers2                         0
TblCompanyContract                           0
TblCompanyContractDet                        0
TblContract                               2813
TBLContractAuto                         651650
TblContractDet                               0
TblContractDetails                         656
tblContractInsAllocations                  227
tblContractInsAllocations1                 111
tblContractInsAllocationsDetails          4438
tblContractInsAllocationsDetails1         8671
tblContractInsAllocationsDetails2        29866
TblContractInstallDisco                      0
TblContractInstallDisco2                     0
TblContractInstallments                   7478
TblContractInstallmentsHist                803
TblContractInstallmentsOld                1346
TblContractReVouch                           0
TblCOntractSales                          2809
TblCustomerContract                          0
TblCustomerContractDetails                   0
TblCustomerContractDetailsGroups             0
TblDeducationNote                            0
TblExp301UnitNo                              0
TblExpUnitNo                               259
TblExpUnitNoVouch                            0
TblExpUnitNoVouch1                           0
TblItemsUnits                               61
TblMinistryContract                          0
TblMinistryContract_Installment              0
TblMinistryContract_Years                    0
TblNotesBillBuyPayment                       6
TblNotesBillBuyPayment2                      0
TblNotesBillProjectPayment                  74
TblNotesBillVindorPayment                    0
TblNotesOwnerPayment                         0
TblNotesOwnerPayment202                      0
TblNotesSales                             8835
TblNotesTypes                              158
TblOLDContract                               0
TblOtheExpensAqar                            0
TblOtheExpensAqarDet                         0
TblProcessUnites                             6
TblRentStatus                                6
TblRentType                                  2
TblRequest_MinistryContract                  0
TblRequest_MinistryContract_Detailst         0
TblSalaryNotesPayment                     5731
TblSearchUnitEmpty                          12
TblStudentContract                           0
TblUnites                                  102
TblUnitNoInformation                     12199
TblVendorContract                            0
TblVendorContractDetails                     0
tblworkshop                                  0
UnitsIndustrialCost                          0
UnitsIndustrialCostDetails                   0
UpdatesoldunitNo                           175



## ResultSet 1

NoteType   Cnt
--------   ---
            16
-1         754
1           17
3        12332
4        10365
5         7632
9            1
14         555
20          11
21           1
50          66
57        2314
60        2426
61         338
66         111
80         294
90         111
150         18
160         41
180         53
200         11
210          8
5000        47
8023       251
8028        63
8063       246
8065       114
8066       278
8073        39
9050        71
9051         3
9081        83
9082         6
9083         4
9086         3
9088        64
9089       149
9090       361



