=================================================================
DATABASE SCHEMAS FOR INCOMPLETE PROJECTS & EXTRACTS
=================================================================

-----------------------------------------------------------------
TABLE: projects
-----------------------------------------------------------------
ColumnName | DataType | MaxLen | IsNullable | DefaultValue
--------------------------------------------------------
id | int |  | NO | 
End_user_Account | varchar | 100 | YES | 
End_user_name | varchar | 100 | YES | 
sub_contractor_Account | varchar | 100 | YES | 
sub_contractor_name | varchar | 100 | YES | 
Fullcode | nvarchar | 50 | YES | 
prifix | varchar | 50 | YES | 
Code | varchar | 50 | YES | 
Project_name | nvarchar | 4000 | YES | 
Contract_type | nvarchar | 50 | YES | 
Project_status | varchar | 50 | YES | 
expanses_account | nvarchar | 50 | YES | 
REVENUE_account | nvarchar | 50 | YES | 
Project_account | nvarchar | 50 | YES | 
project_cost | money |  | YES | 
branch_no | int |  | YES | 
departement | nvarchar | 50 | YES | 
project_code | nvarchar | 50 | YES | 
branche_ID | nvarchar | 50 | YES | 
expanses_account_balance | money |  | YES | 
expansese_account_balance | money |  | YES | 
expansesm_account_balance | money |  | YES | 
expansess_account_balance | money |  | YES | 
REVENUE_account_balance | money |  | YES | 
Project_account_balance | money |  | YES | 
Contract_type_name | nvarchar | 50 | YES | 
End_user_id | nvarchar | 50 | YES | 
sub_contractor_id | nvarchar | 50 | YES | 
general_discount | money |  | YES | 
cost_after_discount | money |  | YES | 
total | money |  | YES | 
sub_discount_total | money |  | YES | 
net | money |  | YES | 
Material_account | nvarchar | 50 | YES | 
Salary_account | nvarchar | 50 | YES | 
legal | varchar | 50 | YES | 
items_total | money |  | YES | 
Legal_account_balance | money |  | YES | 
CurrencyID | int |  | YES | 
StartDate | datetime |  | YES | 
Project_nameE | nvarchar | 4000 | YES | 
opening_balance_voucher_id | float |  | YES | 
OpenBalanceDate | datetime |  | YES | 
OpenBalanceType | int |  | YES | 
OpenBalance | float |  | YES | 
OpenBalanceType1 | int |  | YES | 
OpenBalance1 | float |  | YES | 
OpenBalanceType2 | int |  | YES | 
OpenBalance2 | float |  | YES | 
OpenBalanceType3 | int |  | YES | 
OpenBalance3 | float |  | YES | 
OpenBalanceType4 | int |  | YES | 
OpenBalance4 | float |  | YES | 
EmpId | int |  | YES | 
EmpId1 | int |  | YES | 
Pstate | int |  | YES | 
CashingValue | float |  | YES | 
EndDate | datetime |  | YES | 
DiscountPercentage | float |  | YES | 
Dept_ID | int |  | YES | 
Remarkss | nvarchar | 4000 | YES | 
DpNearEndDate | datetime |  | YES | 
JobeDO | float |  | YES | 
JobeDOPercent | float |  | YES | 
JobeGet | float |  | YES | 
JobeRest | float |  | YES | 
JobeTimeLeft | int |  | YES | 
JobeTime | nvarchar | 100 | YES | 
JobeWork | int |  | YES | 
JobeContractorID | int |  | YES | 
WarrantyNO | int |  | YES | 
WarrantyValue | float |  | YES | 
WarrDateStart | datetime |  | YES | 
WarrDateEnd | datetime |  | YES | 
WarrExtension | float |  | YES | 
WarrBank | int |  | YES | 
Amanhid | int |  | YES | 
Municipalityid | int |  | YES | 
UserID | int |  | YES | 
OrderType | int |  | YES | 
OrderNo | nvarchar | 4000 | YES | 
EmpSalary | float |  | YES | 
MangSalary | float |  | YES | 
ContractNo | nvarchar | 400 | YES | 
