object_type|schema_name|object_name
-----------|-----------|-----------
SQL_SCALAR_FUNCTION|dbo|GardTransactionDetails1
SQL_SCALAR_FUNCTION|dbo|GeQtyofStore
SQL_SCALAR_FUNCTION|dbo|GeQtyofStore
SQL_SCALAR_FUNCTION|dbo|GetAccountBalanceCash
SQL_SCALAR_FUNCTION|dbo|GetBalance
SQL_SCALAR_FUNCTION|dbo|GetBalance2
SQL_SCALAR_FUNCTION|dbo|GetBalanceByActivity
SQL_SCALAR_FUNCTION|dbo|GetBalanceByActivity2
SQL_SCALAR_FUNCTION|dbo|GetBalanceByBranch
SQL_SCALAR_FUNCTION|dbo|GetBalanceByBranch2
SQL_SCALAR_FUNCTION|dbo|GetBalanceByproject
SQL_SCALAR_FUNCTION|dbo|GetBalanceByproject2
SQL_SCALAR_FUNCTION|dbo|GetBalanceByRegion
SQL_SCALAR_FUNCTION|dbo|GetBalanceByRegionAndActivity
SQL_SCALAR_FUNCTION|dbo|GetBalanceCreditORdepit
SQL_SCALAR_FUNCTION|dbo|GetBalanceCreditORdepitByActivity
SQL_SCALAR_FUNCTION|dbo|GetBalanceCreditORdepitByBranch
SQL_SCALAR_FUNCTION|dbo|GetBalanceCreditORdepitByRegion
SQL_SCALAR_FUNCTION|dbo|GetBalanceCreditORdepitByRegionAndActivity
SQL_SCALAR_FUNCTION|dbo|GetBalanceQtyPO
SQL_SCALAR_FUNCTION|dbo|GetBalanceQtyPO
SQL_SCALAR_FUNCTION|dbo|GetBalanceQtyPO2
SQL_SCALAR_FUNCTION|dbo|GetBalanceQtyPO2
SQL_SCALAR_FUNCTION|dbo|Getfitterdata
SQL_SCALAR_FUNCTION|dbo|GetGetQurrentQty
SQL_SCALAR_FUNCTION|dbo|GetGetQurrentQty
SQL_SCALAR_FUNCTION|dbo|GetItemnewCost
SQL_SCALAR_FUNCTION|dbo|GetItemnewCost
SQL_SCALAR_FUNCTION|dbo|GetItemPrice
SQL_SCALAR_FUNCTION|dbo|GetItemPrice
SQL_SCALAR_FUNCTION|dbo|GetItemqtyinput
SQL_SCALAR_FUNCTION|dbo|GetItemqtyinput
SQL_SCALAR_FUNCTION|dbo|GetItemqtyOpening
SQL_SCALAR_FUNCTION|dbo|GetItemqtyOpening
SQL_SCALAR_FUNCTION|dbo|GetItemqtyoutede
SQL_SCALAR_FUNCTION|dbo|GetItemqtyoutede
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodate
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodate
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodate2
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodate2
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodate2015
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodate2015
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodate3
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodate3
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodate4
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodate4
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodateNEW
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodateNEW
SQL_SCALAR_FUNCTION|dbo|GetmaxTimeForShipments
SQL_SCALAR_FUNCTION|dbo|GetminTimeForShipments
SQL_SCALAR_FUNCTION|dbo|GetNoOfShipments
SQL_SCALAR_FUNCTION|dbo|GetOHForPO
SQL_SCALAR_FUNCTION|dbo|GetOrderActualReciveqty
SQL_SCALAR_FUNCTION|dbo|GetOrderActualReciveqty
SQL_SCALAR_FUNCTION|dbo|GetPaymentValue
SQL_SCALAR_FUNCTION|dbo|GetProjectCashing
SQL_SCALAR_FUNCTION|dbo|GetProjectCashing
SQL_SCALAR_FUNCTION|dbo|GetQtyIsue
SQL_SCALAR_FUNCTION|dbo|GetQtyIsue
SQL_SCALAR_FUNCTION|dbo|GetQtyOrderSale
SQL_SCALAR_FUNCTION|dbo|GetQtyOrderSale
SQL_SCALAR_FUNCTION|dbo|GetQtyRecevPlanProd
SQL_SCALAR_FUNCTION|dbo|GetQtyRecevPlanProd
SQL_SCALAR_FUNCTION|dbo|GetQurrentQtyInStock
SQL_SCALAR_FUNCTION|dbo|GetQurrentQtyInStock
SQL_SCALAR_FUNCTION|dbo|GetReyurnedqty
SQL_SCALAR_FUNCTION|dbo|GetReyurnedqty
SQL_SCALAR_FUNCTION|dbo|GetSalEmployee
SQL_SCALAR_FUNCTION|dbo|GetSalEmployee
SQL_SCALAR_FUNCTION|dbo|GetTotalProudctWork
SQL_SCALAR_FUNCTION|dbo|GetTotalProudctWork
SQL_SCALAR_FUNCTION|dbo|gettotalShippedQty1
SQL_SCALAR_FUNCTION|dbo|gettotalShippedQty1
SQL_SCALAR_FUNCTION|dbo|GetValuePayedElectric
SQL_SCALAR_FUNCTION|dbo|Purchase_Req_Notin_Order
SQL_SCALAR_FUNCTION|dbo|QryOneTransactionTotal
SQL_SCALAR_FUNCTION|dbo|QryOneTransactionTotal
SQL_SCALAR_FUNCTION|dbo|RemainingValueProject
SQL_SCALAR_FUNCTION|dbo|RetriveRecivedQty
SQL_SCALAR_FUNCTION|dbo|RetriveRecivedQty
SQL_STORED_PROCEDURE|dbo|BranchDailyRollup_Parity
SQL_STORED_PROCEDURE|dbo|BranchDailyRollup_Parity
SQL_STORED_PROCEDURE|dbo|BranchDailyRollup_Parity
SQL_STORED_PROCEDURE|dbo|BranchDailyRollup_Parity
SQL_STORED_PROCEDURE|dbo|BranchDailyRollup_Parity
SQL_STORED_PROCEDURE|dbo|BranchDailyRollup_Parity
SQL_STORED_PROCEDURE|dbo|BranchDailyRollup_Parity
SQL_STORED_PROCEDURE|dbo|DiscountDetails_Report
SQL_STORED_PROCEDURE|dbo|GetSerialAuditReport
SQL_STORED_PROCEDURE|dbo|GetSerialAuditReport
