table_name|index_name|page_count|frag_pct|recommendation
----------|----------|----------|--------|--------------
Transactions|IX_POS_Transactions_Report_Returns_Branch|40|55.00|NO_ACTION
Transaction_Details|IX_Transaction_Details|479371|54.09|REBUILD
Transactions|IX_POS_Transactions_Card_VisaNumber|3556|26.74|REORGANIZE
Transactions|IX_POS_Transactions_Search_VisaNumber|4640|23.49|REORGANIZE
Transactions|IX_POS_KycAvailableCards_Transactions|3096|16.21|REORGANIZE
Transaction_Details|IX_POS_TransactionDetails_ItemSerial_Transaction|14809|15.96|REORGANIZE
Transactions|IX_POS_Transactions_Report_ServiceSearch|4394|13.06|REORGANIZE
Notes|IX_POS_Notes_Transaction_ID|2531|11.30|REORGANIZE
Transaction_Details|IX_POS_TransactionDetails_StoreSerials_Report|13883|11.14|REORGANIZE
Notes|IX_Notes_Header_NoteSerial|5583|10.64|REORGANIZE
Transactions|IX_Transactions__UserID|2802|10.42|REORGANIZE
Transactions|<IndexStoreDate, sysname,>|3957|9.65|NO_ACTION
Transactions|<IndexMaxNote, sysname,>|6460|8.65|NO_ACTION
Transactions|IX_Transactions_Transaction_Date_Tet_NumPoket_C4A7E173|4758|8.32|NO_ACTION
Notes|IX_Notes_NoteType_NoteSerial1_64FBFC4C|5152|8.15|NO_ACTION
Notes|IX_Notes_BoxID|2872|8.08|NO_ACTION
Transactions|IDX_Transactions_Branch_Date_Visa|4944|7.95|NO_ACTION
Transactions|IX_POS_Transactions_CashIn_ManualNO|8272|7.89|NO_ACTION
Transactions|IX_Transactions_Transaction_Type_BranchId_EFF18692|7190|7.87|NO_ACTION
Transactions|IX_Trans_Branch_Type_Date|5412|7.78|NO_ACTION
Notes|IX_AI_Notes_1390532379|4366|7.70|NO_ACTION
Transactions|IX_Transactions_CloseReport|6867|7.60|NO_ACTION
Notes|IX_Notes__UserID|2999|7.50|NO_ACTION
Transactions|IX_Transactions_Transaction_Type_StoreID_Transaction_Date_2EFBB756|4659|7.38|NO_ACTION
Transactions|IX_Tx_Branch_Type_Date_Desc|5369|7.30|NO_ACTION
Notes|IX_Notes_NoteDate_NoteType_branch_no|5223|7.26|NO_ACTION
Notes|IX_Notes_Close|5220|7.07|NO_ACTION
Notes|IX_Notes_NoteDate_NoteType|3591|6.93|NO_ACTION
Notes|IX_Notes_Transaction_ID|2833|6.88|NO_ACTION
DOUBLE_ENTREY_VOUCHERS|IX_POS_DEV_Transaction_ID|20932|6.77|NO_ACTION
Transactions|IX_POS_Transactions_Search_NoteSerial1|24082|6.66|NO_ACTION
DOUBLE_ENTREY_VOUCHERS|IX_POS_DEV_RecordDate|20852|6.53|NO_ACTION
Transactions|IX_POS_Transactions_KycFollow_VisaNumber|3673|6.29|NO_ACTION
Transactions|<Indextrans, sysname,>|6474|6.16|NO_ACTION
Transactions|IX_Transactions_DoctorsTypeID_Tet_NumPoket_Transaction_Date|5224|6.13|NO_ACTION
Transaction_Details|IX_POS_KycAvailableCards_Details|12487|5.98|NO_ACTION
Transactions|IX_POS_Transactions_Report_Returns|34|5.88|NO_ACTION
Transactions|IX_AI_Transactions_2022228087|5649|5.84|NO_ACTION
Transactions|IX_Transactions_Transaction_Date_Transaction_Type_BranchId_C8AA5607|10698|5.79|NO_ACTION
DOUBLE_ENTREY_VOUCHERS|<IndexFast, sysname,>|74751|5.77|NO_ACTION
DOUBLE_ENTREY_VOUCHERS|IX_POS_DEV_Notes_ID|20855|5.65|NO_ACTION
Transactions|IX_Transactions_Tet_NumPoket_Transaction_Date_9D5672C5|5327|5.59|NO_ACTION
