type_desc|schema_name|object_name|ref_DEV|ref_Transactions|ref_Transaction_Details|ref_Notes|ref_Payments
---------|-----------|-----------|-------|----------------|-----------------------|---------|------------
SQL_SCALAR_FUNCTION|dbo|fn_FormatTransactionSerial|0|1|0|0|0
SQL_SCALAR_FUNCTION|dbo|GardTransactionDetails1|0|1|0|0|0
SQL_SCALAR_FUNCTION|dbo|GeQtyofStore|0|1|1|0|0
SQL_SCALAR_FUNCTION|dbo|GetAccountBalanceCash|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetAssetDiscuValue|0|0|0|1|0
SQL_SCALAR_FUNCTION|dbo|GetBalance|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalance2|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalanceByActivity|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalanceByActivity2|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalanceByBranch|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalanceByBranch2|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalanceByproject|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalanceByproject2|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalanceByRegion|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalanceByRegionAndActivity|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalanceCreditORdepit|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalanceCreditORdepitByActivity|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalanceCreditORdepitByBranch|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalanceCreditORdepitByRegion|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalanceCreditORdepitByRegionAndActivity|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalanceQtyPO|0|1|1|0|0
SQL_SCALAR_FUNCTION|dbo|GetBalanceQtyPO2|0|1|1|0|0
SQL_SCALAR_FUNCTION|dbo|Getfitterdata|0|0|0|1|0
SQL_SCALAR_FUNCTION|dbo|GetGetQurrentQty|0|1|1|1|0
SQL_SCALAR_FUNCTION|dbo|GetInstalDiscuValueByDate|0|0|0|1|0
SQL_SCALAR_FUNCTION|dbo|GetItemCostPrice|0|1|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetItemnewCost|0|1|1|0|0
SQL_SCALAR_FUNCTION|dbo|GetItemPrice|0|1|1|0|0
SQL_SCALAR_FUNCTION|dbo|GetItemqtyinput|0|1|1|0|0
SQL_SCALAR_FUNCTION|dbo|GetItemqtyOpening|0|1|1|0|0
SQL_SCALAR_FUNCTION|dbo|GetItemqtyoutede|0|1|1|0|0
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodate|0|1|1|0|0
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodate2|0|1|1|0|0
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodate2015|0|1|1|0|0
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodate3|0|1|1|0|0
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodate4|0|1|1|0|0
SQL_SCALAR_FUNCTION|dbo|GetItemqtytodateNEW|0|1|1|0|0
SQL_SCALAR_FUNCTION|dbo|GetmaxTimeForShipments|0|1|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetminTimeForShipments|0|1|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetNoOfShipments|0|1|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetOHForPO|0|1|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetOpeningBalance|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetOpeningBalance2|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetOpeningBalanceByActivity|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetOpeningBalanceByActivity2|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetOpeningBalanceByBranch|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetOpeningBalanceByBranch2|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetOpeningBalanceByProject|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetOpeningBalanceByProject2|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetOpeningBalanceByRegion|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetOpeningBalanceByRegionAndActivity|1|0|0|0|0
SQL_SCALAR_FUNCTION|dbo|GetOrbon|0|0|0|1|0
SQL_SCALAR_FUNCTION|dbo|GetOrderActualReciveqty|0|1|1|0|0
SQL_SCALAR_FUNCTION|dbo|GetPaymentValue|0|0|0|1|0
SQL_SCALAR_FUNCTION|dbo|GetProjectCashing|1|0|0|1|0
