table_name|wider_index|narrower_index|wider_mb|narrower_mb|wider_keys|narrower_keys|wider_includes|narrower_includes|relation
----------|-----------|--------------|--------|-----------|----------|-------------|--------------|-----------------|--------
DOUBLE_ENTREY_VOUCHERS|IX_DEV_RecordDate|<IndexRecordDate, sysname,>|612.51|207.46|RecordDate,branch_id,Credit_Or_Debit,Account_Code|RecordDate|Value,Posted|Double_Entry_Vouchers_ID|OVERLAP_PREFIX
DOUBLE_ENTREY_VOUCHERS|IX_POS_DEV_RecordDate|<IndexRecordDate, sysname,>|163.70|207.46|RecordDate,Double_Entry_Vouchers_ID|RecordDate||Double_Entry_Vouchers_ID|OVERLAP_PREFIX
DOUBLE_ENTREY_VOUCHERS|IX_POS_DEV_Transaction_ID|IX_DOUBLE_ENTREY_VOUCHERS_Transaction_ID|164.25|170.49|Transaction_ID|Transaction_ID|Notes_ID|Double_Entry_Vouchers_ID,DEV_ID_Line_No|OVERLAP_PREFIX
DOUBLE_ENTREY_VOUCHERS|IX_POS_DEV_Notes_ID|IX_DOUBLE_ENTREY_VOUCHERS_Notes_ID|163.63|166.38|Notes_ID|Notes_ID|Transaction_ID|Double_Entry_Vouchers_ID,DEV_ID_Line_No|OVERLAP_PREFIX
DOUBLE_ENTREY_VOUCHERS|IX_DOUBLE_ENTREY_VOUCHERS_Transaction_ID|IX_POS_DEV_Transaction_ID|170.49|164.25|Transaction_ID|Transaction_ID|Double_Entry_Vouchers_ID,DEV_ID_Line_No|Notes_ID|OVERLAP_PREFIX
DOUBLE_ENTREY_VOUCHERS|IX_DOUBLE_ENTREY_VOUCHERS_Notes_ID|IX_POS_DEV_Notes_ID|166.38|163.63|Notes_ID|Notes_ID|Double_Entry_Vouchers_ID,DEV_ID_Line_No|Transaction_ID|OVERLAP_PREFIX
Notes|IX_Notes_NoteType_branch_no_Prefix|<IndexNote, sysname,>|51.43|38.30|NoteType,branch_no,Prefix|NoteType|NoteDate,NoteSerial1|NoteDate,NoteSerial|OVERLAP_PREFIX
Notes|IX_Notes_Close|<IndexNote, sysname,>|41.06|38.30|NoteType,NoteDate,branch_no|NoteType|NoteID|NoteDate,NoteSerial|OVERLAP_PREFIX
Notes|IX_Notes_NoteType_NoteSerial1_64FBFC4C|<IndexNote, sysname,>|40.53|38.30|NoteType,NoteSerial1|NoteType||NoteDate,NoteSerial|OVERLAP_PREFIX
Notes|IX_Notes_NoteDate_NoteType_branch_no|IX_Notes_NoteDate_NoteType|41.40|28.61|NoteDate,NoteType,branch_no|NoteDate,NoteType|NoteID|NoteID|OVERLAP_PREFIX
Notes|IX_POS_Notes_Transaction_ID|IX_Notes_Transaction_ID|19.89|22.31|Transaction_ID|Transaction_ID|NoteID|NoteID|DUPLICATE_SIGNATURE
