fk_name|child_table|child_column|parent_table|parent_column
-------|-----------|------------|------------|-------------
FK_DOUBLE_ENTREY_VOUCHERS_ACCOUNTS|DOUBLE_ENTREY_VOUCHERS|Account_Code|ACCOUNTS|Account_Code
FK_DOUBLE_ENTREY_VOUCHERS_Notes|DOUBLE_ENTREY_VOUCHERS|Notes_ID|Notes|NoteID
FK_DOUBLE_ENTREY_VOUCHERS_ReceiptQest|DOUBLE_ENTREY_VOUCHERS|ReceiptID|ReceiptQest|ReceiptID
FK_InstallMent_Notes|InstallMent|NoteID|Notes|NoteID
FK_MaintenanceJuncTransaction_Transactions|MaintenanceJuncTransaction|Transaction_ID|Transactions|Transaction_ID
FK_Notes_BanksData|Notes|BankID|BanksData|BankID
FK_Notes_notes_all|Notes|notes_all|notes_all|NoteID
FK_Notes_TblBoxesData|Notes|BoxID|TblBoxesData|BoxID
FK_Notes_TblCustemers|Notes|CusID|TblCustemers|CusID
FK_Notes_TblMaintenece|Notes|MaintananceID|TblMaintenece|MaintananceID
FK_Notes_TblUsers|Notes|UserID|TblUsers|UserID
FK_Notes_Transactions|Notes|Transaction_ID|Transactions|Transaction_ID
FK_TblProductOrderFactoryExpenses_Transactions|TblProductOrderFactoryExpenses|Transaction_ID|Transactions|Transaction_ID
FK_TblProductOrderLines_Transactions|TblProductOrderLines|Transaction_ID|Transactions|Transaction_ID
FK_TblProductOrderWorker_Transactions|TblProductOrderWorker|Transaction_ID|Transactions|Transaction_ID
FK_Transaction_Details_TblItems|Transaction_Details|Item_ID|TblItems|ItemID
FK_Transaction_Details_Transactions|Transaction_Details|Transaction_ID|Transactions|Transaction_ID
FK_Transactions_TblCustemers|Transactions|CusID|TblCustemers|CusID
FK_Transactions_TblStore|Transactions|StoreID|TblStore|StoreID
FK_Transactions_TblUsers|Transactions|UserID|TblUsers|UserID
FK_Transactions_TransactionTypes|Transactions|Transaction_Type|TransactionTypes|Transaction_Type
FK_TransactionsCreteria_Transactions|TransactionsCreteria|Transaction_ID|Transactions|Transaction_ID
FK_TransactionsValues_Transactions|TransactionsValues|Transaction_ID|Transactions|Transaction_ID
