year|month|row_count
----|-----|---------
2003|1|1
2023|1|2
2023|2|11
2023|3|16
2023|4|149
2023|5|288
2023|6|336
2023|7|771
2023|8|823
2023|9|997
2023|10|1237
2023|11|1968
2023|12|2633
2024|1|6199
2024|2|11774
2024|3|11680
2024|4|10731
2024|5|17227
2024|6|19011
2024|7|29724
2024|8|40741
2024|9|45429
2024|10|45574
2024|11|41526
2024|12|42603
2025|1|36489
2025|2|46042
2025|3|42782
2025|4|42502
2025|5|52987
2025|6|41209
2025|7|56595
2025|8|75165
2025|9|83080
2025|10|79003
2025|11|85946
2025|12|87852
2026|1|74864
2026|2|60111
2026|3|56695
2026|4|65609
2026|5|39332
2026|9|1
