table_name|column_name
----------|-----------
CriticalRecoveryArchive_DOUBLE_ENTREY_VOUCHERS|DEV_ID_Line_No
DOUBLE_ENTREY_VOUCHERS|DEV_ID_Line_No
DOUBLE_ENTREY_VOUCHERS1|DEV_ID_Line_No
DOUBLE_ENTREY_VOUCHERS2|DEV_ID_Line_No
ExpensesDetails|DEV_ID_Line_No
CriticalRecoveryArchive_DOUBLE_ENTREY_VOUCHERS|Double_Entry_Vouchers_ID
CriticalRecoveryArchive_Notes|Double_Entry_Vouchers_ID
DOUBLE_ENTREY_VOUCHERS|Double_Entry_Vouchers_ID
DOUBLE_ENTREY_VOUCHERS1|Double_Entry_Vouchers_ID
DOUBLE_ENTREY_VOUCHERS2|Double_Entry_Vouchers_ID
Notes|Double_Entry_Vouchers_ID
notes_all|Double_Entry_Vouchers_ID
Notes1|Double_Entry_Vouchers_ID
TBLBankSettlementJoin|Double_Entry_Vouchers_ID
ApprovalData|NoteID
ArrowsTransactions|NoteID
ContainerContracts|NoteID
ContainerUnloading|NoteID
ContracttBillInstallmentsDone|NoteID
CriticalRecoveryArchive_Notes|NoteID
CriticalRecoveryArchive_TBLClosePos|NoteID
CriticalRecoveryArchive_Transactions|NoteId
End_of_service|NoteID
ExpensesDetails|Noteid
FixedAssetInstallments|NoteID
FixedAssets|NoteID
InstallMent|NoteID
Notes|NoteID
notes_all|NoteID
Notes1|NoteID
PayrollRunHeader|NoteId
PayrollRunJournalLinks|NoteId
POS_PaymentSaveIdempotency|NoteID
ProjectBillBuy|noteid
ReceiptQest|NoteID
salary_voucher|NoteID
Tbl_TradingContract|NoteID
Tbl_TradingContractInv|NoteID
TblAccountsDestributionsIntervals|NoteID
TblActivateInvestment|NoteID
TblAdditionsAssest|NoteID
TblApproveCompoYear|NoteID
TblAqar|NoteID
TblAqarCommissions|NoteID
TblAqrEarnest|NoteID
TblAttributionInstallmentDivided|noteID
TblBanksCollect|NoteID
TblBanksCollectDetails|NoteID
TblBanksDeposite|NoteID
TblBanksDepositeDetails|NoteID
TblBillBuyPayment|NoteID
TblBillBuyPayment2|NoteID
TblBillComputerChek|NoteID
TblBillProjectPayment|NoteID
TblBillVindorPayment|NoteID
tblbookingrequest2|NoteID
TblBuyBilllInvestment|NoteID
TblBuyLanReEst|NoteID
TblCaptinTrans|NoteID
TblCarBillMentains|NoteID
TblCheckRelease|NoteID
TblChecqueBoxContent|NoteID
