year|month|row_count
----|-----|---------
2023|3|1
2023|6|106
2023|7|393
2023|8|448
2023|9|667
2023|10|886
2023|11|13265
2023|12|3519
2024|1|8987
2024|2|16452
2024|3|26822
2024|4|15045
2024|5|34790
2024|6|26568
2024|7|63312
2024|8|66594
2024|9|70098
2024|10|70920
2024|11|63966
2024|12|64246
2025|1|53362
2025|2|68280
2025|3|59876
2025|4|53502
2025|5|75521
2025|6|61244
2025|7|77788
2025|8|114241
2025|9|126773
2025|10|124294
2025|11|122255
2025|12|135749
2026|1|117455
2026|2|84500
2026|3|83848
2026|4|70244
2026|5|56397
