year|month|row_count
----|-----|---------
2023|3|1
2023|6|106
2023|7|393
2023|8|448
2023|9|667
2023|10|882
2023|11|1605
2023|12|2105
2024|1|4996
2024|2|10454
2024|3|10387
2024|4|9581
2024|5|15406
2024|6|17228
2024|7|26626
2024|8|37347
2024|9|41887
2024|10|42382
2024|11|38378
2024|12|39126
2025|1|33156
2025|2|42808
2025|3|39810
2025|4|40184
2025|5|50258
2025|6|39038
2025|7|51300
2025|8|69009
2025|9|78972
2025|10|74494
2025|11|81985
2025|12|84105
2026|1|71755
2026|2|57368
2026|3|53707
2026|4|50258
2026|5|38045
